	1 	2 	4 	8 	16 	32 	
bt 	45.040000	50.030000	56.660000	70.570000	95.410000	107.090000	
cg 	44.330000	48.980000	68.940000	82.630000	109.480000	115.980000	
dc 	44.240000	49.610000	55.030000	65.790000	90.260000	97.560000	
ep 	43.100000	47.400000	54.100000	68.380000	92.510000	98.520000	
ft 	44.760000	50.380000	62.540000	81.840000	123.330000	135.520000	
is 	43.860000	47.730000	51.210000	60.330000	67.100000	59.440000	
lu 	44.240000	49.980000	57.560000	73.560000	99.660000	116.150000	
mg 	44.680000	51.190000	65.730000	89.430000	95.520000	106.760000	
sp 	45.350000	50.740000	60.600000	80.720000	96.540000	116.290000	
ua 	44.610000	49.290000	56.360000	71.360000	95.530000	105.510000	
stress 	43.910000	49.240000	56.740000	72.950000	102.760000	104.430000	
