	1 	2 	4 	8 	16 	32 	
bt 	19.070000	22.310000	23.930000	25.990000	27.080000	32.380000	
cg 	19.600000	23.950000	27.850000	33.370000	40.260000	42.430000	
dc 	19.310000	23.060000	25.900000	30.510000	37.060000	43.380000	
ep 	15.640000	16.570000	16.890000	16.960000	16.970000	20.530000	
ft 	19.700000	24.020000	25.380000	30.670000	36.340000	39.860000	
is 	19.250000	22.750000	25.170000	24.940000	24.980000	22.750000	
lu 	19.270000	23.360000	26.040000	30.220000	35.870000	40.040000	
mg 	22.280000	27.930000	33.760000	42.480000	41.180000	47.600000	
sp 	21.320000	25.890000	30.120000	36.690000	37.870000	47.760000	
ua 	20.350000	23.020000	25.090000	28.420000	33.540000	36.150000	
stress 	15.490000	16.600000	16.790000	17.050000	17.400000	17.370000	
