	1 	2 	4 	8 	16 	32 	
bt 	41.320000	41.480000	46.190000	53.320000	69.480000	73.730000	
cg 	39.380000	41.210000	44.150000	70.630000	85.190000	86.800000	
dc 	39.450000	42.450000	44.560000	52.080000	67.330000	73.740000	
ep 	39.210000	39.520000	41.590000	51.080000	59.250000	66.430000	
ft 	40.270000	42.010000	44.190000	58.330000	79.880000	98.140000	
is 	38.260000	39.800000	42.690000	50.150000	58.620000	55.250000	
lu 	39.570000	41.520000	47.440000	56.300000	71.250000	78.260000	
mg 	40.090000	42.700000	51.320000	67.040000	73.140000	92.320000	
sp 	40.850000	42.440000	50.990000	55.060000	83.030000	92.330000	
ua 	40.020000	41.080000	46.890000	55.470000	71.740000	77.200000	
stress 	39.110000	40.340000	44.440000	51.730000	62.550000	67.230000	
