	1 	2 	4 	8 	16 	32 	
bt 	18.980000	22.150000	22.690000	25.010000	28.900000	30.540000	
cg 	19.420000	23.400000	27.510000	29.100000	32.700000	42.580000	
dc 	19.890000	22.710000	25.270000	29.450000	35.760000	41.940000	
ep 	15.650000	16.500000	16.660000	16.910000	17.480000	20.370000	
ft 	19.820000	23.360000	24.990000	29.390000	33.990000	37.530000	
is 	19.290000	22.440000	24.360000	23.990000	25.360000	23.080000	
lu 	19.060000	22.880000	25.030000	29.060000	33.790000	37.220000	
mg 	21.630000	26.930000	32.940000	41.860000	41.850000	47.310000	
sp 	20.630000	25.210000	29.030000	35.190000	42.770000	47.220000	
ua 	19.970000	22.430000	24.650000	27.070000	31.570000	34.260000	
stress 	15.740000	16.460000	16.730000	16.930000	17.440000	18.220000	
