	1 	2 	4 	8 	16 	32 	
bt 	42.070000	43.530000	49.800000	59.490000	80.450000	83.400000	
cg 	39.990000	41.610000	61.070000	74.380000	75.390000	99.790000	
dc 	41.440000	43.180000	48.200000	56.290000	75.800000	81.630000	
ep 	39.210000	41.010000	47.530000	57.010000	72.360000	75.950000	
ft 	42.420000	44.850000	53.400000	67.020000	96.770000	112.940000	
is 	39.500000	41.570000	48.020000	52.490000	63.490000	56.860000	
lu 	41.400000	44.060000	50.920000	63.630000	81.250000	90.080000	
mg 	42.520000	47.130000	58.260000	75.380000	88.490000	97.370000	
sp 	42.410000	46.010000	55.120000	68.610000	93.840000	101.390000	
ua 	41.030000	42.940000	50.620000	61.410000	80.200000	88.040000	
stress 	39.540000	41.100000	48.620000	57.870000	75.950000	81.770000	
