	1 	2 	4 	8 	16 	32 	
bt 	18.760000	21.330000	22.390000	23.620000	25.790000	27.130000	
cg 	19.020000	22.890000	25.920000	31.370000	37.250000	39.550000	
dc 	19.040000	22.300000	24.020000	27.870000	34.310000	38.590000	
ep 	15.610000	16.590000	16.670000	16.900000	16.790000	21.870000	
ft 	19.310000	22.950000	24.240000	25.940000	29.790000	32.930000	
is 	19.070000	22.000000	23.620000	27.390000	26.370000	25.560000	
lu 	18.620000	22.020000	23.460000	26.100000	29.980000	32.510000	
mg 	20.540000	25.200000	29.460000	35.430000	45.740000	49.820000	
sp 	19.940000	24.040000	26.650000	31.290000	32.200000	44.340000	
ua 	19.400000	21.760000	23.080000	25.110000	28.040000	29.760000	
stress 	15.910000	16.530000	16.900000	16.780000	17.210000	18.550000	
