	1 	2 	4 	8 	16 	32 	
bt 	49.280000	56.700000	65.200000	85.790000	119.520000	135.670000	
cg 	48.810000	55.070000	73.400000	93.330000	127.410000	128.950000	
dc 	48.690000	56.960000	63.910000	77.710000	110.490000	124.900000	
ep 	47.770000	54.080000	62.360000	83.580000	111.280000	130.800000	
ft 	49.540000	57.000000	73.540000	82.940000	112.050000	164.900000	
is 	46.450000	52.090000	60.240000	70.070000	74.140000	61.970000	
lu 	49.260000	56.260000	68.210000	89.240000	128.030000	148.520000	
mg 	50.180000	58.270000	73.080000	97.670000	103.930000	121.210000	
sp 	50.020000	57.640000	71.170000	98.390000	137.380000	134.540000	
ua 	48.960000	55.490000	65.880000	83.600000	117.250000	129.650000	
stress 	49.010000	56.370000	68.410000	88.500000	135.790000	138.800000	
