	1 	2 	4 	8 	16 	32 	
bt 	18.980000	22.250000	23.400000	25.610000	29.160000	31.580000	
cg 	19.600000	23.730000	27.530000	33.170000	40.140000	43.410000	
dc 	19.200000	22.980000	25.370000	30.010000	37.250000	42.770000	
ep 	15.650000	16.560000	16.860000	17.060000	17.050000	20.580000	
ft 	19.800000	22.850000	25.560000	29.320000	36.100000	38.960000	
is 	19.350000	22.730000	24.670000	24.680000	25.060000	22.820000	
lu 	19.120000	23.130000	25.830000	29.910000	35.210000	38.610000	
mg 	22.000000	27.660000	33.230000	42.500000	41.250000	47.140000	
sp 	21.200000	25.950000	29.760000	36.850000	39.060000	47.570000	
ua 	20.240000	22.980000	25.110000	28.090000	33.110000	35.500000	
stress 	15.780000	16.580000	16.910000	17.000000	17.240000	17.420000	
