trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature
1	9	231.824621916	13	3	5	2.63636363636	56.7207	3600.0	59.84
2	9	374.153782129	12	5	7	3.18181818182	56.7207	3600.0	57.63
3	9	367.351619959	12	5	7	3.19696969697	56.7207	3600.0	53.1
4	9	170.648195982	13	3	5	2.72727272727	56.7207	3600.0	58.5
5	9	232.815314054	13	4	5	2.74242424242	56.7207	3600.0	56.65
6	9	244.133783102	12	5	7	3.27272727273	56.7207	3600.0	54.73
7	9	235.733036041	12	4	7	3.18181818182	56.7207	3600.0	57.39
8	9	234.888909817	13	4	6	2.78787878788	56.7207	3600.0	56.09
9	9	224.08049202	12	3	6	2.80303030303	56.7207	3600.0	55.68
10	9	239.85345602	13	4	6	2.78787878788	56.7207	3600.0	57.3
1	6	382.465281963	13	3	6	2.75757575758	56.7207	3600.0	56.76
2	6	447.980545044	12	4	7	3.12121212121	56.7207	3600.0	53.32
3	6	234.466783047	12	3	5	2.63636363636	56.7207	3600.0	57.91
4	6	385.93462491	14	3	5	2.56060606061	56.7207	3600.0	62.49
5	6	237.888872862	12	3	7	3.01515151515	56.7207	3600.0	60.28
6	6	452.665452957	13	3	5	2.56060606061	56.7207	3600.0	60.42
7	6	379.592681885	14	3	5	2.5	56.7207	3600.0	61.76
8	6	302.375416994	13	2	6	2.62121212121	56.7207	3600.0	60.61
9	6	377.059978962	13	3	5	2.57575757576	56.7207	3600.0	58.49
10	6	535.731637001	13	4	5	2.62121212121	56.7207	3600.0	57.46
1	3	473.057570934	13	3	4	2.51515151515	56.7207	3600.0	61.65
2	3	723.615200996	14	4	5	2.43939393939	56.7207	3600.0	57.51
3	3	466.356628895	13	3	5	2.62121212121	56.7207	3600.0	59.6
4	3	676.093924046	11	4	5	2.9696969697	56.7207	3600.0	54.6
5	3	533.72795701	14	4	4	2.45454545455	56.7207	3600.0	60.88
6	3	462.535007954	13	3	5	2.59090909091	56.7207	3600.0	60.45
7	3	747.769566059	12	5	7	2.95454545455	56.7207	3600.0	54.94
8	3	458.736140013	14	3	6	2.62121212121	56.7207	3600.0	61.12
9	3	520.326611996	13	3	6	2.69696969697	56.7207	3600.0	59.86
10	3	592.208501816	12	4	6	2.84848484848	56.7207	3600.0	54.38
1	1	1433.19953799	12	4	6	3.0303030303	56.7207	3600.0	54.15
2	1	1139.666188	15	4	5	2.42424242424	56.7207	3600.0	60.84
3	1	1203.87247396	14	4	5	2.4696969697	56.7207	3600.0	57.48
4	1	1020.78775001	15	3	4	2.36363636364	56.7207	3600.0	60.65
5	1	1811.21764493	11	5	5	2.9696969697	56.7207	3600.0	53.76
6	1	1804.54312301	12	5	6	3.0	56.7207	3600.0	52.85
7	1	3398.92446804	11	6	7	3.22727272727	56.7207	3600.0	50.03
8	1	1133.22971392	16	3	5	2.37878787879	56.7207	3600.0	62.02
9	1	2595.71606803	12	5	5	2.90909090909	56.7207	3600.0	54.65
10	1	1395.13508677	14	4	5	2.4696969697	56.7207	3600.0	57.05
1	6	229.9422791	9	3	5	2.55555555556	56.7207	3600.0	50.9
2	6	228.158951998	9	3	4	2.33333333333	56.7207	3600.0	53.84
3	6	231.007610083	8	4	5	2.61111111111	56.7207	3600.0	49.93
4	6	225.668524027	8	5	5	2.61111111111	56.7207	3600.0	50.61
5	6	160.78092289	9	3	4	2.27777777778	56.7207	3600.0	53.27
6	6	163.848776102	8	3	5	2.61111111111	56.7207	3600.0	51.6
7	6	234.762550116	8	4	5	2.66666666667	56.7207	3600.0	50.55
8	6	227.233461857	10	4	4	2.22222222222	56.7207	3600.0	54.05
9	6	367.817743778	8	4	5	2.55555555556	56.7207	3600.0	49.37
10	6	231.122612	9	3	4	2.27777777778	56.7207	3600.0	53.08
1	3	386.005066872	9	4	5	2.44444444444	56.7207	3600.0	52.7
2	3	368.640208006	10	3	4	2.16666666667	56.7207	3600.0	55.0
3	3	235.110830069	10	3	4	2.16666666667	56.7207	3600.0	53.46
4	3	517.591932058	9	6	6	2.61111111111	56.7207	3600.0	50.88
5	3	700.177655935	8	4	4	2.5	56.7207	3600.0	50.6
6	3	388.49247098	8	5	5	2.66666666667	56.7207	3600.0	47.59
7	3	380.407216072	9	4	5	2.55555555556	56.7207	3600.0	51.52
8	3	236.656465769	10	3	4	2.16666666667	56.7207	3600.0	52.76
9	3	309.876396179	10	3	4	2.22222222222	56.7207	3600.0	52.47
10	3	383.595303059	8	4	4	2.5	56.7207	3600.0	49.42
1	1	678.134741068	10	3	4	2.22222222222	56.7207	3600.0	52.51
2	1	420.298878908	10	2	4	2.22222222222	56.7207	3600.0	54.88
3	1	1059.36058593	9	5	5	2.38888888889	56.7207	3600.0	48.51
4	1	781.503149033	11	3	4	2.05555555556	56.7207	3600.0	54.15
5	1	602.578552961	11	3	4	2.05555555556	56.7207	3600.0	53.13
6	1	738.89632988	10	3	4	2.11111111111	56.7207	3600.0	51.77
7	1	981.443435192	9	4	5	2.38888888889	56.7207	3600.0	49.14
8	1	1027.23781991	8	4	4	2.5	56.7207	3600.0	49.21
9	1	677.989704132	10	4	4	2.11111111111	56.7207	3600.0	50.97
10	1	583.283350945	11	3	4	2.05555555556	56.7207	3600.0	55.0
