trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap	numchips	candidates
1	1	38635.1895449	0	0	0	0	0	0	0	power	0.2	21	14
2	1	19253.272702	31	5	7	3.10476190476	33.0215	2800.0	49.11	power	0.2	21	14
3	1	15724.963903	32	4	7	3.06666666667	33.0215	2800.0	48.42	power	0.2	21	14
4	1	11806.974139	31	4	8	3.21904761905	37.8684	3000.0	50.0	power	0.2	21	14
5	1	15020.2543111	30	4	8	3.19047619048	33.0215	2800.0	48.62	power	0.2	21	14
6	1	27831.486099	0	0	0	0	0	0	0	power	0.2	21	14
7	1	18356.226053	29	5	9	3.35238095238	33.0215	2800.0	47.35	power	0.2	21	14
8	1	29789.8187649	0	0	0	0	0	0	0	power	0.2	21	14
9	1	35789.6852319	0	0	0	0	0	0	0	power	0.2	21	14
10	1	23707.328517	28	5	9	3.49523809524	37.8684	3000.0	49.88	power	0.2	21	14
1	cradle	235257.607571	0	0	0	0	0	0	0	power	0.2	21	14
2	cradle	19538.8765399	0	0	0	0	0	0	0	power	0.2	21	14
3	cradle	280984.110219	0	0	0	0	0	0	0	power	0.2	21	14
4	cradle	43170.359412	0	0	0	0	0	0	0	power	0.2	21	14
5	cradle	53046.922266	0	0	0	0	0	0	0	power	0.2	21	14
6	cradle	206513.707854	0	0	0	0	0	0	0	power	0.2	21	14
7	cradle	18102.5010002	0	0	0	0	0	0	0	power	0.2	21	14
