trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	temperature	picked_by	overlap	numchips	candidates
1	1	2780.64130497	40	4	7	3.37846153846	56.7207	3600.0	81.43	power	0.2	26	34
2	1	35815.5529611	0	0	0	0	0	0	0	power	0.2	26	34
3	1	2320.68207693	40	3	7	3.37846153846	56.7207	3600.0	86.8	power	0.2	26	34
4	1	2195.44281387	40	3	7	3.37846153846	56.7207	3600.0	83.04	power	0.2	26	34
5	1	2574.32674193	0	0	0	0	0	0	0	power	0.2	26	34
6	1	6887.01185107	0	0	0	0	0	0	0	power	0.2	26	34
7	1	5399.8116529	0	0	0	0	0	0	0	power	0.2	26	34
8	1	21903.5518241	0	0	0	0	0	0	0	power	0.2	26	34
9	1	2178.47637105	40	3	7	3.37846153846	56.7207	3600.0	83.04	power	0.2	26	34
10	1	5407.98102784	0	0	0	0	0	0	0	power	0.2	26	34
1	1	40769.760798	0	0	0	0	0	0	0	power	0.2	27	34
2	1	2392.16605306	40	3	7	3.47578347578	56.7207	3600.0	81.52	power	0.2	27	34
3	1	3138.83307981	0	0	0	0	0	0	0	power	0.2	27	34
4	1	2632.81683707	0	0	0	0	0	0	0	power	0.2	27	34
5	1	11163.10934	0	0	0	0	0	0	0	power	0.2	27	34
6	1	28698.6859	0	0	0	0	0	0	0	power	0.2	27	34
7	1	35876.974571	0	0	0	0	0	0	0	power	0.2	27	34
8	1	11326.6195738	0	0	0	0	0	0	0	power	0.2	27	34
9	1	247738.64861	0	0	0	0	0	0	0	power	0.2	27	34
