chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap	numchips	candidates	alpha
3	475.569937468	9.1	3.1	5.0	2.48333333333	43.47126	3240.0	45.29	network	0.2	9	14	0
3	473.974085557	9.0	3.05	4.9	2.45833333333	44.94342	3280.0	46.0035	network	0.2	9	14	.25
3	465.803780643	9.1	3.03333333333	4.93333333333	2.4537037037	45.92486	3306.66666667	46.2	network	0.2	9	14	.5
3	466.46512689	9.05	3.1	4.95	2.45694444444	46.41558	3320.0	46.40575	network	0.2	9	14	.75
3	467.483824935	9.42	3.1	4.76	2.37777777778	45.826716	3304.0	46.4534	network	0.2	9	14	1
2	507.042082953	9.1	3.5	5.7	2.58333333333	50.83206	3440.0	46.32	network	0.2	9	14	0
2	540.886756063	8.85	3.55	5.85	2.64166666667	50.83206	3440.0	46.749	network	0.2	9	14	.25
2	556.115201632	8.86666666667	3.43333333333	5.63333333333	2.58888888889	49.85062	3413.33333333	46.895	network	0.2	9	14	.5
2	553.864672345	8.9	3.4	5.675	2.60694444445	49.72794	3410.0	46.68675	network	0.2	9	14	.75
2	570.456665649	9.28	3.3	5.34	2.5	48.476604	3376.0	46.8022	network	0.2	9	14	1
1	792.051565599	9.1	3.2	5.1	2.50555555555	46.41558	3320.0	46.452	network	0.2	9	14	0
1	833.167685807	8.95	3.4	5.25	2.53888888889	50.09598	3420.0	47.2515	network	0.2	9	14	.25
1	801.294614236	8.96666666667	3.3	5.23333333333	2.53703703704	48.86918	3386.66666667	46.8686666667	network	0.2	9	14	.5
1	838.497550303	9.0	3.275	5.225	2.525	47.15166	3340.0	46.4	network	0.2	9	14	.75
1	900.975241265	9.44	3.2	4.98	2.42888888889	46.121148	3312.0	46.2968	network	0.2	9	14	1
3	73.6489430904	5.3	2.6	3.9	2.03333333333	56.7207	3600.0	46.674	network	0.2	6	14	0
3	78.5204520345	5.4	2.7	3.95	2.03666666666	56.7207	3600.0	46.3445	network	0.2	6	14	.25
3	81.9162760973	5.36666666667	2.76666666667	3.83333333333	2.01555555555	56.7207	3600.0	46.4426666667	network	0.2	6	14	.5
3	83.2649961472	5.35	2.775	3.825	2.01333333333	56.7207	3600.0	46.42925	network	0.2	6	14	.75
3	84.0302462864	5.52	2.76	3.66	1.95733333333	56.131836	3584.0	46.4226	network	0.2	6	14	1
2	135.890188265	5.3	3.0	3.6	1.98	55.24854	3560.0	45.345	network	0.2	6	14	0
2	131.521301591	5.3	2.9	3.85	2.03333333333	55.98462	3580.0	45.452	network	0.2	6	14	.25
2	134.253234164	5.4	3.0	3.8	2.01777777778	56.22998	3586.66666667	45.4526666667	network	0.2	6	14	.5
2	132.298189861	5.35	2.925	3.85	2.02666666667	56.35266	3590.0	45.61325	network	0.2	6	14	.75
2	136.859519696	5.52	2.86	3.68	1.968	55.837404	3576.0	45.8262	network	0.2	6	14	1
1	186.660998201	5.5	2.8	4.0	2.02666666667	56.7207	3600.0	45.627	network	0.2	6	14	0
1	187.866623139	5.35	2.7	3.8	2.00666666667	55.98462	3580.0	46.014	network	0.2	6	14	.25
1	185.233062545	5.33333333333	2.63333333333	3.9	2.03333333333	55.73926	3573.33333333	45.6343333333	network	0.2	6	14	.5
1	183.714153355	5.3	2.65	3.775	2.01166666667	55.98462	3580.0	46.0495	network	0.2	6	14	.75
1	192.03674643	5.44	2.62	3.62	1.956	55.542972	3568.0	46.2806	network	0.2	6	14	1
3	254.162423372	8.6	3.3	5.3	2.57222222222	55.24854	3560.0	46.964	network	0.1	9	14	0
3	236.657260036	8.95	3.2	5.2	2.50277777778	54.51246	3540.0	46.977	network	0.1	9	14	.25
3	259.780623213	9.03333333333	3.4	5.3	2.50555555556	55.24854	3560.0	46.779	network	0.1	9	14	.5
3	260.799454486	9.05	3.375	5.3	2.50833333333	55.24854	3560.0	46.74425	network	0.1	9	14	.75
3	259.976168962	9.32	3.32	5.04	2.42666666667	53.77638	3520.0	46.504	network	0.1	9	14	1
2	302.224143624	9.2	3.0	5.1	2.45	55.24854	3560.0	47.443	network	0.1	9	14	0
2	294.257722366	8.95	3.1	5.35	2.53055555556	55.24854	3560.0	47.118	network	0.1	9	14	.25
2	304.188377945	8.96666666667	3.13333333333	5.33333333333	2.53888888889	54.75782	3546.66666667	47.0426666667	network	0.1	9	14	.5
2	312.529770833	8.925	3.15	5.35	2.54861111111	54.14442	3530.0	46.701	network	0.1	9	14	.75
2	322.261213441	9.36	3.1	5.08	2.45111111111	53.481948	3512.0	46.652	network	0.1	9	14	1
1	517.85617013	9.1	3.4	5.2	2.48888888889	55.24854	3560.0	47.244	network	0.1	9	14	0
1	466.049793518	8.95	3.25	5.2	2.525	55.24854	3560.0	47.1075	network	0.1	9	14	.25
1	483.678783099	9.0	3.1	5.3	2.52777777778	54.2671	3533.33333333	47.0746666667	network	0.1	9	14	.5
1	495.609909487	9.025	3.125	5.3	2.53055555556	54.14442	3530.0	46.80975	network	0.1	9	14	.75
1	521.691495171	9.42	3.1	5.04	2.43555555556	54.070812	3528.0	46.8976	network	0.1	9	14	1
3	82.6868293524	5.3	2.8	4.0	2.07333333333	56.7207	3600.0	44.288	network	0.1	6	14	0
3	84.5545799613	5.3	2.75	3.95	2.05333333333	56.7207	3600.0	44.6775	network	0.1	6	14	.25
3	82.0619352182	5.33333333333	2.83333333333	3.86666666667	2.02888888889	56.7207	3600.0	44.284	network	0.1	6	14	.5
3	81.1852436066	5.25	2.825	3.875	2.04166666667	56.7207	3600.0	44.10275	network	0.1	6	14	.75
3	82.0367611408	5.44	2.74	3.7	1.97866666667	56.7207	3600.0	44.3388	network	0.1	6	14	1
2	137.086408281	5.3	2.9	3.9	2.04	56.7207	3600.0	43.757	network	0.1	6	14	0
2	130.645570052	5.3	2.7	3.7	1.99666666667	56.7207	3600.0	43.958	network	0.1	6	14	.25
2	131.829566908	5.33333333333	2.73333333333	3.7	1.99333333333	56.7207	3600.0	43.6843333333	network	0.1	6	14	.5
2	137.02667889	5.375	2.75	3.675	1.98	56.7207	3600.0	43.8825	network	0.1	6	14	.75
2	138.953540959	5.56	2.72	3.54	1.92666666667	56.7207	3600.0	44.0902	network	0.1	6	14	1
1	203.820497251	5.0	2.7	3.6	2.01333333333	55.24854	3560.0	43.984	network	0.1	6	14	0
1	201.738038838	5.2	2.9	3.7	2.01	55.98462	3580.0	43.701	network	0.1	6	14	.25
1	201.488750593	5.26666666667	2.93333333333	3.8	2.02888888889	56.22998	3586.66666667	43.6086666667	network	0.1	6	14	.5
1	202.399070257	5.225	2.975	3.825	2.03666666667	55.98462	3580.0	43.39725	network	0.1	6	14	.75
1	201.85056314	5.4	2.9	3.66	1.97466666667	56.131836	3584.0	43.7682	network	0.1	6	14	1
3	392.558222508	9.2	3.4	5.7	2.60555555556	46.41558	3320.0	43.822	temp	0.2	9	14	0
3	386.472685409	8.85	3.65	5.75	2.66666666667	46.41558	3320.0	43.804	temp	0.2	9	14	.25
3	376.172337079	8.7	3.76666666667	5.83333333333	2.69259259259	46.41558	3320.0	43.6716666667	temp	0.2	9	14	.5
3	377.276922607	8.65	3.975	5.95	2.73472222222	47.15166	3340.0	43.65125	temp	0.2	9	14	.75
3	414.92063005	9.06	3.78	5.56	2.60666666667	46.121148	3312.0	44.0754	temp	0.2	9	14	1
2	342.922464776	8.1	4.5	6.9	3.02777777778	52.30422	3480.0	43.682	temp	0.2	9	14	0
2	315.782542062	8.1	4.1	7.0	3.06944444445	53.0403	3500.0	43.968	temp	0.2	9	14	.25
2	319.370472868	8.1	4.16666666667	6.9	3.03888888889	53.28566	3506.66666667	43.81	temp	0.2	9	14	.5
2	316.848776293	8.175	4.225	6.875	3.01388888889	53.40834	3510.0	43.93675	temp	0.2	9	14	.75
2	399.365239215	8.72	4.0	6.3	2.82666666667	51.420924	3456.0	44.3926	temp	0.2	9	14	1
1	771.820045257	8.1	5.4	7.7	3.25555555555	56.7207	3600.0	43.511	temp	0.2	9	14	0
1	785.974282324	8.1	5.6	7.65	3.24166666667	56.7207	3600.0	43.213	temp	0.2	9	14	.25
1	813.733719524	8.06666666667	5.6	7.56666666667	3.23148148148	56.22998	3586.66666667	43.1836666667	temp	0.2	9	14	.5
1	789.327202094	8.05	5.575	7.55	3.22083333333	56.35266	3590.0	43.4325	temp	0.2	9	14	.75
1	866.318396978	8.66	5.0	6.84	2.98666666667	53.481948	3512.0	44.0436	temp	0.2	9	14	1
3	87.5170806885	5.0	3.7	4.4	2.2	55.24854	3560.0	42.299	temp	0.2	6	14	0
3	91.7537497163	5.05	3.8	4.5	2.20666666667	55.98462	3580.0	42.422	temp	0.2	6	14	.25
3	91.5325262229	5.06666666667	3.76666666667	4.56666666667	2.21555555555	55.73926	3573.33333333	42.3536666667	temp	0.2	6	14	.5
3	92.671339035	5.125	3.725	4.5	2.19	55.61658	3570.0	42.36825	temp	0.2	6	14	.75
3	91.5327962065	5.34	3.44	4.2	2.09733333333	55.542972	3568.0	43.4154	temp	0.2	6	14	1
2	181.665314913	5.0	4.3	4.8	2.28	56.7207	3600.0	41.702	temp	0.2	6	14	0
2	178.130428696	5.0	4.35	4.9	2.30666666666	56.7207	3600.0	41.5285	temp	0.2	6	14	.25
2	165.729236364	5.03333333333	4.13333333333	4.83333333333	2.28222222222	56.7207	3600.0	41.5756666667	temp	0.2	6	14	.5
2	159.932665992	5.025	4.0	4.85	2.28833333333	56.7207	3600.0	41.544	temp	0.2	6	14	.75
2	162.687920747	5.3	3.72	4.48	2.172	56.7207	3600.0	42.8014	temp	0.2	6	14	1
1	226.744473982	5.0	4.0	4.8	2.28666666666	56.7207	3600.0	42.301	temp	0.2	6	14	0
1	231.686571741	5.0	4.1	4.9	2.31	56.7207	3600.0	42.014	temp	0.2	6	14	.25
