trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap	numchips	candidates	alpha
1	3	468.346007824	10	3	4	2.16666666667	41.9991	3200.0	45.92	network	0.2	9	14	0
2	3	441.710822105	8	4	7	3.16666666667	56.7207	3600.0	43.95	network	0.2	9	14	0
3	3	480.619598866	10	3	5	2.27777777778	41.9991	3200.0	46.0	network	0.2	9	14	0
4	3	547.69756484	8	4	5	2.61111111111	41.9991	3200.0	45.29	network	0.2	9	14	0
5	3	516.563030958	8	3	5	2.55555555556	41.9991	3200.0	43.65	network	0.2	9	14	0
6	3	514.552807093	9	2	4	2.33333333333	41.9991	3200.0	46.29	network	0.2	9	14	0
7	3	389.916584015	10	3	4	2.22222222222	41.9991	3200.0	44.75	network	0.2	9	14	0
8	3	521.146902084	8	3	7	3.05555555556	41.9991	3200.0	45.91	network	0.2	9	14	0
9	3	376.179003954	10	3	5	2.22222222222	41.9991	3200.0	45.13	network	0.2	9	14	0
10	3	498.967052937	10	3	4	2.22222222222	41.9991	3200.0	46.01	network	0.2	9	14	0
1	3	426.563766956	8	3	5	2.55555555556	41.9991	3200.0	47.51	network	0.2	9	14	.25
2	3	336.850088835	9	2	4	2.33333333333	41.9991	3200.0	46.44	network	0.2	9	14	.25
3	3	530.835577011	9	3	4	2.33333333333	41.9991	3200.0	44.3	network	0.2	9	14	.25
4	3	571.799227953	9	4	5	2.38888888889	56.7207	3600.0	47.46	network	0.2	9	14	.25
5	3	361.79793787	8	2	5	2.61111111111	41.9991	3200.0	48.66	network	0.2	9	14	.25
6	3	544.415390015	9	4	5	2.33333333333	41.9991	3200.0	45.09	network	0.2	9	14	.25
7	3	579.131675005	9	3	4	2.33333333333	41.9991	3200.0	45.33	network	0.2	9	14	.25
8	3	309.621253967	8	3	7	3.0	56.7207	3600.0	47.93	network	0.2	9	14	.25
9	3	545.952196836	9	3	5	2.33333333333	56.7207	3600.0	49.13	network	0.2	9	14	.25
10	3	516.815222025	11	3	4	2.11111111111	41.9991	3200.0	45.32	network	0.2	9	14	.25
1	3	453.131189108	9	3	5	2.38888888889	56.7207	3600.0	49.34	network	0.2	9	14	.5
2	3	425.592238903	9	2	5	2.44444444444	41.9991	3200.0	46.63	network	0.2	9	14	.5
3	3	463.873667955	10	3	4	2.16666666667	41.9991	3200.0	45.84	network	0.2	9	14	.5
4	3	451.683665991	10	3	4	2.16666666667	41.9991	3200.0	45.11	network	0.2	9	14	.5
5	3	602.270647049	9	3	5	2.38888888889	41.9991	3200.0	44.91	network	0.2	9	14	.5
6	3	345.972375154	9	3	6	2.83333333333	56.7207	3600.0	48.81	network	0.2	9	14	.5
7	3	556.210603952	10	4	5	2.38888888889	41.9991	3200.0	44.89	network	0.2	9	14	.5
8	3	352.624361992	8	4	6	2.83333333333	56.7207	3600.0	47.75	network	0.2	9	14	.5
