trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap	numchips	candidates	alpha
1	1	1042.77453017	8	5	8	3.33333333333	56.7207	3600.0	40.6	temp	0.2	9	34	0
2	1	692.281294823	9	3	6	2.77777777778	41.9991	3200.0	44.09	temp	0.2	9	34	0
3	1	585.579858065	8	3	8	3.33333333333	56.7207	3600.0	44.75	temp	0.2	9	34	0
4	1	1427.66460514	8	7	8	3.33333333333	56.7207	3600.0	40.27	temp	0.2	9	34	0
5	1	1463.48309302	8	8	8	3.33333333333	56.7207	3600.0	39.84	temp	0.2	9	34	0
6	1	1398.13461304	8	8	8	3.33333333333	56.7207	3600.0	41.85	temp	0.2	9	34	0
7	1	1404.86094093	8	8	8	3.33333333333	56.7207	3600.0	40.55	temp	0.2	9	34	0
8	1	901.386096001	8	5	8	3.33333333333	56.7207	3600.0	41.75	temp	0.2	9	34	0
9	1	1453.28128719	8	8	8	3.33333333333	56.7207	3600.0	44.3	temp	0.2	9	34	0
10	1	993.101719141	9	5	7	2.83333333333	56.7207	3600.0	42.9	temp	0.2	9	34	0
1	1	1127.62457108	9	5	7	2.88888888889	56.7207	3600.0	42.52	temp	0.2	9	34	.25
2	1	1456.53540301	8	8	8	3.33333333333	56.7207	3600.0	43.43	temp	0.2	9	34	.25
3	1	674.811635971	8	4	8	3.33333333333	56.7207	3600.0	42.88	temp	0.2	9	34	.25
4	1	1422.37333012	8	8	8	3.33333333333	56.7207	3600.0	39.89	temp	0.2	9	34	.25
5	1	1484.5253191	8	7	8	3.33333333333	56.7207	3600.0	40.88	temp	0.2	9	34	.25
6	1	1427.16824794	8	7	8	3.33333333333	56.7207	3600.0	40.83	temp	0.2	9	34	.25
7	1	1066.93827891	8	5	8	3.33333333333	56.7207	3600.0	41.82	temp	0.2	9	34	.25
8	1	600.092684984	8	4	8	3.33333333333	56.7207	3600.0	42.73	temp	0.2	9	34	.25
9	1	1019.17987299	8	6	8	3.33333333333	56.7207	3600.0	41.24	temp	0.2	9	34	.25
10	1	1020.00518513	8	7	8	3.33333333333	56.7207	3600.0	41.19	temp	0.2	9	34	.25
1	1	1323.42382288	8	6	8	3.33333333333	56.7207	3600.0	43.78	temp	0.2	9	34	.5
