trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap	numchips	candidates
1	1	15.9300768375	18	2	5	2.56043956044	56.7207	3600.0	62.8	power	0.2	14	14
2	1	15.6911840439	18	2	5	2.56043956044	56.7207	3600.0	62.8	power	0.2	14	14
3	1	15.6261529922	18	2	5	2.56043956044	56.7207	3600.0	62.8	power	0.2	14	14
4	1	15.7585711479	18	2	5	2.56043956044	56.7207	3600.0	62.8	power	0.2	14	14
5	1	15.884114027	18	2	5	2.56043956044	56.7207	3600.0	62.8	power	0.2	14	14
6	1	15.8158359528	18	2	5	2.56043956044	56.7207	3600.0	62.8	power	0.2	14	14
7	1	15.5280809402	18	2	5	2.56043956044	56.7207	3600.0	62.8	power	0.2	14	14
8	1	15.7250659466	18	2	5	2.56043956044	56.7207	3600.0	62.8	power	0.2	14	14
9	1	15.6809239388	18	2	5	2.56043956044	56.7207	3600.0	62.8	power	0.2	14	14
10	1	15.6221449375	18	2	5	2.56043956044	56.7207	3600.0	62.8	power	0.2	14	14
1	1	15.7224609852	20	2	5	2.64761904762	56.7207	3600.0	65.64	power	0.2	15	14
2	1	15.7240579128	20	2	5	2.64761904762	56.7207	3600.0	65.64	power	0.2	15	14
3	1	15.7905619144	20	2	5	2.64761904762	56.7207	3600.0	65.64	power	0.2	15	14
4	1	15.7095000744	20	2	5	2.64761904762	56.7207	3600.0	65.64	power	0.2	15	14
5	1	15.835973978	20	2	5	2.64761904762	56.7207	3600.0	65.64	power	0.2	15	14
6	1	15.7943170071	20	2	5	2.64761904762	56.7207	3600.0	65.64	power	0.2	15	14
7	1	15.8701031208	20	2	5	2.64761904762	56.7207	3600.0	65.64	power	0.2	15	14
8	1	15.6558129787	20	2	5	2.64761904762	56.7207	3600.0	65.64	power	0.2	15	14
9	1	15.877063036	20	2	5	2.64761904762	56.7207	3600.0	65.64	power	0.2	15	14
10	1	15.8739290237	20	2	5	2.64761904762	56.7207	3600.0	65.64	power	0.2	15	14
1	1	15.9233500957	22	2	6	2.74166666667	56.7207	3600.0	67.21	power	0.2	16	14
2	1	15.9149529934	22	2	6	2.74166666667	56.7207	3600.0	67.21	power	0.2	16	14
3	1	15.8025071621	22	2	6	2.74166666667	56.7207	3600.0	67.21	power	0.2	16	14
4	1	17.6936480999	22	2	6	2.74166666667	56.7207	3600.0	67.21	power	0.2	16	14
5	1	19.1303629875	22	2	6	2.74166666667	56.7207	3600.0	67.21	power	0.2	16	14
6	1	14.9495379925	22	2	6	2.74166666667	56.7207	3600.0	67.21	power	0.2	16	14
7	1	16.770843029	22	2	6	2.74166666667	56.7207	3600.0	67.21	power	0.2	16	14
8	1	16.3052370548	22	2	6	2.74166666667	56.7207	3600.0	67.21	power	0.2	16	14
9	1	16.2167799473	22	2	6	2.74166666667	56.7207	3600.0	67.21	power	0.2	16	14
10	1	15.685762167	22	2	6	2.74166666667	56.7207	3600.0	67.21	power	0.2	16	14
1	1	14.8721780777	24	2	6	2.82352941176	56.7207	3600.0	69.09	power	0.2	17	14
2	1	16.9708428383	24	2	6	2.82352941176	56.7207	3600.0	69.09	power	0.2	17	14
3	1	16.9295051098	24	2	6	2.82352941176	56.7207	3600.0	69.09	power	0.2	17	14
4	1	14.1818208694	24	2	6	2.82352941176	56.7207	3600.0	69.09	power	0.2	17	14
5	1	26.6771171093	24	2	6	2.82352941176	56.7207	3600.0	69.09	power	0.2	17	14
6	1	15.6576590538	24	2	6	2.82352941176	56.7207	3600.0	69.09	power	0.2	17	14
7	1	16.0793437958	24	2	6	2.82352941176	56.7207	3600.0	69.09	power	0.2	17	14
8	1	15.885466814	24	2	6	2.82352941176	56.7207	3600.0	69.09	power	0.2	17	14
9	1	14.5640099049	24	2	6	2.82352941176	56.7207	3600.0	69.09	power	0.2	17	14
10	1	22.5336921215	24	2	6	2.82352941176	56.7207	3600.0	69.09	power	0.2	17	14
1	1	15.925992012	26	2	6	2.86928104575	56.7207	3600.0	72.54	power	0.2	18	14
2	1	13.9601609707	26	2	6	2.86928104575	56.7207	3600.0	72.54	power	0.2	18	14
3	1	14.7906291485	26	2	6	2.86928104575	56.7207	3600.0	72.54	power	0.2	18	14
4	1	15.6916320324	26	2	6	2.86928104575	56.7207	3600.0	72.54	power	0.2	18	14
5	1	15.6923451424	26	2	6	2.86928104575	56.7207	3600.0	72.54	power	0.2	18	14
6	1	14.2738559246	26	2	6	2.86928104575	56.7207	3600.0	72.54	power	0.2	18	14
7	1	26.1141281128	26	2	6	2.86928104575	56.7207	3600.0	72.54	power	0.2	18	14
8	1	15.9950149059	26	2	6	2.86928104575	56.7207	3600.0	72.54	power	0.2	18	14
9	1	14.7740709782	26	2	6	2.86928104575	56.7207	3600.0	72.54	power	0.2	18	14
10	1	16.0595500469	26	2	6	2.86928104575	56.7207	3600.0	72.54	power	0.2	18	14
1	1	16.2706749439	28	2	6	2.91228070175	56.7207	3600.0	76.29	power	0.2	19	14
2	1	14.9017651081	28	2	6	2.91228070175	56.7207	3600.0	76.29	power	0.2	19	14
3	1	16.0168881416	28	2	6	2.91228070175	56.7207	3600.0	76.29	power	0.2	19	14
4	1	16.0436201096	28	2	6	2.91228070175	56.7207	3600.0	76.29	power	0.2	19	14
5	1	15.6287560463	28	2	6	2.91228070175	56.7207	3600.0	76.29	power	0.2	19	14
