trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap	numchips	candidates
1	2	1100.54459	10	4	4	2.16666666667	56.7207	3600.0	48.14	power	0.2	9	14
2	2	1169.94977498	11	3	4	2.05555555556	56.7207	3600.0	49.69	power	0.2	9	14
3	2	1214.48833013	10	3	4	2.22222222222	41.9991	3200.0	45.18	power	0.2	9	14
1	2	1152.51261091	12	3	4	2.0	41.9991	3200.0	45.43	power	0.2	9	14
2	2	1028.61908197	11	4	4	2.05555555556	56.7207	3600.0	48.22	power	0.2	9	14
3	2	1238.26648593	10	3	6	2.44444444444	56.7207	3600.0	48.79	power	0.2	9	14
1	2	1001.56830883	10	2	5	2.33333333333	41.9991	3200.0	45.97	power	0.2	9	14
2	2	1137.0101819	11	3	4	2.05555555556	41.9991	3200.0	46.2	power	0.2	9	14
3	2	1276.12929106	10	3	4	2.11111111111	41.9991	3200.0	46.69	power	0.2	9	14
1	2	1058.72418213	11	3	4	2.11111111111	56.7207	3600.0	49.07	power	0.2	9	14
2	2	911.740668058	10	4	4	2.16666666667	56.7207	3600.0	48.04	power	0.2	9	14
3	2	1238.99398398	9	3	5	2.33333333333	56.7207	3600.0	49.69	power	0.2	9	14
1	2	1210.01471615	12	3	4	2.0	41.9991	3200.0	45.18	power	0.2	9	14
2	2	1201.78446102	11	3	4	2.05555555556	41.9991	3200.0	45.84	power	0.2	9	14
3	2	1065.40292907	10	4	4	2.11111111111	56.7207	3600.0	48.33	power	0.2	9	14
1	1	1336.43886113	11	3	4	2.05555555556	56.7207	3600.0	49.66	power	0.2	9	14
2	1	1379.64120913	11	4	4	2.11111111111	56.7207	3600.0	47.94	power	0.2	9	14
3	1	1877.17412281	11	3	4	2.11111111111	56.7207	3600.0	49.45	power	0.2	9	14
1	1	1936.65784407	10	3	4	2.16666666667	56.7207	3600.0	49.82	power	0.2	9	14
2	1	1715.03645205	12	3	4	2.0	56.7207	3600.0	49.38	power	0.2	9	14
3	1	2493.83633089	10	3	4	2.11111111111	41.9991	3200.0	47.52	power	0.2	9	14
1	1	3106.16335607	9	4	4	2.33333333333	41.9991	3200.0	44.68	power	0.2	9	14
2	1	2190.00931382	11	3	4	2.05555555556	41.9991	3200.0	45.39	power	0.2	9	14
3	1	2080.72619796	10	3	5	2.27777777778	56.7207	3600.0	49.45	power	0.2	9	14
1	1	2536.11466002	10	4	4	2.11111111111	41.9991	3200.0	45.46	power	0.2	9	14
2	1	2311.41072106	10	3	4	2.22222222222	41.9991	3200.0	44.86	power	0.2	9	14
3	1	1612.47742391	11	3	4	2.11111111111	56.7207	3600.0	49.6	power	0.2	9	14
1	1	1783.64708495	11	4	4	2.11111111111	41.9991	3200.0	44.33	power	0.2	9	14
2	1	1730.42580009	10	3	5	2.27777777778	56.7207	3600.0	49.95	power	0.2	9	14
3	1	2514.48313713	10	4	4	2.11111111111	41.9991	3200.0	45.33	power	0.2	9	14
1	cradle	693.045346975	12	4	4	2.0	56.7207	3600.0	47.48	power	0.2	9	14
2	cradle	550.816115856	10	2	4	2.22222222222	41.9991	3200.0	48.06	power	0.2	9	14
3	cradle	515.50873518	12	4	4	2.0	56.7207	3600.0	49.8	power	0.2	9	14
1	cradle	546.984475851	10	4	6	2.55555555556	56.7207	3600.0	49.4	power	0.2	9	14
2	cradle	735.767247915	11	3	5	2.16666666667	41.9991	3200.0	45.05	power	0.2	9	14
3	cradle	729.945476055	11	3	5	2.16666666667	41.9991	3200.0	45.81	power	0.2	9	14
1	cradle	460.309933901	10	2	5	2.38888888889	56.7207	3600.0	48.4	power	0.2	9	14
2	cradle	904.266853094	11	4	4	2.11111111111	56.7207	3600.0	48.91	power	0.2	9	14
3	cradle	731.111550093	11	3	5	2.16666666667	56.7207	3600.0	49.77	power	0.2	9	14
1	cradle	903.18018198	11	3	5	2.16666666667	41.9991	3200.0	45.67	power	0.2	9	14
2	cradle	620.046852112	11	3	5	2.22222222222	56.7207	3600.0	49.85	power	0.2	9	14
3	cradle	574.696357965	10	3	5	2.38888888889	56.7207	3600.0	46.32	power	0.2	9	14
1	cradle	636.819390059	10	2	4	2.22222222222	41.9991	3200.0	48.06	power	0.2	9	14
2	cradle	727.06428194	10	3	5	2.38888888889	56.7207	3600.0	47.99	power	0.2	9	14
3	cradle	513.665521145	11	3	5	2.16666666667	41.9991	3200.0	45.88	power	0.2	9	14
1	cradle	123.056484938	7	3	3	1.66666666667	56.7207	3600.0	45.29	power	0.2	6	14
2	cradle	107.901952982	7	3	3	1.66666666667	56.7207	3600.0	46.77	power	0.2	6	14
3	cradle	123.887835026	7	3	3	1.66666666667	56.7207	3600.0	45.29	power	0.2	6	14
1	cradle	83.2022559643	7	3	3	1.66666666667	56.7207	3600.0	45.29	power	0.2	6	14
2	cradle	100.625725985	6	2	4	1.86666666667	56.7207	3600.0	49.17	power	0.2	6	14
3	cradle	104.711109161	7	3	3	1.66666666667	56.7207	3600.0	45.29	power	0.2	6	14
1	cradle	127.179895163	7	3	3	1.66666666667	56.7207	3600.0	46.77	power	0.2	6	14
2	cradle	106.35155201	7	3	3	1.66666666667	56.7207	3600.0	45.29	power	0.2	6	14
3	cradle	104.663105965	7	3	3	1.66666666667	56.7207	3600.0	46.77	power	0.2	6	14
1	cradle	129.402709961	7	3	3	1.66666666667	56.7207	3600.0	45.29	power	0.2	6	14
2	cradle	79.6878731251	6	2	4	1.86666666667	56.7207	3600.0	47.41	power	0.2	6	14
3	cradle	124.612419844	7	3	3	1.66666666667	56.7207	3600.0	45.29	power	0.2	6	14
1	cradle	104.293506145	7	3	3	1.66666666667	56.7207	3600.0	46.77	power	0.2	6	14
2	cradle	104.55902791	7	3	3	1.66666666667	56.7207	3600.0	45.29	power	0.2	6	14
3	cradle	80.2167179585	6	2	4	1.86666666667	56.7207	3600.0	49.55	power	0.2	6	14
1	cradle	210.203589916	12	2	4	2.0	56.7207	3600.0	47.63	power	0.1	9	14
2	cradle	279.712068081	12	4	4	2.0	56.7207	3600.0	45.04	power	0.1	9	14
3	cradle	444.295126915	10	3	5	2.38888888889	56.7207	3600.0	46.76	power	0.1	9	14
1	cradle	280.78688097	12	3	4	2.0	56.7207	3600.0	48.99	power	0.1	9	14
2	cradle	234.629288912	11	4	5	2.22222222222	56.7207	3600.0	45.29	power	0.1	9	14
3	cradle	315.487417936	12	3	4	2.0	56.7207	3600.0	46.05	power	0.1	9	14
1	cradle	496.780184031	12	3	4	2.0	56.7207	3600.0	47.92	power	0.1	9	14
2	cradle	253.89594698	12	3	4	2.0	56.7207	3600.0	47.92	power	0.1	9	14
3	cradle	438.428235054	12	3	4	2.0	56.7207	3600.0	48.99	power	0.1	9	14
1	cradle	234.892072916	12	3	4	2.0	56.7207	3600.0	48.99	power	0.1	9	14
2	cradle	256.013957024	11	3	5	2.16666666667	56.7207	3600.0	49.64	power	0.1	9	14
3	cradle	231.839821815	9	4	4	2.38888888889	56.7207	3600.0	49.59	power	0.1	9	14
1	cradle	561.134136915	12	4	4	2.0	56.7207	3600.0	46.97	power	0.1	9	14
2	cradle	85054.9745128	0	0	0	0	0	0	0	power	0.1	9	14
3	cradle	237.112143993	12	3	4	2.0	56.7207	3600.0	46.71	power	0.1	9	14
1	cradle	107.134674072	7	3	3	1.66666666667	56.7207	3600.0	44.16	power	0.1	6	14
2	cradle	104.550004959	7	3	3	1.66666666667	56.7207	3600.0	44.16	power	0.1	6	14
3	cradle	102.834102869	7	3	3	1.66666666667	56.7207	3600.0	42.33	power	0.1	6	14
1	cradle	104.67633009	7	3	3	1.66666666667	56.7207	3600.0	42.33	power	0.1	6	14
2	cradle	102.837353945	6	2	4	1.86666666667	56.7207	3600.0	45.49	power	0.1	6	14
3	cradle	127.58904314	6	3	3	1.8	56.7207	3600.0	44.27	power	0.1	6	14
1	cradle	103.773350954	7	3	3	1.66666666667	56.7207	3600.0	42.33	power	0.1	6	14
2	cradle	129.866171837	7	3	3	1.66666666667	56.7207	3600.0	42.33	power	0.1	6	14
3	cradle	106.999900818	7	3	3	1.66666666667	56.7207	3600.0	44.16	power	0.1	6	14
1	cradle	77.809923172	6	2	4	1.86666666667	56.7207	3600.0	45.77	power	0.1	6	14
2	cradle	127.373475075	7	3	3	1.66666666667	56.7207	3600.0	44.16	power	0.1	6	14
3	cradle	102.272559166	7	3	3	1.66666666667	56.7207	3600.0	44.16	power	0.1	6	14
1	cradle	105.6788342	7	3	3	1.66666666667	56.7207	3600.0	42.33	power	0.1	6	14
2	cradle	109.013567209	7	3	3	1.66666666667	56.7207	3600.0	42.33	power	0.1	6	14
3	cradle	109.459244013	7	3	3	1.66666666667	56.7207	3600.0	42.33	power	0.1	6	14
