trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap	numchips	candidates
1	3	1218.58404994	11	3	4	2.11111111111	41.9991	3200.0	45.7	power	0.2	9	14
2	3	715.416294813	10	3	4	2.16666666667	41.9991	3200.0	44.81	power	0.2	9	14
3	3	1055.05098581	10	3	4	2.11111111111	41.9991	3200.0	47.09	power	0.2	9	14
1	2	1049.93295503	11	3	4	2.05555555556	56.7207	3600.0	49.7	power	0.2	9	14
2	2	1484.07551789	10	3	4	2.16666666667	41.9991	3200.0	47.06	power	0.2	9	14
3	2	1073.52032685	9	3	4	2.33333333333	56.7207	3600.0	48.99	power	0.2	9	14
1	1	1822.31561899	11	4	5	2.16666666667	56.7207	3600.0	48.34	power	0.2	9	14
2	1	1838.71087384	11	4	4	2.11111111111	56.7207	3600.0	49.29	power	0.2	9	14
3	1	2019.79920197	10	3	4	2.11111111111	41.9991	3200.0	45.57	power	0.2	9	14
1	cradle	562.661417007	9	4	4	2.38888888889	56.7207	3600.0	48.34	power	0.2	9	14
2	cradle	534.459666967	11	3	5	2.16666666667	56.7207	3600.0	49.77	power	0.2	9	14
3	cradle	715.966918945	12	4	4	2.0	56.7207	3600.0	47.48	power	0.2	9	14
1	3	160.259333134	5	2	3	1.93333333333	56.7207	3600.0	47.36	power	0.2	6	14
2	3	83.5975658894	7	2	3	1.66666666667	56.7207	3600.0	47.32	power	0.2	6	14
3	3	153.071788788	6	3	3	1.8	56.7207	3600.0	45.56	power	0.2	6	14
1	2	295.53399992	6	3	3	1.73333333333	56.7207	3600.0	47.88	power	0.2	6	14
2	2	235.192026138	6	2	3	1.73333333333	56.7207	3600.0	49.54	power	0.2	6	14
3	2	299.821059942	6	2	3	1.73333333333	56.7207	3600.0	48.0	power	0.2	6	14
1	1	375.435060978	6	3	3	1.73333333333	56.7207	3600.0	45.97	power	0.2	6	14
2	1	363.20014286	7	2	3	1.66666666667	56.7207	3600.0	47.32	power	0.2	6	14
3	1	404.675663948	6	2	3	1.73333333333	56.7207	3600.0	48.0	power	0.2	6	14
1	cradle	103.105757952	7	3	3	1.66666666667	56.7207	3600.0	46.77	power	0.2	6	14
2	cradle	80.0035340786	7	3	3	1.66666666667	56.7207	3600.0	46.77	power	0.2	6	14
3	cradle	124.599787951	7	3	3	1.66666666667	56.7207	3600.0	46.77	power	0.2	6	14
1	3	631.768798113	11	3	4	2.11111111111	56.7207	3600.0	48.51	power	0.1	9	14
2	3	484.281951904	11	3	4	2.05555555556	56.7207	3600.0	46.44	power	0.1	9	14
3	3	478.452333927	12	3	4	2.0	56.7207	3600.0	48.75	power	0.1	9	14
1	2	512.512058973	12	3	4	2.0	56.7207	3600.0	48.92	power	0.1	9	14
2	2	894.989967823	11	3	4	2.05555555556	56.7207	3600.0	48.51	power	0.1	9	14
3	2	1070.33489394	9	3	4	2.33333333333	56.7207	3600.0	49.94	power	0.1	9	14
1	1	740.410924911	10	3	4	2.22222222222	56.7207	3600.0	49.16	power	0.1	9	14
2	1	1389.81820393	11	3	4	2.05555555556	56.7207	3600.0	48.07	power	0.1	9	14
3	1	871.021897078	11	3	4	2.11111111111	56.7207	3600.0	46.91	power	0.1	9	14
1	cradle	204.941236973	11	3	5	2.16666666667	56.7207	3600.0	45.98	power	0.1	9	14
2	cradle	626.98607111	11	3	5	2.22222222222	56.7207	3600.0	46.73	power	0.1	9	14
3	cradle	283.241778851	12	3	4	2.0	56.7207	3600.0	46.71	power	0.1	9	14
1	3	109.835083008	6	3	3	1.73333333333	56.7207	3600.0	45.16	power	0.1	6	14
2	3	109.60491395	6	3	3	1.73333333333	56.7207	3600.0	45.65	power	0.1	6	14
3	3	108.80313611	6	3	3	1.73333333333	56.7207	3600.0	45.65	power	0.1	6	14
1	2	240.107085943	7	3	3	1.66666666667	56.7207	3600.0	42.12	power	0.1	6	14
2	2	247.881158829	6	3	3	1.73333333333	56.7207	3600.0	45.03	power	0.1	6	14
3	2	182.104718924	7	3	3	1.66666666667	56.7207	3600.0	43.97	power	0.1	6	14
1	1	348.083153009	6	2	3	1.73333333333	56.7207	3600.0	46.36	power	0.1	6	14
2	1	354.698555946	6	2	3	1.73333333333	56.7207	3600.0	46.36	power	0.1	6	14
3	1	376.264915943	6	2	3	1.73333333333	56.7207	3600.0	44.35	power	0.1	6	14
1	cradle	100.849228859	6	2	4	1.86666666667	56.7207	3600.0	42.98	power	0.1	6	14
2	cradle	123.421861172	7	3	3	1.66666666667	56.7207	3600.0	42.33	power	0.1	6	14
3	cradle	121.482852936	7	3	3	1.66666666667	56.7207	3600.0	44.16	power	0.1	6	14
