trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap	numchips	candidates
1	1	4848.27234197	18	3	5	2.4358974359	41.9991	3200.0	48.78	power	0.2	13	14
2	1	4773.37794089	18	3	5	2.41025641026	41.9991	3200.0	49.79	power	0.2	13	14
3	1	4964.59947205	17	3	6	2.5641025641	41.9991	3200.0	48.68	power	0.2	13	14
4	1	6227.68333387	18	4	5	2.4358974359	41.9991	3200.0	48.01	power	0.2	13	14
5	1	4567.36217594	17	3	5	2.46153846154	41.9991	3200.0	49.31	power	0.2	13	14
6	1	5637.06133008	17	3	5	2.51282051282	41.9991	3200.0	49.78	power	0.2	13	14
7	1	4804.79046106	18	4	5	2.41025641026	41.9991	3200.0	48.6	power	0.2	13	14
8	1	5449.92880702	16	4	4	2.46153846154	41.9991	3200.0	49.62	power	0.2	13	14
9	1	7547.69935703	18	4	5	2.4358974359	41.9991	3200.0	49.83	power	0.2	13	14
10	1	4856.84256721	18	4	5	2.46153846154	41.9991	3200.0	48.01	power	0.2	13	14
1	cradle	3304.6672771	16	4	6	2.58974358974	41.9991	3200.0	49.51	power	0.2	13	14
2	cradle	2515.56362796	17	3	6	2.61538461538	41.9991	3200.0	49.71	power	0.2	13	14
3	cradle	3497.18850017	17	4	6	2.5641025641	41.9991	3200.0	49.0	power	0.2	13	14
4	cradle	3327.98921299	17	4	5	2.48717948718	41.9991	3200.0	47.81	power	0.2	13	14
5	cradle	1985.65313792	16	3	5	2.5641025641	41.9991	3200.0	49.86	power	0.2	13	14
6	cradle	3240.75679803	17	4	5	2.46153846154	41.9991	3200.0	49.43	power	0.2	13	14
7	cradle	2929.49160504	18	3	5	2.41025641026	37.8684	3000.0	48.76	power	0.2	13	14
8	cradle	2751.00015402	15	3	5	2.71794871795	41.9991	3200.0	49.68	power	0.2	13	14
9	cradle	3795.54667306	15	5	6	2.76923076923	41.9991	3200.0	44.92	power	0.2	13	14
10	cradle	3382.07071614	16	4	5	2.53846153846	41.9991	3200.0	49.88	power	0.2	13	14
1	1	320.477829933	4	2	2	1.6	56.7207	3600.0	47.27	power	0.2	5	28
2	1	319.687325001	4	2	2	1.6	56.7207	3600.0	47.27	power	0.2	5	28
3	1	337.921525002	4	2	2	1.6	56.7207	3600.0	47.27	power	0.2	5	28
4	1	315.196805954	4	2	2	1.6	56.7207	3600.0	47.27	power	0.2	5	28
5	1	316.744037867	4	2	2	1.6	56.7207	3600.0	47.27	power	0.2	5	28
6	1	318.907949924	4	2	2	1.6	56.7207	3600.0	47.27	power	0.2	5	28
7	1	313.68623209	4	2	2	1.6	56.7207	3600.0	47.27	power	0.2	5	28
8	1	322.694581985	4	2	2	1.6	56.7207	3600.0	47.27	power	0.2	5	28
9	1	340.364484787	4	2	2	1.6	56.7207	3600.0	47.27	power	0.2	5	28
10	1	335.944298983	4	2	2	1.6	56.7207	3600.0	47.27	power	0.2	5	28
1	cradle	212.867981911	4	2	2	1.6	56.7207	3600.0	47.27	power	0.2	5	28
2	cradle	190.489437103	4	2	2	1.6	56.7207	3600.0	47.27	power	0.2	5	28
3	cradle	179.578976154	4	2	2	1.6	56.7207	3600.0	47.27	power	0.2	5	28
4	cradle	188.86038208	4	2	2	1.6	56.7207	3600.0	47.27	power	0.2	5	28
5	cradle	180.734030008	4	2	2	1.6	56.7207	3600.0	47.27	power	0.2	5	28
6	cradle	186.726171017	4	2	2	1.6	56.7207	3600.0	47.27	power	0.2	5	28
7	cradle	181.746289968	4	2	2	1.6	56.7207	3600.0	47.27	power	0.2	5	28
8	cradle	183.983183146	4	2	2	1.6	56.7207	3600.0	47.27	power	0.2	5	28
9	cradle	185.000018835	4	2	2	1.6	56.7207	3600.0	47.27	power	0.2	5	28
10	cradle	177.288589001	4	2	2	1.6	56.7207	3600.0	47.27	power	0.2	5	28
1	1	4264.59830213	17	5	6	2.53846153846	56.7207	3600.0	49.86	power	0.1	13	14
2	1	5650.56353807	16	5	6	2.64102564103	41.9991	3200.0	43.99	power	0.1	13	14
3	1	3524.20373201	18	3	5	2.41025641026	41.9991	3200.0	46.86	power	0.1	13	14
4	1	3949.5380218	18	3	5	2.41025641026	41.9991	3200.0	47.7	power	0.1	13	14
5	1	3060.77991295	17	5	6	2.5641025641	56.7207	3600.0	49.09	power	0.1	13	14
6	1	3880.96783304	17	3	6	2.53846153846	41.9991	3200.0	46.08	power	0.1	13	14
7	1	3696.13653183	16	3	4	2.46153846154	41.9991	3200.0	49.17	power	0.1	13	14
8	1	5772.09876394	17	5	7	2.66666666667	41.9991	3200.0	43.67	power	0.1	13	14
9	1	4261.85937881	16	4	6	2.64102564103	56.7207	3600.0	48.45	power	0.1	13	14
10	1	3983.02078485	17	3	5	2.46153846154	41.9991	3200.0	46.69	power	0.1	13	14
1	cradle	1454.99668193	13	3	8	3.33333333333	56.7207	3600.0	49.14	power	0.1	13	14
2	cradle	2328.920645	17	3	6	2.53846153846	41.9991	3200.0	44.47	power	0.1	13	14
3	cradle	2307.97596312	15	5	7	2.87179487179	56.7207	3600.0	49.59	power	0.1	13	14
4	cradle	2272.17358899	17	3	5	2.46153846154	41.9991	3200.0	49.28	power	0.1	13	14
5	cradle	1895.40424991	16	4	6	2.69230769231	56.7207	3600.0	49.93	power	0.1	13	14
