chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap	numchips	candidates
2	1161.66089837	10.3333333333	3.33333333333	4.0	2.14814814815	51.8135	3466.66666667	47.67	power	0.2	9	14
2	1150.73014565	10.6666666667	3.33333333333	4.33333333333	2.15740740741	51.8135	3466.66666667	47.575	power	0.2	9	14
2	1146.56540619	10.5555555556	3.11111111111	4.33333333333	2.16049382716	48.5420333333	3377.77777778	47.1455555556	power	0.2	9	14
2	1127.37895749	10.4166666667	3.16666666667	4.33333333333	2.1712962963	50.5867	3433.33333333	47.5925	power	0.2	9	14
2	1133.71663974	10.5333333333	3.2	4.26666666667	2.14814814815	49.85062	3413.33333333	47.364	power	0.2	9	14
1	1531.08473102	11.0	3.33333333333	4.0	2.09259259259	56.7207	3600.0	49.0166666667	power	0.2	9	14
1	1789.79747001	10.8333333333	3.16666666667	4.0	2.09259259259	54.2671	3533.33333333	48.9616666667	power	0.2	9	14
1	2012.8537431	10.5555555556	3.22222222222	4.11111111111	2.13580246914	51.8135	3466.66666667	48.1433333333	power	0.2	9	14
1	2047.97387441	10.5	3.25	4.08333333333	2.13888888889	50.5867	3433.33333333	47.7675	power	0.2	9	14
1	2040.28283434	10.4666666667	3.33333333333	4.13333333333	2.14444444444	49.85062	3413.33333333	47.5213333333	power	0.2	9	14
cradle	586.45673267	11.3333333333	3.33333333333	4.0	2.07407407407	51.8135	3466.66666667	48.4466666667	power	0.2	9	14
cradle	628.677899639	11.0	3.33333333333	4.66666666667	2.18518518519	49.3599	3400.0	47.6	power	0.2	9	14
cradle	651.972859436	10.8888888889	3.22222222222	4.66666666667	2.1975308642	51.8135	3466.66666667	48.0755555556	power	0.2	9	14
cradle	663.806593915	10.8333333333	3.16666666667	4.75	2.21296296296	51.8135	3466.66666667	47.8766666667	power	0.2	9	14
cradle	656.215221341	10.7333333333	3.06666666667	4.73333333333	2.22222222222	50.83206	3440.0	47.7633333333	power	0.2	9	14
cradle	118.282090982	7.0	3.0	3.0	1.66666666667	56.7207	3600.0	45.7833333333	power	0.2	6	14
cradle	107.230894009	6.83333333333	2.83333333333	3.16666666667	1.7	56.7207	3600.0	46.1833333333	power	0.2	6	14
cradle	109.064435244	6.88888888889	2.88888888889	3.11111111111	1.68888888889	56.7207	3600.0	46.2144444444	power	0.2	6	14
cradle	109.60691001	6.83333333333	2.83333333333	3.16666666667	1.7	56.7207	3600.0	46.16	power	0.2	6	14
cradle	106.956811476	6.8	2.8	3.2	1.70666666667	56.7207	3600.0	46.3686666667	power	0.2	6	14
cradle	311.403594971	11.3333333333	3.0	4.33333333333	2.12962962963	56.7207	3600.0	46.4766666667	power	0.1	9	14
cradle	294.185728788	11.5	3.16666666667	4.33333333333	2.10185185185	56.7207	3600.0	46.6266666667	power	0.1	9	14
cradle	328.246526533	11.6666666667	3.11111111111	4.22222222222	2.06790123457	56.7207	3600.0	47.1766666667	power	0.1	9	14
cradle	306.413715879	11.4166666667	3.16666666667	4.25	2.09722222222	56.7207	3600.0	47.7341666667	power	0.1	9	14
cradle	319.65791939	11.5	3.21428571429	4.21428571429	2.08333333333	56.7207	3600.0	47.6064285714	power	0.1	9	14
cradle	104.839593967	7.0	3.0	3.0	1.66666666667	56.7207	3600.0	43.55	power	0.1	6	14
cradle	108.270251513	6.66666666667	2.83333333333	3.16666666667	1.72222222223	56.7207	3600.0	43.79	power	0.1	6	14
cradle	110.02899252	6.77777777778	2.88888888889	3.11111111111	1.70370370371	56.7207	3600.0	43.5066666667	power	0.1	6	14
cradle	108.143074175	6.75	2.83333333333	3.16666666667	1.71111111111	56.7207	3600.0	43.8041666667	power	0.1	6	14
cradle	108.124569035	6.8	2.86666666667	3.13333333333	1.70222222223	56.7207	3600.0	43.5093333333	power	0.1	6	14
