trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap	numchips	candidates
1	3	633.052968979	9	4	5	2.44444444444	56.7207	3600.0	47.28	power	0.2	9	12
2	3	882.665030003	9	3	5	2.55555555556	56.7207	3600.0	49.85	power	0.2	9	12
3	3	625.711129189	9	4	5	2.38888888889	56.7207	3600.0	48.08	power	0.2	9	12
4	3	477.73937583	10	3	6	2.55555555556	56.7207	3600.0	49.77	power	0.2	9	12
5	3	856.625695944	9	4	5	2.33333333333	56.7207	3600.0	49.63	power	0.2	9	12
6	3	1039.00275588	8	4	5	2.66666666667	56.7207	3600.0	47.28	power	0.2	9	12
7	3	724.330927134	9	4	6	2.61111111111	56.7207	3600.0	49.9	power	0.2	9	12
8	3	562.289520025	8	3	6	2.72222222222	56.7207	3600.0	47.95	power	0.2	9	12
9	3	752.011245012	8	4	6	2.83333333333	56.7207	3600.0	48.23	power	0.2	9	12
10	3	717.306332111	8	3	5	2.55555555556	56.7207	3600.0	49.32	power	0.2	9	12
1	3	778.156011105	8	3	6	2.72222222222	56.7207	3600.0	49.66	power	0.2	9	13
2	3	996.242558956	9	5	6	2.72222222222	56.7207	3600.0	44.8	power	0.2	9	13
3	3	852.543346167	9	4	5	2.55555555556	56.7207	3600.0	49.95	power	0.2	9	13
4	3	561.877163887	8	3	6	2.88888888889	56.7207	3600.0	47.98	power	0.2	9	13
5	3	951.713947058	9	4	5	2.5	56.7207	3600.0	49.71	power	0.2	9	13
6	3	612.548135042	10	4	5	2.27777777778	56.7207	3600.0	49.71	power	0.2	9	13
7	3	744.766381025	9	3	5	2.5	56.7207	3600.0	48.47	power	0.2	9	13
8	3	701.75759697	10	3	5	2.33333333333	56.7207	3600.0	49.33	power	0.2	9	13
9	3	949.967167854	9	3	5	2.5	56.7207	3600.0	48.43	power	0.2	9	13
10	3	631.587758064	9	4	5	2.5	56.7207	3600.0	46.97	power	0.2	9	13
1	3	736.179190159	8	3	7	3.05555555556	56.7207	3600.0	49.48	power	0.2	9	14
2	3	690.007078886	10	4	6	2.55555555556	56.7207	3600.0	47.11	power	0.2	9	14
3	3	708.913060904	8	3	6	2.83333333333	56.7207	3600.0	49.09	power	0.2	9	14
4	3	595.761951923	9	3	7	3.0	56.7207	3600.0	47.52	power	0.2	9	14
5	3	731.718147039	9	4	5	2.5	56.7207	3600.0	49.8	power	0.2	9	14
6	3	728.776349783	9	4	5	2.5	56.7207	3600.0	49.79	power	0.2	9	14
7	3	847.671355963	8	4	5	2.55555555556	56.7207	3600.0	47.29	power	0.2	9	14
8	3	623.744354963	9	3	5	2.55555555556	56.7207	3600.0	48.17	power	0.2	9	14
9	3	726.151642084	8	4	5	2.44444444444	56.7207	3600.0	49.74	power	0.2	9	14
10	3	430.69313097	8	3	7	3.0	56.7207	3600.0	46.25	power	0.2	9	14
1	3	692.68620491	8	4	7	3.0	56.7207	3600.0	48.4	power	0.2	9	15
2	3	862.168877125	8	3	7	3.0	56.7207	3600.0	47.23	power	0.2	9	15
3	3	725.97606492	8	4	6	2.88888888889	56.7207	3600.0	48.46	power	0.2	9	15
4	3	627.963488102	8	3	7	3.0	56.7207	3600.0	46.42	power	0.2	9	15
5	3	561.874434948	8	3	6	2.72222222222	56.7207	3600.0	47.67	power	0.2	9	15
6	3	974.531359911	9	3	6	2.55555555556	56.7207	3600.0	49.84	power	0.2	9	15
7	3	787.852416992	8	5	8	3.33333333333	56.7207	3600.0	45.65	power	0.2	9	15
8	3	939.593602896	10	3	5	2.33333333333	56.7207	3600.0	49.65	power	0.2	9	15
9	3	749.991671085	8	4	6	2.66666666667	56.7207	3600.0	49.42	power	0.2	9	15
10	3	869.413664103	9	3	4	2.22222222222	56.7207	3600.0	49.58	power	0.2	9	15
1	3	748.36623621	8	3	6	2.88888888889	56.7207	3600.0	48.49	power	0.2	9	16
2	3	741.67848897	10	2	5	2.33333333333	41.9991	3200.0	45.43	power	0.2	9	16
3	3	1072.50865793	9	3	4	2.33333333333	41.9991	3200.0	45.58	power	0.2	9	16
4	3	972.933227062	8	4	5	2.55555555556	56.7207	3600.0	46.67	power	0.2	9	16
5	3	1347.11952114	10	4	5	2.27777777778	56.7207	3600.0	49.68	power	0.2	9	16
6	3	1286.58193302	9	4	5	2.33333333333	41.9991	3200.0	46.4	power	0.2	9	16
7	3	902.465477943	9	4	6	2.61111111111	56.7207	3600.0	47.26	power	0.2	9	16
8	3	1119.41911292	9	4	4	2.22222222222	56.7207	3600.0	48.13	power	0.2	9	16
9	3	852.846656084	9	3	5	2.33333333333	56.7207	3600.0	49.72	power	0.2	9	16
10	3	637.40261507	8	5	6	2.72222222222	56.7207	3600.0	44.97	power	0.2	9	16
1	2	1083.78444099	10	3	5	2.38888888889	56.7207	3600.0	48.98	power	0.2	9	12
2	2	1193.28891993	9	3	5	2.5	56.7207	3600.0	48.97	power	0.2	9	12
3	2	860.122076988	8	3	6	2.83333333333	56.7207	3600.0	47.54	power	0.2	9	12
4	2	850.959937811	9	4	5	2.44444444444	56.7207	3600.0	47.49	power	0.2	9	12
5	2	887.461369991	9	3	5	2.44444444444	41.9991	3200.0	44.12	power	0.2	9	12
6	2	551.457316875	9	3	5	2.33333333333	56.7207	3600.0	48.16	power	0.2	9	12
7	2	477.930900097	9	4	5	2.44444444444	56.7207	3600.0	47.98	power	0.2	9	12
8	2	1148.51247096	8	3	6	2.72222222222	41.9991	3200.0	44.31	power	0.2	9	12
9	2	542.195492983	9	3	6	2.55555555556	56.7207	3600.0	48.4	power	0.2	9	12
10	2	672.68076396	9	3	5	2.44444444444	56.7207	3600.0	49.04	power	0.2	9	12
1	2	1111.794981	9	5	6	2.72222222222	56.7207	3600.0	48.16	power	0.2	9	13
2	2	1157.62696314	8	4	5	2.61111111111	56.7207	3600.0	47.7	power	0.2	9	13
3	2	960.806612015	9	3	6	2.77777777778	56.7207	3600.0	47.19	power	0.2	9	13
4	2	633.256462097	8	3	7	3.0	56.7207	3600.0	46.35	power	0.2	9	13
5	2	710.01535511	8	3	7	3.0	56.7207	3600.0	49.83	power	0.2	9	13
6	2	914.84008503	10	3	5	2.33333333333	56.7207	3600.0	49.32	power	0.2	9	13
7	2	1349.77007699	9	4	5	2.5	41.9991	3200.0	44.74	power	0.2	9	13
8	2	701.850739002	9	3	5	2.44444444444	56.7207	3600.0	48.58	power	0.2	9	13
9	2	1585.32599306	8	5	5	2.55555555556	56.7207	3600.0	46.47	power	0.2	9	13
10	2	1049.97091293	10	4	5	2.27777777778	56.7207	3600.0	49.73	power	0.2	9	13
1	2	1075.35412884	9	4	5	2.5	56.7207	3600.0	49.28	power	0.2	9	14
2	2	759.235338926	8	4	7	3.05555555556	56.7207	3600.0	48.4	power	0.2	9	14
3	2	880.296015978	9	3	6	2.66666666667	56.7207	3600.0	47.73	power	0.2	9	14
4	2	1022.99052882	8	3	6	2.83333333333	56.7207	3600.0	47.2	power	0.2	9	14
5	2	881.304828882	9	4	5	2.5	56.7207	3600.0	49.98	power	0.2	9	14
6	2	893.247269869	9	4	6	2.55555555556	56.7207	3600.0	48.22	power	0.2	9	14
7	2	871.570786953	8	4	5	2.55555555556	56.7207	3600.0	47.92	power	0.2	9	14
8	2	908.96468401	10	2	5	2.33333333333	41.9991	3200.0	45.94	power	0.2	9	14
9	2	1022.83982205	9	5	6	2.61111111111	56.7207	3600.0	49.43	power	0.2	9	14
10	2	1120.06146312	9	3	5	2.44444444444	41.9991	3200.0	44.31	power	0.2	9	14
1	2	1230.11028409	9	4	6	2.61111111111	56.7207	3600.0	47.05	power	0.2	9	15
2	2	904.155810118	9	4	7	3.0	56.7207	3600.0	49.92	power	0.2	9	15
3	2	1514.54306102	9	4	5	2.5	56.7207	3600.0	49.49	power	0.2	9	15
4	2	1430.99356794	9	4	5	2.38888888889	56.7207	3600.0	47.92	power	0.2	9	15
5	2	1076.2831831	8	3	6	2.83333333333	56.7207	3600.0	47.44	power	0.2	9	15
6	2	1125.66796398	10	3	5	2.27777777778	56.7207	3600.0	49.22	power	0.2	9	15
7	2	1420.43989611	10	3	4	2.16666666667	56.7207	3600.0	49.31	power	0.2	9	15
8	2	1023.07862902	8	3	6	2.83333333333	56.7207	3600.0	47.65	power	0.2	9	15
9	2	412.151801825	9	3	5	2.55555555556	56.7207	3600.0	47.35	power	0.2	9	15
10	2	967.016330957	10	3	5	2.33333333333	56.7207	3600.0	49.35	power	0.2	9	15
1	2	871.375844955	10	3	5	2.38888888889	56.7207	3600.0	48.67	power	0.2	9	16
2	2	1130.62628007	9	3	5	2.5	56.7207	3600.0	48.41	power	0.2	9	16
3	2	909.039064884	10	3	5	2.33333333333	56.7207	3600.0	48.82	power	0.2	9	16
4	2	1521.9533639	8	4	5	2.55555555556	56.7207	3600.0	47.6	power	0.2	9	16
5	2	1029.62588692	8	4	6	2.83333333333	56.7207	3600.0	48.81	power	0.2	9	16
6	2	1242.33970594	9	5	5	2.5	56.7207	3600.0	48.03	power	0.2	9	16
7	2	1642.34694409	9	4	4	2.22222222222	41.9991	3200.0	45.4	power	0.2	9	16
8	2	1353.96512508	9	3	4	2.33333333333	56.7207	3600.0	49.02	power	0.2	9	16
9	2	1015.56354713	9	3	5	2.5	56.7207	3600.0	48.79	power	0.2	9	16
10	2	917.141659021	8	3	7	3.0	56.7207	3600.0	46.25	power	0.2	9	16
1	1	2038.31602907	8	3	5	2.55555555556	41.9991	3200.0	44.6	power	0.2	9	12
2	1	771.336974144	9	3	5	2.55555555556	56.7207	3600.0	48.81	power	0.2	9	12
3	1	1193.77632809	8	3	6	2.72222222222	56.7207	3600.0	47.71	power	0.2	9	12
4	1	1211.58050394	8	3	5	2.66666666667	56.7207	3600.0	47.48	power	0.2	9	12
5	1	1272.17603087	10	3	5	2.33333333333	56.7207	3600.0	48.8	power	0.2	9	12
6	1	1047.2219758	8	4	7	3.05555555556	56.7207	3600.0	45.2	power	0.2	9	12
7	1	1157.75172091	11	3	5	2.16666666667	56.7207	3600.0	49.98	power	0.2	9	12
8	1	1120.31535602	10	3	6	2.44444444444	56.7207	3600.0	49.7	power	0.2	9	12
9	1	1084.74777913	9	3	7	2.88888888889	56.7207	3600.0	48.42	power	0.2	9	12
10	1	633.789233923	9	3	5	2.38888888889	56.7207	3600.0	49.69	power	0.2	9	12
1	1	1327.35271907	10	4	5	2.38888888889	56.7207	3600.0	49.29	power	0.2	9	13
2	1	986.758760929	9	3	5	2.44444444444	56.7207	3600.0	48.59	power	0.2	9	13
3	1	1396.335464	10	4	5	2.33333333333	56.7207	3600.0	47.88	power	0.2	9	13
4	1	1795.24174905	10	5	5	2.33333333333	56.7207	3600.0	48.25	power	0.2	9	13
5	1	1517.01181698	8	4	6	2.83333333333	56.7207	3600.0	49.86	power	0.2	9	13
6	1	1656.85876703	8	3	6	2.83333333333	56.7207	3600.0	49.88	power	0.2	9	13
7	1	1519.82439709	9	3	4	2.33333333333	41.9991	3200.0	44.73	power	0.2	9	13
8	1	2157.80580807	9	3	5	2.5	41.9991	3200.0	45.84	power	0.2	9	13
9	1	1745.97463107	9	4	6	2.55555555556	56.7207	3600.0	47.72	power	0.2	9	13
10	1	1500.55389714	8	4	6	2.72222222222	56.7207	3600.0	49.49	power	0.2	9	13
1	1	996.135234833	8	3	7	3.0	56.7207	3600.0	47.33	power	0.2	9	14
2	1	1664.00639701	8	3	6	2.83333333333	56.7207	3600.0	47.09	power	0.2	9	14
3	1	1625.33599401	8	3	6	2.72222222222	56.7207	3600.0	47.22	power	0.2	9	14
4	1	1912.16343808	11	3	5	2.22222222222	41.9991	3200.0	44.15	power	0.2	9	14
5	1	1495.63867998	9	4	5	2.5	56.7207	3600.0	49.73	power	0.2	9	14
6	1	1879.01734304	9	3	5	2.44444444444	56.7207	3600.0	48.85	power	0.2	9	14
7	1	991.378274918	8	3	6	2.83333333333	56.7207	3600.0	48.83	power	0.2	9	14
8	1	1576.63614202	10	4	5	2.38888888889	41.9991	3200.0	43.89	power	0.2	9	14
9	1	1258.16950297	9	3	5	2.38888888889	56.7207	3600.0	48.31	power	0.2	9	14
10	1	1874.61577892	9	4	5	2.55555555556	56.7207	3600.0	49.63	power	0.2	9	14
1	1	1195.82584906	8	4	5	2.72222222222	56.7207	3600.0	47.13	power	0.2	9	15
2	1	883.169411898	8	3	6	2.72222222222	56.7207	3600.0	48.82	power	0.2	9	15
3	1	1509.42381501	8	5	5	2.66666666667	56.7207	3600.0	47.28	power	0.2	9	15
4	1	2184.33698201	8	4	6	2.72222222222	56.7207	3600.0	46.9	power	0.2	9	15
5	1	1698.24231386	8	4	6	2.66666666667	56.7207	3600.0	49.65	power	0.2	9	15
6	1	1575.48862791	8	4	5	2.55555555556	56.7207	3600.0	49.43	power	0.2	9	15
7	1	1278.46608901	8	3	7	3.05555555556	56.7207	3600.0	48.41	power	0.2	9	15
8	1	1029.12479115	8	3	8	3.33333333333	56.7207	3600.0	45.76	power	0.2	9	15
9	1	2350.45395994	8	4	5	2.55555555556	56.7207	3600.0	49.25	power	0.2	9	15
10	1	1686.97475505	10	4	4	2.22222222222	56.7207	3600.0	48.94	power	0.2	9	15
1	1	1562.91105294	9	3	5	2.38888888889	56.7207	3600.0	49.81	power	0.2	9	16
2	1	1866.43163991	8	3	5	2.55555555556	56.7207	3600.0	49.05	power	0.2	9	16
3	1	981.042357922	11	3	4	2.11111111111	56.7207	3600.0	49.93	power	0.2	9	16
4	1	1678.49319386	8	4	6	2.88888888889	56.7207	3600.0	45.04	power	0.2	9	16
5	1	1138.47065592	9	3	5	2.55555555556	56.7207	3600.0	47.84	power	0.2	9	16
6	1	1460.11352706	10	4	5	2.33333333333	56.7207	3600.0	47.73	power	0.2	9	16
7	1	1824.2378459	10	3	5	2.33333333333	56.7207	3600.0	49.33	power	0.2	9	16
8	1	623.817476034	8	3	6	2.72222222222	56.7207	3600.0	47.38	power	0.2	9	16
9	1	1431.29564905	8	3	6	2.72222222222	56.7207	3600.0	48.08	power	0.2	9	16
10	1	598.034968138	8	3	5	2.66666666667	56.7207	3600.0	49.22	power	0.2	9	16
1	cradle	287.869688988	8	3	8	3.33333333333	56.7207	3600.0	42.05	power	0.2	9	12
2	cradle	519.386722088	9	3	7	2.88888888889	56.7207	3600.0	49.06	power	0.2	9	12
3	cradle	286.411309004	8	4	8	3.33333333333	56.7207	3600.0	42.04	power	0.2	9	12
4	cradle	287.293811083	8	5	7	3.0	56.7207	3600.0	43.16	power	0.2	9	12
5	cradle	173.59957695	8	2	8	3.33333333333	56.7207	3600.0	46.55	power	0.2	9	12
6	cradle	677.701534986	10	3	5	2.38888888889	56.7207	3600.0	48.94	power	0.2	9	12
7	cradle	486.393101931	9	4	6	2.61111111111	56.7207	3600.0	45.31	power	0.2	9	12
8	cradle	523.190757036	8	4	5	2.66666666667	56.7207	3600.0	48.46	power	0.2	9	12
9	cradle	527.630522966	9	3	7	2.88888888889	56.7207	3600.0	46.41	power	0.2	9	12
10	cradle	290.724241972	9	2	5	2.5	56.7207	3600.0	49.05	power	0.2	9	12
1	cradle	583.003298044	9	3	5	2.5	56.7207	3600.0	47.72	power	0.2	9	13
2	cradle	485.737319946	11	3	5	2.16666666667	56.7207	3600.0	48.67	power	0.2	9	13
3	cradle	206608.63232	0	0	0	0	0	0	0	power	0.2	9	13
4	cradle	254.541890144	8	3	8	3.33333333333	56.7207	3600.0	43.38	power	0.2	9	13
5	cradle	525.123720169	9	3	5	2.5	56.7207	3600.0	47.84	power	0.2	9	13
6	cradle	469.312584877	8	4	6	2.83333333333	56.7207	3600.0	48.85	power	0.2	9	13
7	cradle	450.539824963	8	3	8	3.33333333333	56.7207	3600.0	48.21	power	0.2	9	13
8	cradle	311.879452944	8	3	7	3.0	56.7207	3600.0	43.74	power	0.2	9	13
9	cradle	532.788192987	8	2	6	2.83333333333	56.7207	3600.0	48.05	power	0.2	9	13
10	cradle	680.921339989	10	2	5	2.38888888889	56.7207	3600.0	48.4	power	0.2	9	13
1	cradle	686.668020964	9	3	5	2.5	56.7207	3600.0	48.55	power	0.2	9	14
2	cradle	228.276033163	8	2	7	3.0	56.7207	3600.0	47.47	power	0.2	9	14
3	cradle	304.854879856	9	3	5	2.5	56.7207	3600.0	47.52	power	0.2	9	14
4	cradle	692.571244001	8	5	7	3.0	56.7207	3600.0	44.36	power	0.2	9	14
5	cradle	461.427697182	8	3	8	3.33333333333	56.7207	3600.0	46.37	power	0.2	9	14
