trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap	numchips	candidates
1	2	643.11234808	11	3	4	2.11111111111	56.7207	3600.0	49.42	power	0.2	9	5
2	2	618.260788202	10	4	5	2.27777777778	56.7207	3600.0	49.67	power	0.2	9	5
3	2	674.935765028	12	3	4	2.0	41.9991	3200.0	45.18	power	0.2	9	5
4	2	648.136398077	10	3	4	2.22222222222	41.9991	3200.0	45.24	power	0.2	9	5
5	2	523.284961939	9	4	6	2.55555555556	56.7207	3600.0	47.78	power	0.2	9	5
6	2	786.420445919	10	3	4	2.11111111111	41.9991	3200.0	47.23	power	0.2	9	5
7	2	608.102347136	10	4	5	2.44444444444	56.7207	3600.0	49.79	power	0.2	9	5
8	2	1106.28169012	11	3	4	2.05555555556	41.9991	3200.0	46.27	power	0.2	9	5
9	2	773.073086977	10	3	4	2.22222222222	41.9991	3200.0	45.3	power	0.2	9	5
10	2	481.960649014	9	4	5	2.38888888889	56.7207	3600.0	48.06	power	0.2	9	5
1	2	793.478148222	11	3	4	2.05555555556	41.9991	3200.0	46.67	power	0.2	9	6
2	2	619.479082108	9	3	5	2.33333333333	56.7207	3600.0	48.86	power	0.2	9	6
3	2	165.520680904	11	3	5	2.16666666667	56.7207	3600.0	48.91	power	0.2	9	6
4	2	640.098452091	11	3	4	2.05555555556	41.9991	3200.0	46.19	power	0.2	9	6
5	2	303.1418221	10	4	4	2.11111111111	56.7207	3600.0	48.5	power	0.2	9	6
6	2	627.58582902	11	4	4	2.11111111111	41.9991	3200.0	44.31	power	0.2	9	6
7	2	471.015725136	10	3	4	2.16666666667	41.9991	3200.0	45.84	power	0.2	9	6
8	2	620.830800056	9	3	5	2.44444444444	56.7207	3600.0	48.19	power	0.2	9	6
9	2	641.057045221	11	2	4	2.11111111111	41.9991	3200.0	45.87	power	0.2	9	6
10	2	566.505666971	10	3	4	2.22222222222	41.9991	3200.0	47.64	power	0.2	9	6
1	2	457.746900082	10	4	5	2.27777777778	56.7207	3600.0	47.77	power	0.2	9	7
2	2	793.731976986	9	4	5	2.38888888889	56.7207	3600.0	47.21	power	0.2	9	7
3	2	564.182427168	9	4	5	2.38888888889	56.7207	3600.0	48.8	power	0.2	9	7
4	2	647.269662142	9	3	5	2.5	56.7207	3600.0	47.96	power	0.2	9	7
5	2	822.492990971	10	3	4	2.22222222222	41.9991	3200.0	44.41	power	0.2	9	7
6	2	684.908116102	11	3	4	2.05555555556	41.9991	3200.0	44.78	power	0.2	9	7
7	2	533.747458935	9	5	5	2.33333333333	56.7207	3600.0	49.81	power	0.2	9	7
8	2	443.532132864	11	3	4	2.11111111111	41.9991	3200.0	44.68	power	0.2	9	7
9	2	1108.576509	10	4	4	2.11111111111	41.9991	3200.0	45.41	power	0.2	9	7
10	2	642.641664982	10	3	4	2.22222222222	56.7207	3600.0	49.77	power	0.2	9	7
1	2	523.091454983	10	3	5	2.27777777778	56.7207	3600.0	48.91	power	0.2	9	8
2	2	680.549304962	10	3	4	2.22222222222	56.7207	3600.0	49.5	power	0.2	9	8
3	2	795.834565878	10	4	5	2.22222222222	56.7207	3600.0	49.61	power	0.2	9	8
4	2	808.022843122	10	3	5	2.27777777778	56.7207	3600.0	49.81	power	0.2	9	8
5	2	728.502663851	11	3	4	2.11111111111	56.7207	3600.0	49.51	power	0.2	9	8
6	2	1086.75964808	10	4	4	2.16666666667	41.9991	3200.0	45.03	power	0.2	9	8
7	2	792.319571972	11	3	5	2.16666666667	56.7207	3600.0	49.31	power	0.2	9	8
8	2	671.922806978	11	3	5	2.16666666667	56.7207	3600.0	49.77	power	0.2	9	8
9	2	700.850418806	10	4	5	2.27777777778	56.7207	3600.0	46.9	power	0.2	9	8
10	2	477.316390038	11	3	4	2.11111111111	56.7207	3600.0	49.74	power	0.2	9	8
1	2	1014.67618394	11	3	4	2.05555555556	41.9991	3200.0	44.65	power	0.2	9	9
2	2	766.913868904	10	3	4	2.16666666667	56.7207	3600.0	49.48	power	0.2	9	9
3	2	845.505970001	10	4	4	2.16666666667	56.7207	3600.0	48.38	power	0.2	9	9
4	2	578.917438984	11	3	4	2.05555555556	56.7207	3600.0	49.56	power	0.2	9	9
5	2	1054.09209919	10	4	4	2.22222222222	56.7207	3600.0	47.68	power	0.2	9	9
6	2	983.122044086	10	3	4	2.11111111111	41.9991	3200.0	47.67	power	0.2	9	9
7	2	856.08098197	11	3	5	2.16666666667	56.7207	3600.0	49.67	power	0.2	9	9
8	2	1040.29070687	11	3	4	2.05555555556	56.7207	3600.0	49.66	power	0.2	9	9
9	2	1014.6751821	9	4	4	2.33333333333	56.7207	3600.0	47.38	power	0.2	9	9
10	2	903.307323933	11	3	5	2.22222222222	56.7207	3600.0	49.54	power	0.2	9	9
1	1	0.989142894745	0	0	0	0	0	0	0	power	0.2	9	0
2	1	1.12485289574	0	0	0	0	0	0	0	power	0.2	9	0
3	1	1.20281815529	0	0	0	0	0	0	0	power	0.2	9	0
4	1	1.2621049881	0	0	0	0	0	0	0	power	0.2	9	0
5	1	1.06748485565	0	0	0	0	0	0	0	power	0.2	9	0
6	1	1.11035299301	0	0	0	0	0	0	0	power	0.2	9	0
7	1	1.15290498734	0	0	0	0	0	0	0	power	0.2	9	0
8	1	1.1695690155	0	0	0	0	0	0	0	power	0.2	9	0
9	1	1.1556930542	0	0	0	0	0	0	0	power	0.2	9	0
10	1	1.10144901276	0	0	0	0	0	0	0	power	0.2	9	0
