chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap	numchips	candidates
3	1185.6073873	10.2	3.2	4.4	2.21666666667	52.30422	3480.0	47.951	power	0.2	9	22
3	1247.83765137	10.4	3.1	4.35	2.18333333333	50.09598	3420.0	47.619	power	0.2	9	23
cradle	1250.99176624	11.6	3.3	4.4	2.11111111111	56.7207	3600.0	48.526	power	0.2	9	32
cradle	292.734728765	7.0	3.0	3.0	1.66666666667	56.7207	3600.0	46.03	power	0.2	6	45
cradle	300.059013593	7.0	3.0	3.0	1.66666666667	56.7207	3600.0	46.03	power	0.2	6	46
3	1052.31268449	11.5	3.0	4.0	2.04444444444	56.7207	3600.0	48.448	power	0.1	9	41
3	1044.57133396	11.35	3.05	4.0	2.05277777778	56.7207	3600.0	48.3245	power	0.1	9	42
3	1100.92411935	11.2	3.16666666667	4.0	2.05925925926	56.7207	3600.0	48.1826666667	power	0.1	9	43
3	1105.05309656	11.3	3.1	4.0	2.05277777778	56.7207	3600.0	48.38975	power	0.1	9	44
3	1117.15816474	11.28	3.08	4.0	2.05444444445	56.7207	3600.0	48.4506	power	0.1	9	45
2	980.305278659	11.4	2.8	4.0	2.05	56.7207	3600.0	48.849	power	0.1	9	26
2	1016.16177783	11.3	2.95	4.0	2.05277777778	56.7207	3600.0	48.5395	power	0.1	9	27
2	1083.14306846	11.3666666667	2.93333333333	4.0	2.0462962963	56.7207	3600.0	48.6036666667	power	0.1	9	28
2	1119.66217086	11.35	2.925	4.025	2.04861111111	56.7207	3600.0	48.687	power	0.1	9	29
2	1143.29746434	11.34	2.96	4.04	2.05111111111	56.7207	3600.0	48.651	power	0.1	9	30
1	1219.17894228	10.9	2.8	4.0	2.06111111111	56.7207	3600.0	48.008	power	0.1	9	15
cradle	1091.14303818	12.0	3.25	4.0	2.0	56.7207	3600.0	48.2	power	0.1	9	61
cradle	1141.86683909	12.0	3.17647058824	4.0	2.0	56.7207	3600.0	47.5788235294	power	0.1	9	62
cradle	1156.15246809	12.0	3.14814814815	4.0	2.0	56.7207	3600.0	47.6696296296	power	0.1	9	63
cradle	1178.69272655	12.0	3.17142857143	4.0	2.0	56.7207	3600.0	47.6805714286	power	0.1	9	64
cradle	1191.90539948	12.0	3.22727272727	4.0	2.0	56.7207	3600.0	47.6527272727	power	0.1	9	65
cradle	298.039576912	7.0	3.0	3.0	1.66666666667	56.7207	3600.0	43.245	power	0.1	6	45
cradle	304.239190245	7.0	2.95	3.0	1.66666666667	56.7207	3600.0	43.214	power	0.1	6	46
