trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap	numchips	candidates
1	3	1042.54392099	10	3	4	2.22222222222	41.9991	3200.0	45.57	power	0.2	9	22
2	3	1466.33674502	9	3	6	2.66666666667	56.7207	3600.0	47.39	power	0.2	9	22
3	3	952.98584795	9	4	4	2.22222222222	56.7207	3600.0	48.64	power	0.2	9	22
4	3	1625.27294993	11	3	5	2.22222222222	56.7207	3600.0	49.49	power	0.2	9	22
5	3	929.241624117	11	3	4	2.11111111111	56.7207	3600.0	49.45	power	0.2	9	22
6	3	1267.22558904	11	3	5	2.16666666667	56.7207	3600.0	49.59	power	0.2	9	22
7	3	992.735785007	10	4	4	2.16666666667	56.7207	3600.0	47.7	power	0.2	9	22
8	3	996.699794054	11	4	4	2.05555555556	56.7207	3600.0	48.04	power	0.2	9	22
9	3	1396.31867409	11	3	4	2.11111111111	41.9991	3200.0	45.25	power	0.2	9	22
10	3	1186.71294284	9	2	4	2.22222222222	41.9991	3200.0	48.39	power	0.2	9	22
1	3	1417.87022901	11	3	4	2.11111111111	41.9991	3200.0	45.14	power	0.2	9	23
2	3	1246.53820109	11	2	4	2.11111111111	41.9991	3200.0	46.46	power	0.2	9	23
3	3	1490.068609	11	3	4	2.05555555556	41.9991	3200.0	47.4	power	0.2	9	23
4	3	1331.69242191	10	3	4	2.22222222222	41.9991	3200.0	44.85	power	0.2	9	23
5	3	1396.32648611	10	4	5	2.22222222222	56.7207	3600.0	49.05	power	0.2	9	23
6	3	1582.35553598	11	3	4	2.05555555556	41.9991	3200.0	46.39	power	0.2	9	23
7	3	1059.22690105	10	3	4	2.16666666667	56.7207	3600.0	49.51	power	0.2	9	23
8	3	1118.18393302	11	3	4	2.05555555556	41.9991	3200.0	45.51	power	0.2	9	23
9	3	964.495614052	11	3	4	2.05555555556	56.7207	3600.0	49.7	power	0.2	9	23
10	3	1493.92122316	10	3	6	2.44444444444	56.7207	3600.0	48.86	power	0.2	9	23
1	cradle	1992.38422608	10	3	6	2.55555555556	56.7207	3600.0	45.69	power	0.2	9	32
2	cradle	1153.06973314	12	3	4	2.0	56.7207	3600.0	49.02	power	0.2	9	32
3	cradle	1375.05486798	10	4	6	2.55555555556	56.7207	3600.0	47.94	power	0.2	9	32
