chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap	numchips	candidates
3	996.350443522	10.3333333333	3.0	4.0	2.12962962963	41.9991	3200.0	45.8666666667	power	0.2	9	14
2	1202.50959992	10.0	3.0	4.0	2.18518518519	51.8135	3466.66666667	48.5833333333	power	0.2	9	14
1	1893.60856493	10.6666666667	3.66666666667	4.33333333333	2.12962962963	51.8135	3466.66666667	47.7333333333	power	0.2	9	14
cradle	604.36266764	10.6666666667	3.66666666667	4.33333333333	2.18518518519	56.7207	3600.0	48.53	power	0.2	9	14
3	132.309562604	6.0	2.33333333333	3.0	1.8	56.7207	3600.0	46.7466666667	power	0.2	6	14
2	276.849028667	6.0	2.33333333333	3.0	1.73333333333	56.7207	3600.0	48.4733333333	power	0.2	6	14
1	381.103622595	6.33333333333	2.33333333333	3.0	1.71111111111	56.7207	3600.0	47.0966666667	power	0.2	6	14
cradle	102.569693327	7.0	3.0	3.0	1.66666666667	56.7207	3600.0	46.77	power	0.2	6	14
3	531.501027981	11.3333333333	3.0	4.0	2.05555555556	56.7207	3600.0	47.9	power	0.1	9	14
2	825.945640246	10.6666666667	3.0	4.0	2.12962962963	56.7207	3600.0	49.1233333333	power	0.1	9	14
1	1000.41700864	10.6666666667	3.0	4.0	2.12962962963	56.7207	3600.0	48.0466666667	power	0.1	9	14
cradle	371.723028978	11.3333333333	3.0	4.66666666667	2.12962962963	56.7207	3600.0	46.4733333333	power	0.1	9	14
3	109.414377689	6.0	3.0	3.0	1.73333333333	56.7207	3600.0	45.4866666667	power	0.1	6	14
2	223.364321232	6.66666666667	3.0	3.0	1.68888888889	56.7207	3600.0	43.7066666667	power	0.1	6	14
1	359.6822083	6.0	2.0	3.0	1.73333333333	56.7207	3600.0	45.69	power	0.1	6	14
cradle	115.251314322	6.66666666667	2.66666666667	3.33333333333	1.73333333334	56.7207	3600.0	43.1566666667	power	0.1	6	14
