chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap	numchips	candidates
1	15.7262150764	18.0	2.0	5.0	2.56043956044	56.7207	3600.0	62.8	power	0.2	14	14
1	15.7853780031	20.0	2.0	5.0	2.64761904762	56.7207	3600.0	65.64	power	0.2	15	14
1	16.4392981529	22.0	2.0	6.0	2.74166666667	56.7207	3600.0	67.21	power	0.2	16	14
1	17.4351635695	24.0	2.0	6.0	2.82352941176	56.7207	3600.0	69.09	power	0.2	17	14
1	16.3277379274	26.0	2.0	6.0	2.86928104575	56.7207	3600.0	72.54	power	0.2	18	14
1	16.9756670237	28.0	2.0	6.0	2.91228070175	56.7207	3600.0	76.29	power	0.2	19	14
1	17.0870420456	30.0	2.0	6.0	2.96315789474	56.7207	3600.0	78.63	power	0.2	20	14
1	16.9894741774	32.0	2.0	6.0	3.00952380952	56.7207	3600.0	80.7	power	0.2	21	14
1	16.6921037912	33.0	2.0	6.0	3.1038961039	56.7207	3600.0	83.76	power	0.2	22	14
1	16.8737418652	34.0	2.0	6.0	3.19367588933	56.7207	3600.0	90.28	power	0.2	23	14
1	16.7713251591	35.0	2.0	6.0	3.27898550725	56.7207	3600.0	93.44	power	0.2	24	14
1	15.5774127483	36.0	2.0	6.0	3.36	56.7207	3600.0	94.84	power	0.2	25	14
1	15.3496624231	38.0	2.0	7.0	3.44	56.7207	3600.0	92.3	power	0.2	26	14
1	17.2008964777	40.0	2.0	7.0	3.51566951567	56.7207	3600.0	94.46	power	0.2	27	14
1	16.0955681324	42.0	2.0	8.0	3.59259259259	56.7207	3600.0	95.72	power	0.2	28	14
1	16.2448073626	44.0	2.0	8.0	3.66502463054	56.7207	3600.0	97.39	power	0.2	29	14
1	15.9885366201	46.0	2.0	8.0	3.70574712644	56.7207	3600.0	100.84	power	0.2	30	14
1	17.5386844635	48.0	2.0	8.0	3.74193548387	56.7207	3600.0	103.97	power	0.2	31	14
1	17.4721588373	50.0	2.0	8.0	3.78225806452	56.7207	3600.0	105.93	power	0.2	32	14
1	15.7297040939	52.0	2.0	8.0	3.81818181818	56.7207	3600.0	108.15	power	0.2	33	14
1	17.2930512905	54.0	2.0	8.0	3.86096256684	56.7207	3600.0	111.76	power	0.2	34	14
1	17.3743364334	56.0	2.0	8.0	3.9025210084	56.7207	3600.0	115.34	power	0.2	35	14
1	15.6167570114	58.0	2.0	8.0	3.94603174603	56.7207	3600.0	117.67	power	0.2	36	14
1	16.2020797491	60.0	2.0	8.0	3.98798798799	56.7207	3600.0	119.45	power	0.2	37	14
1	16.4036534786	61.0	2.0	8.0	4.06258890469	56.7207	3600.0	122.19	power	0.2	38	14
1	17.0744154215	62.0	2.0	8.0	4.13495276653	56.7207	3600.0	127.56	power	0.2	39	14
1	17.957868433	63.0	2.0	8.0	4.20512820513	56.7207	3600.0	130.09	power	0.2	40	14
1	16.5770275593	64.0	2.0	8.0	4.27317073171	56.7207	3600.0	131.27	power	0.2	41	14
1	15.4209907055	18.0	2.0	5.0	2.56043956044	56.7207	3600.0	58.54	power	0.1	14	14
1	16.2210612535	20.0	2.0	5.0	2.64761904762	56.7207	3600.0	60.94	power	0.1	15	14
1	17.1654672623	22.0	2.0	6.0	2.74166666667	56.7207	3600.0	62.46	power	0.1	16	14
1	17.723754859	24.0	2.0	6.0	2.82352941176	56.7207	3600.0	64.34	power	0.1	17	14
1	15.9132033587	26.0	2.0	6.0	2.86928104575	56.7207	3600.0	67.91	power	0.1	18	14
