num_workers	avg_runtime
31	1785.40830016
30	1629.17730381
29	1742.63996449
28	1798.22527082
27	1744.60138702
26	1883.06184893
25	1714.52080059
24	1794.25072041
23	1731.9472738
22	2200.29119687
21	1865.07124043
20	1649.69661238
19	2209.04955449
18	1799.95046098
17	1695.90060432
16	1713.15558393
15	1569.26885571
14	1941.41415079
13	1830.74916115
12	2355.78398588
11	1761.96880243
10	2339.07756088
9	2374.21165571
8	2386.76478102
7	2568.01498604
6	3088.43061132
5	3951.99310122
4	4616.04078827
3	5706.06860752
2	8316.84236159
