num_workers	trial	runtime
1	1	6305.01979804
1	2	12512.0117052
1	3	9409.24576187
1	4	7903.95899796
1	5	12446.889173
1	6	11408.0887001
1	7	13472.095238
1	8	12342.06601
1	9	12944.969713
1	10	7811.76016116
2	1	9313.80468202
2	2	6899.22944999
2	3	4861.71890092
2	4	9170.83342719
2	5	4458.47191978
2	6	7522.70606303
2	7	6441.94990396
2	8	8489.89131498
2	9	5133.93088317
2	10	7903.69496107
3	1	3439.27795696
3	2	4836.26831198
3	3	6322.97714901
3	4	4688.48123097
3	5	4808.17987609
3	6	4380.638551
3	7	5635.13254809
3	8	4062.73765802
3	9	3784.04033494
3	10	2932.46687984
4	1	3129.85723305
4	2	3907.75712204
4	3	3552.04391789
4	4	1714.51602912
4	5	2849.94452786
4	6	3652.35070181
4	7	5085.38765216
4	8	4719.57689118
4	9	3484.30066013
4	10	4058.62032199
5	1	3368.16793013
5	2	3560.03650808
5	3	3127.81380296
5	4	3853.4951129
5	5	4228.25081897
5	6	3576.58281898
5	7	2667.68186903
5	8	2268.3711338
5	9	4781.73629785
5	10	3182.6848979
6	1	3129.95051098
6	2	1246.03953195
6	3	1993.99885821
6	4	3432.88183403
6	5	1925.61617494
6	6	3031.27021098
6	7	3298.50492597
6	8	2845.81159616
6	9	2679.20023394
6	10	3154.57929397
7	1	3086.56828403
7	2	2674.71022201
7	3	3169.01260591
7	4	2694.94088101
7	5	3535.25664496
7	6	3355.42127395
7	7	3168.22058392
7	8	2855.10910487
7	9	2104.54016709
7	10	2856.839535
8	1	1956.23045611
8	2	3476.85946703
8	3	1989.11159992
8	4	3625.89668703
8	5	4386.61180401
8	6	2732.88396811
8	7	2650.05990601
8	8	3436.040905
8	9	2807.36302304
8	10	6052.40632701
9	1	2612.52797723
9	2	2805.35729003
9	3	2019.18441892
9	4	1259.35138297
9	5	3146.17642212
9	6	5009.68200493
9	7	2528.2026279
9	8	3453.89938402
9	9	4126.62378907
9	10	4857.37439394
10	1	3068.25495696
10	2	2688.85505319
10	3	3388.38925815
10	4	4544.19313502
10	5	5906.47787285
10	6	3204.9998908
10	7	1686.55992794
10	8	3243.09221792
10	9	4194.31779003
10	10	4144.945436
11	1	4121.89078689
11	2	4829.77157807
11	3	6102.357476
11	4	3560.83361602
11	5	3167.55777287
11	6	5071.3219738
11	7	6385.235286
11	8	3742.845258
11	9	4716.19459796
11	10	10202.1330509
12	1	4546.18725395
12	2	5244.51457
12	3	6209.57703304
12	4	4491.57961082
12	5	6181.6792829
12	6	6735.93095803
12	7	6762.53551602
12	8	4950.76658511
12	9	5764.33563495
12	10	4655.86381388
13	1	3973.24179411
13	2	2423.30615401
13	3	3456.54656196
13	4	3581.90082598
13	5	5312.86182714
13	6	4361.008255
13	7	4489.21252608
13	8	3401.16724706
13	9	4824.15416098
13	10	2062.74735093
14	1	3081.16477203
14	2	4145.32511806
14	3	2135.68996811
14	4	3971.858917
14	5	3593.4056921
14	6	3708.21982288
14	7	2013.85903215
14	8	2105.37883997
14	9	4434.20556688
14	10	2886.10162807
14	1	3614.16665387
14	2	3125.72786784
14	3	4182.76852202
14	4	1458.71515489
14	5	2235.61800599
14	6	3404.97076201
14	7	5565.32571697
14	8	3140.65652204
14	9	3970.61557603
14	10	2626.54134488
15	1	3223.67024398
15	2	2257.40551901
15	3	2719.00344896
15	4	2741.00876784
15	5	2778.04996991
15	6	3006.45216107
15	7	5511.41722107
15	8	3348.06886697
15	9	3005.4650898
15	10	3340.19915819
