num_workers	trial	runtime
32	1	164.542460918
32	2	157.059547901
32	3	174.203757048
32	4	159.995747089
32	5	166.365211964
32	6	164.100275993
32	7	167.763597012
32	8	157.685265779
32	9	156.227198839
32	10	164.160758972
31	1	154.529070139
31	2	147.677819014
31	3	149.99755311
31	4	147.385774136
31	5	156.391067028
31	6	164.292666912
31	7	149.022049904
31	8	161.616758108
31	9	167.847057819
31	10	157.626426935
30	1	157.370693207
30	2	153.334213018
30	3	155.462346792
30	4	156.826529026
30	5	159.039862871
30	6	158.494809866
30	7	153.100520134
30	8	156.869796991
30	9	154.316691875
30	10	158.979557991
29	1	150.209419966
29	2	153.191875935
29	3	151.747572899
29	4	152.996445894
29	5	152.075942993
29	6	146.835582018
29	7	152.628841877
29	8	153.979424
29	9	151.009932995
29	10	149.9758389
28	1	153.332018852
28	2	153.006808996
28	3	153.464905024
28	4	151.344182014
28	5	146.543714046
28	6	152.93719697
28	7	150.240250826
28	8	149.907217979
28	9	151.581041098
28	10	150.953906059
27	1	148.2735641
27	2	149.27740407
27	3	144.422796011
27	4	148.28153491
27	5	143.12110281
27	6	147.40795517
27	7	148.49806881
27	8	144.826732874
27	9	143.287605047
27	10	147.461282969
26	1	144.070218086
26	2	148.837914944
26	3	148.361526966
26	4	143.026770115
26	5	147.733255863
26	6	145.725314856
26	7	148.489392042
26	8	139.957671881
26	9	147.162041903
26	10	145.384413004
25	1	142.488867998
25	2	137.550635099
25	3	142.295598984
25	4	142.363472939
25	5	139.792478085
25	6	139.736029863
25	7	136.322557926
25	8	142.61847806
25	9	141.782861948
25	10	141.009942055
24	1	133.503878117
24	2	142.830535889
24	3	142.198378086
24	4	145.924521923
24	5	139.838162899
24	6	143.152364969
24	7	143.459589958
24	8	141.350268841
24	9	140.141637087
24	10	137.808975935
23	1	135.131345987
23	2	127.09888196
23	3	131.460268974
23	4	129.855677843
23	5	136.702522039
23	6	135.317197084
23	7	135.058054924
23	8	136.137848139
23	9	134.527035952
23	10	132.805693865
22	1	127.318485975
22	2	134.270353079
22	3	133.340273142
22	4	129.420988798
22	5	131.040058851
22	6	135.617402792
22	7	133.393589973
22	8	136.069082975
22	9	133.250763893
22	10	131.892436981
21	1	129.197220087
21	2	129.103335857
21	3	130.717019081
21	4	121.724733114
21	5	130.494055986
21	6	131.781107903
