num_workers	trial	runtime
1	1	312.864465952
1	2	291.925749063
1	3	431.669546843
1	4	342.839735031
1	5	440.735492945
1	6	450.807318926
1	7	311.164219856
1	8	311.98419714
1	9	321.617942095
1	10	332.821063042
2	1	227.198305845
2	2	218.512979031
2	3	162.374497175
2	4	238.549288034
2	5	226.485784054
2	6	224.444329023
2	7	229.195046902
2	8	252.465950012
2	9	228.037896872
2	10	214.276784182
3	1	153.670512199
3	2	157.579082966
3	3	136.582088947
3	4	158.685518026
3	5	158.706151009
3	6	110.920161963
3	7	165.416033983
3	8	152.373113155
3	9	162.357974052
3	10	115.983074903
4	1	95.1135420799
4	2	86.4991209507
4	3	127.474856138
4	4	134.388632774
4	5	92.5076770782
4	6	130.587630033
4	7	82.9443421364
4	8	133.707092047
4	9	130.04877615
4	10	86.1866371632
5	1	105.91957283
5	2	105.723414898
5	3	94.590460062
5	4	82.7726738453
5	5	117.184497833
5	6	77.9857769012
5	7	95.1682491302
5	8	80.3086969852
5	9	105.052721024
5	10	106.023085833
6	1	83.8390049934
6	2	82.7028470039
6	3	78.4828250408
6	4	103.60312295
6	5	87.3817391396
6	6	83.7180109024
6	7	88.4543039799
6	8	72.3803708553
6	9	101.534174204
6	10	108.765734911
7	1	70.854528904
7	2	63.7833178043
7	3	74.0483560562
7	4	66.3830888271
7	5	76.0788729191
7	6	99.0272171497
7	7	100.384791136
7	8	98.3706049919
7	9	99.5910818577
7	10	65.1529541016
8	1	89.3850650787
8	2	81.0554590225
8	3	96.225591898
8	4	71.2251210213
8	5	95.2327260971
8	6	72.9096901417
8	7	68.498488903
8	8	72.1424160004
8	9	96.2653620243
8	10	91.3914070129
9	1	95.5151450634
9	2	86.0032708645
9	3	77.579269886
9	4	94.3456299305
9	5	64.2706871033
9	6	96.4178678989
9	7	79.2916390896
9	8	91.6277868748
9	9	78.0034401417
9	10	81.0391459465
10	1	78.9289979935
10	2	101.222913027
10	3	121.606601954
10	4	83.2425589561
10	5	93.6858179569
10	6	91.024657011
10	7	100.927109003
10	8	123.452693224
10	9	98.4683630466
10	10	112.350571156
11	1	96.9348549843
11	2	116.08301115
11	3	142.657736063
11	4	145.490821838
11	5	123.642648935
11	6	141.173393965
11	7	92.4705369473
11	8	138.595168114
11	9	102.587486029
11	10	133.255317926
12	1	105.645326853
12	2	121.970882893
12	3	111.705049992
12	4	144.67533803
12	5	147.996767044
12	6	106.223587036
12	7	131.678372145
12	8	124.958239079
12	9	127.181827068
12	10	144.277371168
13	1	81.5269470215
13	2	94.5322561264
13	3	131.944942951
13	4	77.2991991043
13	5	89.0695869923
13	6	90.6599180698
13	7	75.7264959812
13	8	97.3234419823
13	9	86.1783280373
13	10	121.508175135
14	1	99.7850291729
14	2	87.9641799927
14	3	90.9203438759
14	4	111.57458806
14	5	78.9151670933
14	6	80.6969621181
14	7	120.934222937
14	8	112.282963037
14	9	123.389991999
14	10	126.921985149
15	1	87.3459980488
15	2	78.9242088795
15	3	86.2342789173
15	4	88.4273321629
15	5	78.4089851379
15	6	87.32761693
15	7	79.2075879574
15	8	87.3898019791
15	9	87.2883050442
15	10	77.6318628788
