trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap
1	3	186.167261124	5	2	3	1.86666666667	41.9991	3200.0	43.71	power	0.1
2	3	190.830467939	5	2	3	1.86666666667	41.9991	3200.0	43.57	power	0.1
3	3	144.379432917	5	2	3	1.86666666667	41.9991	3200.0	43.57	power	0.1
4	3	183.149836063	5	2	3	1.86666666667	41.9991	3200.0	44.47	power	0.1
5	3	141.126681089	5	3	3	1.86666666667	56.7207	3600.0	46.14	power	0.1
6	3	101.885439873	5	2	4	2.06666666667	56.7207	3600.0	46.53	power	0.1
7	3	136.35532403	6	2	3	1.73333333333	41.9991	3200.0	43.7	power	0.1
8	3	100.191072226	5	2	4	2.13333333333	56.7207	3600.0	48.11	power	0.1
9	3	121.573841095	5	4	4	2.06666666667	56.7207	3600.0	45.3	power	0.1
10	3	100.295005083	5	3	5	2.33333333333	56.7207	3600.0	45.15	power	0.1
1	2	192.571146011	5	3	3	1.93333333333	56.7207	3600.0	47.45	power	0.1
2	2	218.272264957	6	3	4	1.93333333333	56.7207	3600.0	44.92	power	0.1
3	2	211.604569912	5	3	5	2.33333333333	56.7207	3600.0	44.97	power	0.1
4	2	200.662590981	5	3	4	2.06666666667	56.7207	3600.0	47.9	power	0.1
5	2	223.294250011	5	3	3	1.86666666667	56.7207	3600.0	45.37	power	0.1
6	2	171.577965975	5	2	4	2.06666666667	56.7207	3600.0	46.35	power	0.1
7	2	230.101129055	5	3	4	2.13333333333	56.7207	3600.0	46.67	power	0.1
8	2	241.451580048	6	3	3	1.8	56.7207	3600.0	47.67	power	0.1
9	2	261.061966896	6	2	4	1.93333333333	41.9991	3200.0	43.76	power	0.1
10	2	259.183495045	6	3	3	1.8	56.7207	3600.0	46.6	power	0.1
1	1	263.813883066	5	2	4	2.13333333333	56.7207	3600.0	46.75	power	0.1
2	1	340.191743851	6	3	4	1.93333333333	56.7207	3600.0	45.25	power	0.1
3	1	307.889513016	5	3	5	2.33333333333	56.7207	3600.0	43.93	power	0.1
4	1	327.316052914	5	3	4	2.06666666667	56.7207	3600.0	46.0	power	0.1
5	1	393.786736012	5	4	4	2.06666666667	56.7207	3600.0	44.96	power	0.1
6	1	318.99493289	6	3	3	1.8	56.7207	3600.0	45.88	power	0.1
7	1	299.102339029	6	3	3	1.8	56.7207	3600.0	45.88	power	0.1
8	1	315.539491177	5	3	4	2.13333333333	56.7207	3600.0	44.76	power	0.1
9	1	201.050294161	5	2	3	1.93333333333	56.7207	3600.0	48.0	power	0.1
10	1	254.996327877	5	3	4	2.06666666667	56.7207	3600.0	47.99	power	0.1
1	cradle	95.5134301186	6	2	4	1.86666666667	56.7207	3600.0	49.28	power	0.1
2	cradle	182.367153883	5	2	4	2.13333333333	41.9991	3200.0	43.59	power	0.1
3	cradle	141.396155119	5	2	4	2.13333333333	41.9991	3200.0	43.59	power	0.1
4	cradle	103.137822866	5	4	4	2.13333333333	56.7207	3600.0	44.51	power	0.1
5	cradle	159.797223806	5	2	4	2.13333333333	41.9991	3200.0	43.59	power	0.1
6	cradle	99.4124369621	5	3	5	2.33333333333	56.7207	3600.0	43.49	power	0.1
7	cradle	177.621381998	5	2	4	2.13333333333	41.9991	3200.0	43.59	power	0.1
8	cradle	184.236160994	5	2	4	2.13333333333	41.9991	3200.0	43.59	power	0.1
9	cradle	98.8412780762	7	3	3	1.66666666667	56.7207	3600.0	45.59	power	0.1
10	cradle	178.784132004	5	2	4	2.13333333333	41.9991	3200.0	43.59	power	0.1
1	3	777.653730869	8	2	6	2.88888888889	41.9991	3200.0	48.2	power	0.1
2	3	772.943720102	9	3	5	2.5	41.9991	3200.0	47.67	power	0.1
3	3	446.149829865	9	5	6	2.66666666667	56.7207	3600.0	46.69	power	0.1
4	3	713.026262999	9	3	5	2.55555555556	41.9991	3200.0	44.99	power	0.1
5	3	1023.30565619	9	4	4	2.22222222222	41.9991	3200.0	46.28	power	0.1
6	3	750.775099993	10	4	5	2.22222222222	41.9991	3200.0	46.5	power	0.1
7	3	469.993749142	8	2	5	2.55555555556	41.9991	3200.0	45.41	power	0.1
8	3	838.05447793	10	3	5	2.27777777778	41.9991	3200.0	45.1	power	0.1
9	3	547.307783127	8	3	6	2.77777777778	41.9991	3200.0	44.4	power	0.1
10	3	952.274930954	10	3	5	2.22222222222	41.9991	3200.0	45.48	power	0.1
1	2	979.409821033	10	3	4	2.16666666667	41.9991	3200.0	44.57	power	0.1
2	2	849.380404949	8	3	6	2.83333333333	41.9991	3200.0	43.66	power	0.1
3	2	1174.30668497	9	3	5	2.5	41.9991	3200.0	47.41	power	0.1
4	2	1251.85458589	9	3	5	2.33333333333	41.9991	3200.0	44.16	power	0.1
5	2	479.539061069	9	4	5	2.44444444444	56.7207	3600.0	47.55	power	0.1
6	2	788.605920076	10	4	4	2.16666666667	41.9991	3200.0	45.65	power	0.1
7	2	1322.33164692	9	4	5	2.33333333333	41.9991	3200.0	46.25	power	0.1
8	2	903.321179867	9	4	6	2.66666666667	41.9991	3200.0	43.86	power	0.1
9	2	978.027015924	8	2	6	2.66666666667	41.9991	3200.0	49.31	power	0.1
10	2	846.776422977	10	2	5	2.38888888889	41.9991	3200.0	46.45	power	0.1
1	1	1757.23371005	8	2	5	2.55555555556	37.8684	3000.0	47.52	power	0.1
2	1	2092.07641292	8	3	4	2.44444444444	41.9991	3200.0	49.11	power	0.1
3	1	896.398137808	9	3	5	2.44444444444	41.9991	3200.0	43.55	power	0.1
4	1	1310.37457108	9	2	5	2.33333333333	41.9991	3200.0	46.9	power	0.1
5	1	1927.78562903	8	3	5	2.55555555556	41.9991	3200.0	46.06	power	0.1
6	1	1281.69141197	11	2	4	2.11111111111	41.9991	3200.0	47.67	power	0.1
7	1	1615.9066999	10	3	5	2.38888888889	41.9991	3200.0	44.96	power	0.1
8	1	1355.89187908	8	3	6	2.72222222222	41.9991	3200.0	44.97	power	0.1
9	1	1799.73832297	9	3	5	2.44444444444	41.9991	3200.0	47.2	power	0.1
10	1	3253.31296492	8	5	5	2.55555555556	41.9991	3200.0	45.15	power	0.1
1	cradle	272.601471186	8	3	8	3.33333333333	56.7207	3600.0	47.88	power	0.1
2	cradle	618.923611879	8	3	7	3.0	41.9991	3200.0	45.67	power	0.1
