trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap
1	3	597.479198933	8	2	7	3.0	56.7207	3600.0	49.53	power	0.1
2	3	703.90241909	8	4	7	3.0	56.7207	3600.0	48.42	power	0.1
3	3	907.072210073	10	4	5	2.33333333333	56.7207	3600.0	49.88	power	0.1
4	3	796.023053169	10	4	5	2.27777777778	56.7207	3600.0	48.88	power	0.1
5	3	382.158107996	8	5	6	2.88888888889	56.7207	3600.0	46.84	power	0.1
6	3	670.726392984	8	2	6	2.83333333333	56.7207	3600.0	49.97	power	0.1
7	3	1000.23282981	10	3	5	2.33333333333	56.7207	3600.0	48.7	power	0.1
8	3	568.026383877	9	4	6	2.66666666667	56.7207	3600.0	49.24	power	0.1
9	3	732.496109962	9	4	5	2.5	56.7207	3600.0	48.83	power	0.1
10	3	817.306597948	9	4	6	2.61111111111	56.7207	3600.0	47.51	power	0.1
1	1	700.110046864	9	4	6	2.61111111111	56.7207	3600.0	48.22	power	0.1
2	1	837.808554888	8	3	6	2.83333333333	56.7207	3600.0	49.9	power	0.1
3	1	1505.42413306	8	3	6	2.88888888889	56.7207	3600.0	48.98	power	0.1
4	1	979.396620035	8	5	8	3.33333333333	56.7207	3600.0	45.81	power	0.1
5	1	1599.7828548	8	4	6	2.83333333333	56.7207	3600.0	49.86	power	0.1
6	1	1182.56906104	9	4	5	2.61111111111	56.7207	3600.0	47.98	power	0.1
7	1	1441.94282198	8	3	7	3.05555555556	56.7207	3600.0	48.74	power	0.1
8	1	2290.839715	9	4	5	2.38888888889	56.7207	3600.0	48.26	power	0.1
9	1	1158.05775189	8	3	6	2.83333333333	56.7207	3600.0	49.0	power	0.1
10	1	2076.42187905	8	5	6	2.72222222222	56.7207	3600.0	47.67	power	0.1
1	cradle	365.88100791	8	4	5	2.66666666667	56.7207	3600.0	49.1	power	0.1
2	cradle	608.127631187	10	3	5	2.27777777778	56.7207	3600.0	49.94	power	0.1
3	cradle	833.694415808	10	3	5	2.38888888889	56.7207	3600.0	49.37	power	0.1
4	cradle	1264.70511889	11	3	5	2.16666666667	56.7207	3600.0	48.93	power	0.1
5	cradle	999.618598938	8	5	7	3.0	56.7207	3600.0	47.28	power	0.1
6	cradle	402.326488972	9	2	7	2.88888888889	56.7207	3600.0	45.99	power	0.1
7	cradle	56967.3695791	0	0	0	0	0	0	0	power	0.1
8	cradle	559.632544994	10	3	5	2.38888888889	56.7207	3600.0	48.81	power	0.1
9	cradle	603.314578056	10	3	5	2.38888888889	56.7207	3600.0	48.81	power	0.1
10	cradle	376.511003971	11	4	5	2.22222222222	56.7207	3600.0	48.74	power	0.1
1	3	1022.66491914	8	3	6	2.88888888889	56.7207	3600.0	49.78	power	0.2
2	3	1072.91884303	8	4	7	3.05555555556	56.7207	3600.0	49.54	power	0.2
3	3	1221.48617506	10	3	4	2.16666666667	41.9991	3200.0	46.77	power	0.2
4	3	1444.73707008	8	4	7	3.05555555556	56.7207	3600.0	48.45	power	0.2
5	3	1317.72636604	8	5	5	2.61111111111	56.7207	3600.0	49.7	power	0.2
6	3	1883.08586216	9	5	5	2.38888888889	41.9991	3200.0	44.54	power	0.2
7	3	1199.3476429	9	4	6	2.61111111111	41.9991	3200.0	44.69	power	0.2
8	3	910.144166946	8	5	5	2.61111111111	56.7207	3600.0	48.54	power	0.2
9	3	1197.79233694	8	5	5	2.72222222222	56.7207	3600.0	48.53	power	0.2
10	3	1657.95557714	8	6	7	3.0	56.7207	3600.0	49.64	power	0.2
1	1	2293.4366169	9	4	5	2.5	56.7207	3600.0	49.93	power	0.2
2	1	2744.008883	8	3	6	2.77777777778	41.9991	3200.0	44.75	power	0.2
3	1	2452.93793511	8	4	7	3.0	56.7207	3600.0	49.36	power	0.2
4	1	2002.749506	11	3	5	2.16666666667	41.9991	3200.0	46.19	power	0.2
5	1	1947.26440501	8	3	7	3.05555555556	56.7207	3600.0	49.71	power	0.2
6	1	2168.4449079	10	3	5	2.27777777778	41.9991	3200.0	46.21	power	0.2
7	1	1841.90365696	9	3	6	2.66666666667	56.7207	3600.0	49.07	power	0.2
8	1	2804.78938699	10	3	5	2.38888888889	41.9991	3200.0	47.61	power	0.2
9	1	2869.65876794	9	4	5	2.44444444444	41.9991	3200.0	45.74	power	0.2
10	1	2733.60420513	9	3	6	2.61111111111	56.7207	3600.0	49.41	power	0.2
1	cradle	739.697565079	8	3	7	3.16666666667	56.7207	3600.0	46.5	power	0.2
2	cradle	423.774432898	8	3	8	3.33333333333	56.7207	3600.0	43.86	power	0.2
3	cradle	763.259511948	10	3	5	2.38888888889	41.9991	3200.0	47.52	power	0.2
4	cradle	813.631337881	8	3	8	3.33333333333	56.7207	3600.0	48.22	power	0.2
5	cradle	999.143779993	10	3	6	2.55555555556	41.9991	3200.0	44.38	power	0.2
6	cradle	1011.52754307	8	3	8	3.33333333333	41.9991	3200.0	44.65	power	0.2
7	cradle	70523.852602	0	0	0	0	0	0	0	power	0.2
8	cradle	927.617802858	8	3	8	3.33333333333	56.7207	3600.0	48.6	power	0.2
9	cradle	885.351078987	8	3	8	3.33333333333	56.7207	3600.0	49.41	power	0.2
10	cradle	674.225898981	8	3	7	3.16666666667	56.7207	3600.0	47.0	power	0.2
1	3	298.310845852	8	4	8	3.33333333333	56.7207	3600.0	42.34	temp	0.1
2	3	395.760704994	8	4	7	3.16666666667	56.7207	3600.0	47.03	temp	0.1
3	3	829.008378983	8	4	5	2.55555555556	41.9991	3200.0	43.94	temp	0.1
4	3	804.551370144	9	4	5	2.55555555556	41.9991	3200.0	43.45	temp	0.1
5	3	498.762658834	8	3	7	3.0	41.9991	3200.0	43.59	temp	0.1
6	3	374.300592184	8	6	6	3.0	56.7207	3600.0	44.3	temp	0.1
7	3	873.022031069	9	4	6	2.55555555556	41.9991	3200.0	43.74	temp	0.1
8	3	369.199379921	8	5	5	2.66666666667	56.7207	3600.0	47.15	temp	0.1
9	3	607.7106359	8	4	5	2.61111111111	41.9991	3200.0	44.8	temp	0.1
10	3	685.474117041	9	3	6	2.72222222222	41.9991	3200.0	43.44	temp	0.1
1	1	1795.82483196	8	7	8	3.33333333333	56.7207	3600.0	42.86	temp	0.1
2	1	1294.43490505	8	7	8	3.33333333333	56.7207	3600.0	43.93	temp	0.1
3	1	937.192660093	8	5	8	3.33333333333	56.7207	3600.0	45.39	temp	0.1
4	1	852.539587975	8	4	8	3.33333333333	56.7207	3600.0	45.52	temp	0.1
5	1	757.289695978	8	4	7	3.0	56.7207	3600.0	45.09	temp	0.1
6	1	794.521425009	8	4	8	3.33333333333	56.7207	3600.0	42.07	temp	0.1
7	1	719.162395954	8	4	7	3.0	56.7207	3600.0	45.39	temp	0.1
8	1	661.994893789	8	3	8	3.33333333333	56.7207	3600.0	46.15	temp	0.1
9	1	748.349159002	9	4	7	2.88888888889	56.7207	3600.0	44.83	temp	0.1
10	1	818.344854832	9	4	6	2.61111111111	56.7207	3600.0	45.43	temp	0.1
1	cradle	279.551955938	8	2	8	3.33333333333	56.7207	3600.0	44.22	temp	0.1
2	cradle	568.249444962	9	4	4	2.38888888889	41.9991	3200.0	43.74	temp	0.1
3	cradle	191.56189394	8	2	8	3.33333333333	56.7207	3600.0	41.5	temp	0.1
4	cradle	41869.0737329	0	0	0	0	0	0	0	temp	0.1
5	cradle	432.320073128	8	6	6	2.83333333333	56.7207	3600.0	44.06	temp	0.1
6	cradle	285.430795908	8	4	8	3.33333333333	56.7207	3600.0	41.41	temp	0.1
7	cradle	232.557924032	8	2	8	3.33333333333	56.7207	3600.0	42.53	temp	0.1
8	cradle	245.944277048	8	2	8	3.33333333333	56.7207	3600.0	41.81	temp	0.1
9	cradle	256.117029905	8	3	8	3.33333333333	56.7207	3600.0	43.35	temp	0.1
10	cradle	304.009341955	8	4	8	3.33333333333	56.7207	3600.0	41.35	temp	0.1
1	3	1027.04755998	10	3	5	2.27777777778	41.9991	3200.0	45.31	temp	0.2
2	3	1148.75338101	9	4	6	2.66666666667	41.9991	3200.0	43.85	temp	0.2
3	3	1454.90848613	8	5	5	2.66666666667	41.9991	3200.0	45.0	temp	0.2
4	3	1032.99142098	10	4	5	2.33333333333	41.9991	3200.0	43.94	temp	0.2
5	3	1402.92977905	8	5	6	2.88888888889	41.9991	3200.0	43.63	temp	0.2
6	3	1150.65073609	9	3	6	2.55555555556	41.9991	3200.0	44.5	temp	0.2
7	3	915.481355906	10	4	5	2.27777777778	41.9991	3200.0	45.75	temp	0.2
8	3	1158.81513596	9	4	6	2.61111111111	41.9991	3200.0	44.47	temp	0.2
9	3	876.701439142	8	3	6	2.83333333333	41.9991	3200.0	43.74	temp	0.2
10	3	1224.55566907	8	4	5	2.55555555556	41.9991	3200.0	45.11	temp	0.2
1	1	1793.78407216	8	4	7	3.0	41.9991	3200.0	43.85	temp	0.2
2	1	2897.56037307	8	4	6	2.83333333333	41.9991	3200.0	44.44	temp	0.2
3	1	1098.58953691	8	5	7	3.16666666667	56.7207	3600.0	47.56	temp	0.2
4	1	1281.57560396	8	5	8	3.33333333333	56.7207	3600.0	45.14	temp	0.2
5	1	682.729269028	8	3	7	3.05555555556	56.7207	3600.0	46.79	temp	0.2
6	1	666.969110012	8	4	8	3.33333333333	56.7207	3600.0	47.15	temp	0.2
7	1	1265.47639012	8	6	6	2.77777777778	56.7207	3600.0	47.73	temp	0.2
8	1	2492.86469197	8	4	7	3.16666666667	41.9991	3200.0	43.74	temp	0.2
9	1	1896.20474601	8	3	7	3.05555555556	41.9991	3200.0	43.81	temp	0.2
10	1	1263.08816409	8	6	7	3.16666666667	56.7207	3600.0	46.13	temp	0.2
1	cradle	308.367614985	8	2	7	3.0	41.9991	3200.0	43.49	temp	0.2
2	cradle	767.180608988	10	2	5	2.38888888889	41.9991	3200.0	44.43	temp	0.2
3	cradle	448.828457832	9	3	7	2.88888888889	41.9991	3200.0	43.54	temp	0.2
4	cradle	658.099001169	10	3	5	2.38888888889	41.9991	3200.0	44.46	temp	0.2
5	cradle	302.285788059	8	2	7	3.0	41.9991	3200.0	43.49	temp	0.2
6	cradle	488.714648008	9	3	6	2.61111111111	41.9991	3200.0	43.95	temp	0.2
7	cradle	9388.05948091	0	0	0	0	0	0	0	temp	0.2
8	cradle	779.321018934	9	3	5	2.55555555556	41.9991	3200.0	44.88	temp	0.2
