trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap
1	2	225.800853014	5	3	5	2.33333333333	56.7207	3600.0	47.56	power	0.1
2	2	226.780820131	6	3	4	1.93333333333	56.7207	3600.0	48.32	power	0.1
3	2	232.643373013	5	3	3	1.93333333333	56.7207	3600.0	45.91	power	0.1
4	2	238.654335022	6	3	3	1.8	56.7207	3600.0	47.3	power	0.1
5	2	285.531937122	6	2	3	1.73333333333	56.7207	3600.0	49.99	power	0.1
6	2	194.953253031	5	2	4	2.13333333333	56.7207	3600.0	46.05	power	0.1
7	2	334.188436985	5	3	3	1.86666666667	56.7207	3600.0	45.85	power	0.1
8	2	294.610588789	5	2	4	2.13333333333	56.7207	3600.0	46.58	power	0.1
9	2	205.482726097	6	3	4	1.93333333333	56.7207	3600.0	45.26	power	0.1
10	2	170.320834875	6	2	3	1.8	56.7207	3600.0	47.3	power	0.1
1	2	701.224266052	8	2	6	2.88888888889	56.7207	3600.0	49.68	power	0.1
2	2	696.591325045	9	3	5	2.5	56.7207	3600.0	49.71	power	0.1
3	2	637.757858992	8	2	7	3.16666666667	56.7207	3600.0	49.63	power	0.1
4	2	1001.65870404	8	3	6	2.83333333333	56.7207	3600.0	48.92	power	0.1
5	2	1142.83969593	8	3	7	3.05555555556	56.7207	3600.0	49.72	power	0.1
6	2	1116.77214098	8	3	6	2.72222222222	56.7207	3600.0	49.61	power	0.1
7	2	1161.17463994	10	4	4	2.22222222222	56.7207	3600.0	49.37	power	0.1
8	2	769.89415884	9	3	6	2.5	56.7207	3600.0	48.95	power	0.1
9	2	1539.32470202	8	4	6	2.83333333333	56.7207	3600.0	49.7	power	0.1
10	2	954.320709944	8	3	6	2.88888888889	56.7207	3600.0	48.84	power	0.1
1	2	465.820343018	5	3	4	2.13333333333	56.7207	3600.0	49.52	power	0.2
2	2	717.014198065	5	3	5	2.33333333333	56.7207	3600.0	45.53	power	0.2
3	2	551.56890893	5	4	4	2.13333333333	56.7207	3600.0	48.37	power	0.2
4	2	333.93742919	6	2	3	1.8	56.7207	3600.0	49.57	power	0.2
5	2	923.910508871	5	3	5	2.33333333333	56.7207	3600.0	47.2	power	0.2
6	2	244.868906021	5	3	4	2.13333333333	56.7207	3600.0	46.29	power	0.2
7	2	344.430414915	6	3	3	1.8	56.7207	3600.0	47.36	power	0.2
8	2	264.59207201	5	3	4	2.13333333333	56.7207	3600.0	46.89	power	0.2
9	2	474.67643404	5	3	4	2.06666666667	56.7207	3600.0	49.4	power	0.2
10	2	343.56187892	5	2	3	1.93333333333	56.7207	3600.0	49.71	power	0.2
1	2	1676.26268601	9	4	7	2.88888888889	56.7207	3600.0	49.29	power	0.2
2	2	1428.21449685	9	4	6	2.61111111111	56.7207	3600.0	49.33	power	0.2
3	2	1882.3942039	8	4	7	3.0	41.9991	3200.0	43.51	power	0.2
4	2	1902.09582901	8	4	5	2.55555555556	41.9991	3200.0	45.46	power	0.2
5	2	1219.24858594	8	3	8	3.33333333333	56.7207	3600.0	49.49	power	0.2
6	2	1910.24476099	8	5	6	2.77777777778	56.7207	3600.0	48.85	power	0.2
7	2	1544.63268209	11	3	4	2.11111111111	41.9991	3200.0	47.46	power	0.2
8	2	1308.04883814	8	5	7	3.0	56.7207	3600.0	49.55	power	0.2
9	2	1361.21340704	8	3	6	2.83333333333	56.7207	3600.0	49.62	power	0.2
10	2	1344.42231917	9	3	5	2.5	41.9991	3200.0	45.69	power	0.2
