trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap	numchips	candidates
1	3	245.864784956	6	3	3	1.8	56.7207	3600.0	45.82	power	0.1	6	31
2	3	258.429215908	5	3	4	2.06666666667	56.7207	3600.0	45.99	power	0.1	6	31
3	3	305.397171974	6	2	3	1.73333333333	56.7207	3600.0	49.59	power	0.1	6	31
4	3	231.575909138	5	4	4	2.13333333333	56.7207	3600.0	46.05	power	0.1	6	31
5	3	270.947202921	5	3	4	2.06666666667	56.7207	3600.0	46.01	power	0.1	6	31
6	3	235.135088921	5	3	4	2.13333333333	56.7207	3600.0	45.2	power	0.1	6	31
7	3	365.813913107	5	3	4	2.06666666667	56.7207	3600.0	43.58	power	0.1	6	31
8	3	334.279002905	5	3	4	2.06666666667	56.7207	3600.0	48.48	power	0.1	6	31
9	3	234.901799917	5	4	5	2.33333333333	56.7207	3600.0	43.43	power	0.1	6	31
10	3	295.952886105	5	3	4	2.06666666667	56.7207	3600.0	43.42	power	0.1	6	31
1	3	262.573993206	5	3	3	1.93333333333	56.7207	3600.0	46.71	power	0.1	6	32
2	3	251.928050995	5	3	5	2.33333333333	56.7207	3600.0	45.29	power	0.1	6	32
3	3	218.895239115	6	3	3	1.8	56.7207	3600.0	45.88	power	0.1	6	32
4	3	253.877614975	6	3	3	1.73333333333	56.7207	3600.0	48.24	power	0.1	6	32
5	3	398.271861076	6	3	4	1.93333333333	56.7207	3600.0	44.99	power	0.1	6	32
6	3	277.80776	5	3	5	2.33333333333	56.7207	3600.0	45.68	power	0.1	6	32
7	3	278.479294062	6	3	4	1.93333333333	56.7207	3600.0	46.03	power	0.1	6	32
8	3	241.297369003	5	3	5	2.33333333333	56.7207	3600.0	43.8	power	0.1	6	32
9	3	270.250110865	6	2	3	1.8	56.7207	3600.0	47.39	power	0.1	6	32
10	3	313.727821112	6	2	3	1.73333333333	56.7207	3600.0	47.41	power	0.1	6	32
1	3	241.549295187	5	2	4	2.13333333333	56.7207	3600.0	45.96	power	0.1	6	33
