trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature
1	9	125.146729946	12	3	7	3.0	56.7207	3600.0	57.77
2	9	102.239140034	12	3	5	2.74242424242	56.7207	3600.0	61.26
3	9	161.890980005	11	6	6	2.95454545455	56.7207	3600.0	57.07
4	9	132.480931044	12	4	5	2.68181818182	56.7207	3600.0	56.68
5	9	108.165786982	12	3	6	2.89393939394	56.7207	3600.0	58.86
6	9	104.409348965	12	3	6	2.75757575758	56.7207	3600.0	57.74
7	9	128.516499996	11	6	6	3.10606060606	56.7207	3600.0	51.19
8	9	83.6133100986	13	3	6	2.77272727273	56.7207	3600.0	58.8
9	9	108.970830917	12	3	7	2.95454545455	56.7207	3600.0	60.72
10	9	102.834246159	13	3	6	2.83333333333	56.7207	3600.0	60.81
