chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap	numchips	candidates
3	1624.74473197	14.5	3.7	6.7	2.95897435897	40.2752	3120.0	46.76	network	0.2	13	14
2	1834.66102779	13.4	4.7	7.0	3.15384615385	44.94342	3280.0	47.339	network	0.2	13	14
1	2973.01866431	14.8	4.0	6.3	2.88205128205	41.10134	3160.0	46.718	network	0.2	13	14
cradle	1921.90581071	14.5	4.0	6.1	2.90769230769	41.17296	3160.0	47.322	network	0.2	13	14
3	1396.14344249	14.5	3.9	6.4	2.95128205128	43.47126	3240.0	45.518	network	0.1	13	14
2	1336.51864321	14.7	4.3	5.9	2.83076923077	44.94342	3280.0	46.401	network	0.1	13	14
1	1755.78707707	14.6	4.3	6.3	2.92051282051	47.88774	3360.0	46.556	network	0.1	13	14
cradle	1229.4802846	14.4	3.9	6.8	2.97692307692	44.94342	3280.0	45.645	network	0.1	13	14
3	1636.65174348	13.6	4.5	7.8	3.28205128205	43.47126	3240.0	45.173	temp	0.2	13	14
2	1540.06087754	13.5555555556	4.22222222222	7.77777777778	3.31054131054	43.6348333333	3244.44444444	46.6811111111	temp	0.2	13	14
1	2200.7505625	12.5	6.2	10.6	4.1641025641	53.77638	3520.0	46.529	temp	0.2	13	14
cradle	1411.0232811	13.3	4.1	8.4	3.45641025641	44.94342	3280.0	45.865	temp	0.2	13	14
3	793.225560594	13.7	4.6	8.6	3.46153846154	50.83206	3440.0	44.555	temp	0.1	13	14
2	915.923172975	13.0	4.9	8.3	3.57948717949	50.83206	3440.0	45.391	temp	0.1	13	14
1	1671.01730208	12.3	6.0	10.8	4.26153846154	55.24854	3560.0	43.447	temp	0.1	13	14
cradle	924.976416278	13.4	4.3	8.3	3.51025641026	49.3599	3400.0	44.7	temp	0.1	13	14
3	1848.88748879	15.5	4.1	5.9	2.72051282051	43.05819	3220.0	48.202	power	0.2	13	14
2	1828.23685637	16.3	3.6	5.2	2.55897435897	41.17296	3160.0	48.504	power	0.2	13	14
1	3120.89185581	16.7	3.7	5.2	2.52307692308	40.68827	3140.0	48.403	power	0.2	13	14
cradle	1640.412836	16.3	3.6	5.3	2.60512820513	41.58603	3180.0	48.491	power	0.2	13	14
3	1340.5088985	15.8	3.6	5.7	2.68974358975	46.41558	3320.0	47.406	power	0.1	13	14
2	1248.46216269	15.8	3.6	5.3	2.61025641026	43.47126	3240.0	46.73	power	0.1	13	14
1	2306.08459306	16.8	3.8	5.6	2.56153846154	46.41558	3320.0	47.038	power	0.1	13	14
cradle	1388.10103116	16.2	3.6	5.6	2.62051282051	46.41558	3320.0	48.465	power	0.1	13	14
