trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap	numchips	candidates
1	3	1324.13447094	15	4	6	2.76923076923	41.9991	3200.0	47.29	network	0.2	13	14
2	3	2047.45260596	14	5	7	3.0	41.9991	3200.0	44.4	network	0.2	13	14
3	3	2072.73937297	14	4	7	3.07692307692	41.9991	3200.0	46.92	network	0.2	13	14
4	3	1465.60685611	15	3	6	2.84615384615	37.8684	3000.0	47.7	network	0.2	13	14
5	3	1408.57914591	14	3	6	2.74358974359	33.0215	2800.0	46.91	network	0.2	13	14
6	3	2095.21876097	16	5	8	2.97435897436	41.9991	3200.0	45.78	network	0.2	13	14
7	3	1393.18881702	15	3	6	2.76923076923	41.9991	3200.0	48.39	network	0.2	13	14
8	3	1404.7802999	15	3	6	3.02564102564	37.8684	3000.0	47.95	network	0.2	13	14
9	3	1264.71938896	15	3	7	2.97435897436	41.9991	3200.0	46.99	network	0.2	13	14
10	3	1771.027601	12	4	8	3.41025641026	41.9991	3200.0	45.27	network	0.2	13	14
1	2	1789.214329	13	6	7	3.25641025641	56.7207	3600.0	49.72	network	0.2	13	14
2	2	1798.48289204	15	5	6	2.64102564103	41.9991	3200.0	49.16	network	0.2	13	14
3	2	1481.25000191	13	4	7	3.23076923077	41.9991	3200.0	47.11	network	0.2	13	14
4	2	2731.15594602	14	5	7	2.97435897436	41.9991	3200.0	49.01	network	0.2	13	14
5	2	1312.81854606	14	3	7	3.10256410256	41.9991	3200.0	47.16	network	0.2	13	14
6	2	1227.06168294	13	3	7	3.17948717949	41.9991	3200.0	46.73	network	0.2	13	14
7	2	3440.19250798	12	6	7	3.41025641026	41.9991	3200.0	45.72	network	0.2	13	14
8	2	1908.54804492	14	4	6	2.94871794872	41.9991	3200.0	47.96	network	0.2	13	14
9	2	1608.44306993	14	5	7	3.02564102564	41.9991	3200.0	45.83	network	0.2	13	14
10	2	1049.44325709	12	6	9	3.76923076923	56.7207	3600.0	44.99	network	0.2	13	14
1	1	2547.76280618	15	4	6	2.84615384615	41.9991	3200.0	47.15	network	0.2	13	14
2	1	3728.42070699	14	5	6	2.97435897436	41.9991	3200.0	45.34	network	0.2	13	14
3	1	1600.83271098	16	4	8	3.02564102564	41.9991	3200.0	44.18	network	0.2	13	14
4	1	2975.34474182	16	4	5	2.5641025641	41.9991	3200.0	48.23	network	0.2	13	14
5	1	2639.47604918	15	3	6	2.66666666667	33.0215	2800.0	46.98	network	0.2	13	14
6	1	3150.40868187	14	4	7	3.07692307692	41.9991	3200.0	46.31	network	0.2	13	14
7	1	2552.40573406	13	3	6	3.20512820513	41.9991	3200.0	48.97	network	0.2	13	14
8	1	3282.50649285	14	4	6	2.82051282051	41.9991	3200.0	45.66	network	0.2	13	14
9	1	3964.7089541	15	5	6	2.71794871795	41.9991	3200.0	46.55	network	0.2	13	14
10	1	3288.31976509	16	4	7	2.92307692308	41.9991	3200.0	47.81	network	0.2	13	14
1	cradle	2095.86764979	15	4	6	2.71794871795	41.9991	3200.0	47.51	network	0.2	13	14
2	cradle	1221.66713309	13	3	8	3.4358974359	41.9991	3200.0	45.52	network	0.2	13	14
3	cradle	1405.46237111	17	3	6	2.64102564103	37.8684	3000.0	47.94	network	0.2	13	14
4	cradle	1299.18115807	14	3	6	2.89743589744	37.8684	3000.0	47.73	network	0.2	13	14
5	cradle	3315.33389401	14	6	7	3.17948717949	41.9991	3200.0	44.9	network	0.2	13	14
6	cradle	1927.09498906	13	4	5	2.89743589744	41.9991	3200.0	48.1	network	0.2	13	14
7	cradle	1373.73299599	16	4	5	2.61538461538	41.9991	3200.0	47.99	network	0.2	13	14
8	cradle	2470.44569802	13	5	6	2.97435897436	41.9991	3200.0	47.19	network	0.2	13	14
9	cradle	1387.89665198	14	3	6	3.10256410256	41.9991	3200.0	48.77	network	0.2	13	14
10	cradle	2722.37556601	16	5	6	2.61538461538	41.9991	3200.0	47.57	network	0.2	13	14
1	3	1227.40151882	15	4	5	2.53846153846	41.9991	3200.0	45.39	network	0.1	13	14
2	3	1119.62632895	12	3	8	3.53846153846	41.9991	3200.0	44.44	network	0.1	13	14
3	3	1298.64150906	16	4	5	2.61538461538	41.9991	3200.0	45.34	network	0.1	13	14
4	3	1201.05311298	15	3	7	3.02564102564	41.9991	3200.0	45.75	network	0.1	13	14
5	3	1111.11350417	12	4	9	3.82051282051	56.7207	3600.0	49.98	network	0.1	13	14
6	3	1137.54189706	15	3	5	2.58974358974	41.9991	3200.0	47.08	network	0.1	13	14
7	3	2302.22646213	17	5	5	2.48717948718	41.9991	3200.0	45.27	network	0.1	13	14
8	3	1224.53184986	14	4	8	3.20512820513	41.9991	3200.0	43.85	network	0.1	13	14
9	3	2134.17636204	15	5	6	2.76923076923	41.9991	3200.0	44.25	network	0.1	13	14
10	3	1205.12187982	14	4	6	2.92307692308	41.9991	3200.0	43.83	network	0.1	13	14
1	2	1596.97059894	14	5	7	2.94871794872	41.9991	3200.0	45.21	network	0.1	13	14
2	2	2178.36835599	16	5	6	2.66666666667	41.9991	3200.0	44.63	network	0.1	13	14
3	2	1414.41753316	15	4	5	2.64102564103	41.9991	3200.0	46.26	network	0.1	13	14
4	2	1087.17578793	16	3	5	2.5641025641	41.9991	3200.0	46.7	network	0.1	13	14
5	2	1225.44878817	13	4	5	2.92307692308	41.9991	3200.0	45.03	network	0.1	13	14
6	2	812.214925051	13	5	8	3.35897435897	56.7207	3600.0	47.91	network	0.1	13	14
7	2	1351.07394695	17	4	5	2.48717948718	41.9991	3200.0	47.31	network	0.1	13	14
8	2	1432.49908781	16	4	6	2.66666666667	41.9991	3200.0	47.19	network	0.1	13	14
9	2	1219.71293807	14	4	6	2.92307692308	41.9991	3200.0	45.03	network	0.1	13	14
10	2	1047.30447006	13	5	6	3.12820512821	56.7207	3600.0	48.74	network	0.1	13	14
1	1	2123.09403396	14	5	7	3.17948717949	41.9991	3200.0	43.86	network	0.1	13	14
2	1	1404.45559621	14	3	7	3.17948717949	41.9991	3200.0	45.16	network	0.1	13	14
3	1	952.549548864	14	4	7	3.0	56.7207	3600.0	49.9	network	0.1	13	14
4	1	1400.25862598	16	3	6	2.64102564103	41.9991	3200.0	45.09	network	0.1	13	14
5	1	1700.79189897	12	4	6	3.25641025641	41.9991	3200.0	44.67	network	0.1	13	14
6	1	1508.744169	17	5	5	2.48717948718	56.7207	3600.0	49.19	network	0.1	13	14
7	1	2074.58428097	16	5	6	2.69230769231	41.9991	3200.0	43.63	network	0.1	13	14
8	1	1224.51672697	14	4	6	2.92307692308	56.7207	3600.0	49.92	network	0.1	13	14
9	1	1066.69871283	16	5	6	2.69230769231	56.7207	3600.0	47.95	network	0.1	13	14
10	1	4102.17717695	13	5	7	3.15384615385	41.9991	3200.0	46.19	network	0.1	13	14
1	cradle	844.907002211	14	5	7	3.05128205128	56.7207	3600.0	48.06	network	0.1	13	14
2	cradle	1000.8567791	15	3	7	2.89743589744	41.9991	3200.0	45.92	network	0.1	13	14
3	cradle	807.908520937	14	4	7	3.02564102564	41.9991	3200.0	44.51	network	0.1	13	14
4	cradle	2445.69437599	16	6	6	2.69230769231	41.9991	3200.0	43.61	network	0.1	13	14
5	cradle	854.360786915	15	4	8	3.05128205128	56.7207	3600.0	49.18	network	0.1	13	14
6	cradle	1027.351964	13	3	6	3.23076923077	41.9991	3200.0	45.54	network	0.1	13	14
7	cradle	1264.18269801	13	3	7	3.15384615385	41.9991	3200.0	45.4	network	0.1	13	14
8	cradle	1883.14455104	14	5	7	2.94871794872	41.9991	3200.0	44.5	network	0.1	13	14
9	cradle	886.858008862	15	3	7	3.0	41.9991	3200.0	44.98	network	0.1	13	14
10	cradle	1279.53815889	15	3	6	2.71794871795	41.9991	3200.0	44.75	network	0.1	13	14
1	3	2153.06924915	15	4	7	2.94871794872	41.9991	3200.0	45.79	temp	0.2	13	14
2	3	2146.4316721	14	5	7	3.0	41.9991	3200.0	45.28	temp	0.2	13	14
3	3	1124.83300209	13	4	8	3.38461538462	41.9991	3200.0	43.72	temp	0.2	13	14
4	3	1959.0553391	13	5	7	3.25641025641	41.9991	3200.0	44.8	temp	0.2	13	14
5	3	1198.80331802	13	4	8	3.38461538462	41.9991	3200.0	46.78	temp	0.2	13	14
6	3	1099.26131511	14	3	7	3.05128205128	41.9991	3200.0	46.84	temp	0.2	13	14
7	3	1260.24766517	13	3	9	3.48717948718	41.9991	3200.0	44.47	temp	0.2	13	14
8	3	2248.09403706	14	5	7	3.17948717949	41.9991	3200.0	45.15	temp	0.2	13	14
9	3	2171.34326601	14	5	8	3.23076923077	41.9991	3200.0	45.12	temp	0.2	13	14
10	3	1005.37857103	13	7	10	3.89743589744	56.7207	3600.0	43.78	temp	0.2	13	14
1	2	1087.52717805	13	3	8	3.46153846154	41.9991	3200.0	46.41	temp	0.2	13	14
2	2	1692.51062799	14	4	6	2.92307692308	41.9991	3200.0	48.46	temp	0.2	13	14
3	2	11233.306215	0	0	0	0	0	0	0	temp	0.2	13	14
4	2	1972.00033092	13	4	8	3.38461538462	41.9991	3200.0	46.25	temp	0.2	13	14
5	2	2145.12223005	13	5	9	3.5641025641	41.9991	3200.0	46.67	temp	0.2	13	14
6	2	1419.04237294	15	4	6	2.74358974359	41.9991	3200.0	47.42	temp	0.2	13	14
7	2	1770.82836008	14	4	8	3.30769230769	41.9991	3200.0	47.51	temp	0.2	13	14
8	2	2081.92161393	13	5	8	3.51282051282	41.9991	3200.0	45.98	temp	0.2	13	14
9	2	447.299954891	13	4	10	3.94871794872	56.7207	3600.0	47.85	temp	0.2	13	14
10	2	1244.29522896	14	5	7	2.94871794872	41.9991	3200.0	43.58	temp	0.2	13	14
1	1	1319.32030702	12	5	9	3.66666666667	56.7207	3600.0	47.62	temp	0.2	13	14
2	1	2156.33194113	12	8	12	4.66666666667	56.7207	3600.0	45.54	temp	0.2	13	14
3	1	1305.21291804	14	6	10	3.74358974359	56.7207	3600.0	47.65	temp	0.2	13	14
4	1	2064.25569606	12	7	11	4.35897435897	56.7207	3600.0	47.18	temp	0.2	13	14
5	1	2627.76891589	12	5	12	4.66666666667	41.9991	3200.0	44.32	temp	0.2	13	14
