trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap
1	3	98.0515468121	5	3	4	2.06666666667	56.7207	3600.0	45.37	power	0.1
2	3	145.711288929	5	2	4	2.06666666667	56.7207	3600.0	49.54	power	0.1
3	3	104.360185146	5	3	4	2.06666666667	56.7207	3600.0	48.6	power	0.1
4	3	278.020186186	6	3	3	1.73333333333	56.7207	3600.0	48.03	power	0.1
5	3	103.636902094	5	3	4	2.13333333333	56.7207	3600.0	46.57	power	0.1
6	3	115.138563871	5	2	3	1.93333333333	56.7207	3600.0	47.52	power	0.1
7	3	105.104942799	6	2	3	1.8	56.7207	3600.0	49.35	power	0.1
8	3	104.197692156	5	3	4	2.06666666667	56.7207	3600.0	45.51	power	0.1
9	3	123.232511044	5	4	5	2.33333333333	56.7207	3600.0	45.78	power	0.1
10	3	105.628730059	5	3	3	1.86666666667	56.7207	3600.0	48.61	power	0.1
1	1	330.201413155	5	3	4	2.13333333333	56.7207	3600.0	44.42	power	0.1
2	1	316.459883928	5	3	5	2.33333333333	56.7207	3600.0	46.34	power	0.1
3	1	223.30153513	5	2	4	2.13333333333	56.7207	3600.0	47.31	power	0.1
4	1	392.477146149	5	4	4	2.13333333333	56.7207	3600.0	44.63	power	0.1
5	1	340.49000597	5	3	3	1.86666666667	56.7207	3600.0	47.81	power	0.1
6	1	242.941612005	5	2	5	2.33333333333	56.7207	3600.0	46.21	power	0.1
7	1	340.479244947	6	3	3	1.73333333333	56.7207	3600.0	48.73	power	0.1
8	1	246.422464132	5	2	4	2.06666666667	56.7207	3600.0	46.69	power	0.1
9	1	247.553280115	5	3	4	2.13333333333	56.7207	3600.0	45.27	power	0.1
10	1	267.581353903	5	2	4	2.13333333333	56.7207	3600.0	44.87	power	0.1
1	cradle	189.690153122	6	2	4	1.86666666667	56.7207	3600.0	47.59	power	0.1
2	cradle	94.6083090305	7	3	3	1.66666666667	56.7207	3600.0	45.59	power	0.1
3	cradle	100.336068153	5	2	5	2.33333333333	56.7207	3600.0	44.2	power	0.1
4	cradle	141.790230036	5	2	5	2.33333333333	56.7207	3600.0	42.52	power	0.1
5	cradle	97.6514759064	5	3	5	2.33333333333	56.7207	3600.0	45.48	power	0.1
6	cradle	101.484721899	5	3	5	2.33333333333	56.7207	3600.0	42.71	power	0.1
7	cradle	154.728531122	5	2	5	2.33333333333	56.7207	3600.0	42.9	power	0.1
8	cradle	116.181674004	5	3	5	2.33333333333	56.7207	3600.0	42.48	power	0.1
9	cradle	120.205463171	5	3	5	2.33333333333	56.7207	3600.0	44.42	power	0.1
10	cradle	181.188981056	5	2	4	2.13333333333	56.7207	3600.0	46.52	power	0.1
