chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap	numchips	candidates
3	375.608309436	9.2	3.0	5.1	2.48888888889	49.3599	3400.0	46.841	network	0.2	9	14
2	512.986823988	9.4	3.5	5.0	2.43333333333	50.83206	3440.0	46.841	network	0.2	9	14
1	896.353851771	9.1	3.6	5.4	2.53333333333	47.88774	3360.0	45.283	network	0.2	9	14
cradle	250.42837379	8.8	3.3	5.9	2.73888888889	52.30422	3480.0	45.906	network	0.2	9	14
3	75.719235301	5.2	3.1	3.7	2.03333333333	56.7207	3600.0	45.352	network	0.2	6	14
2	124.618727207	5.5	2.7	3.5	1.91333333333	56.7207	3600.0	45.772	network	0.2	6	14
1	197.963420248	5.2	3.1	3.6	2.0	56.7207	3600.0	44.925	network	0.2	6	14
cradle	62.0788198948	5.8	2.3	3.9	1.98	56.7207	3600.0	45.697	network	0.2	6	14
3	282.688323092	9.2	3.7	4.7	2.42777777778	55.24854	3560.0	46.573	network	0.1	9	14
2	258.917398167	9.7	3.3	5.0	2.38888888889	55.24854	3560.0	46.153	network	0.1	9	14
1	470.914594555	9.4	4.0	4.8	2.4	56.7207	3600.0	46.354	network	0.1	9	14
cradle	157.167760372	9.3	2.9	5.6	2.58333333333	56.7207	3600.0	46.061	network	0.1	9	14
3	72.645527482	5.3	3.0	3.8	2.00666666667	56.7207	3600.0	42.477	network	0.1	6	14
2	119.962185621	5.6	2.8	3.8	1.96	56.7207	3600.0	42.367	network	0.1	6	14
1	178.361275291	5.3	3.1	3.7	1.98666666667	56.7207	3600.0	42.914	network	0.1	6	14
cradle	63.1767797947	5.8	2.6	4.1	2.03333333333	56.7207	3600.0	41.563	network	0.1	6	14
3	388.665793872	8.8	3.6	6.1	2.72222222222	46.41558	3320.0	43.964	temp	0.2	9	14
2	386.080229306	8.2	5.3	6.9	3.01111111111	56.7207	3600.0	44.015	temp	0.2	9	14
1	767.378299379	8.0	6.0	7.5	3.21111111111	56.7207	3600.0	43.654	temp	0.2	9	14
cradle	144.307400147	8.0	3.5	8.0	3.33333333333	56.7207	3600.0	41.9916666667	temp	0.2	9	14
3	93.491520381	5.3	3.2	4.3	2.11333333333	55.24854	3560.0	43.793	temp	0.2	6	14
2	149.632849288	5.1	4.0	4.9	2.28666666666	56.7207	3600.0	42.034	temp	0.2	6	14
1	208.884910107	5.0	4.2	5.0	2.33333333333	56.7207	3600.0	42.099	temp	0.2	6	14
cradle	60.5736970663	5.0	2.6	5.0	2.33333333333	56.7207	3600.0	41.133	temp	0.2	6	14
3	222.604659605	8.7	4.0	6.5	2.81111111111	55.24854	3560.0	42.819	temp	0.1	9	14
2	282.59960494	8.2	4.4	7.0	3.00555555555	55.24854	3560.0	42.553	temp	0.1	9	14
1	622.137557101	8.3	4.9	7.4	3.11666666666	56.7207	3600.0	41.89	temp	0.1	9	14
cradle	137.902090639	8.0	3.0	8.0	3.33333333333	56.7207	3600.0	40.59625	temp	0.1	9	14
3	78.7943494081	5.1	3.0	4.5	2.19333333333	56.7207	3600.0	41.397	temp	0.1	6	14
2	144.459864616	5.0	3.6	5.0	2.33333333333	56.7207	3600.0	40.313	temp	0.1	6	14
1	219.899625993	5.0	4.0	4.8	2.28666666666	56.7207	3600.0	39.813	temp	0.1	6	14
cradle	58.9073272228	5.0	2.2	5.0	2.33333333333	56.7207	3600.0	39.37	temp	0.1	6	14
3	475.739914417	10.4	3.0	4.8	2.24444444445	50.83206	3440.0	47.782	power	0.2	9	14
2	616.429972672	10.2	3.2	4.5	2.21666666667	52.30422	3480.0	47.858	power	0.2	9	14
1	1225.1482327	10.9	3.4	4.4	2.11111111111	52.30422	3480.0	47.676	power	0.2	9	14
cradle	363.575154185	11.0	2.9	4.8	2.22222222222	55.24854	3560.0	48.424	power	0.2	9	14
3	91.3764331102	6.2	2.6	3.0	1.76	56.7207	3600.0	47.079	power	0.2	6	14
2	151.692171764	6.3	2.9	3.0	1.73333333333	56.7207	3600.0	46.985	power	0.2	6	14
1	239.189513612	6.0	2.8	3.0	1.73333333333	56.7207	3600.0	47.657	power	0.2	6	14
cradle	65.8027062416	6.9	2.9	3.1	1.68666666667	56.7207	3600.0	46.199	power	0.2	6	14
3	310.356538653	10.6	3.1	4.0	2.14444444444	56.7207	3600.0	48.427	power	0.1	9	14
2	382.966081977	11.1	2.8	4.0	2.06666666667	55.24854	3560.0	48.172	power	0.1	9	14
1	675.825807047	11.1	3.3	4.0	2.05	55.24854	3560.0	48.037	power	0.1	9	14
cradle	190.654071832	11.3	3.2	4.2	2.1	56.7207	3600.0	46.908	power	0.1	9	14
3	84.7128904581	6.1	2.8	3.0	1.74666666667	56.7207	3600.0	44.315	power	0.1	6	14
2	141.011821985	6.5	2.8	3.0	1.7	56.7207	3600.0	44.347	power	0.1	6	14
1	187.869683123	6.0	2.3	3.0	1.73333333333	56.7207	3600.0	45.463	power	0.1	6	14
cradle	66.2994545937	6.8	2.8	3.1	1.7	56.7207	3600.0	43.267	power	0.1	6	14
