trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap	numchips	candidates
1	3	463.723106146	10	3	4	2.16666666667	41.9991	3200.0	45.06	network	0.2	9	14
2	3	466.615505934	10	3	5	2.33333333333	41.9991	3200.0	45.24	network	0.2	9	14
3	3	183.645252943	8	3	5	2.66666666667	56.7207	3600.0	48.67	network	0.2	9	14
4	3	482.5739429	11	3	4	2.11111111111	41.9991	3200.0	45.17	network	0.2	9	14
5	3	339.738684893	9	3	5	2.33333333333	41.9991	3200.0	44.8	network	0.2	9	14
6	3	360.061730862	8	3	6	2.83333333333	56.7207	3600.0	49.76	network	0.2	9	14
7	3	366.525011778	10	2	4	2.11111111111	41.9991	3200.0	48.5	network	0.2	9	14
8	3	421.113083839	9	3	6	2.66666666667	56.7207	3600.0	47.58	network	0.2	9	14
9	3	387.450093031	8	3	7	3.16666666667	56.7207	3600.0	46.02	network	0.2	9	14
10	3	284.636682034	9	4	5	2.5	56.7207	3600.0	47.61	network	0.2	9	14
1	2	796.313143015	9	4	5	2.5	56.7207	3600.0	48.32	network	0.2	9	14
2	2	588.083567858	10	3	6	2.44444444444	41.9991	3200.0	43.9	network	0.2	9	14
3	2	543.067981005	11	3	5	2.16666666667	56.7207	3600.0	49.16	network	0.2	9	14
4	2	564.143023968	8	4	5	2.66666666667	56.7207	3600.0	49.51	network	0.2	9	14
5	2	201.697031975	9	3	6	2.72222222222	56.7207	3600.0	46.75	network	0.2	9	14
6	2	258.004088879	10	4	4	2.16666666667	56.7207	3600.0	47.99	network	0.2	9	14
7	2	355.885996103	9	3	5	2.55555555556	56.7207	3600.0	49.04	network	0.2	9	14
8	2	620.138932943	9	4	4	2.33333333333	41.9991	3200.0	44.05	network	0.2	9	14
9	2	686.489536047	9	4	5	2.5	41.9991	3200.0	45.23	network	0.2	9	14
10	2	516.044938087	10	3	5	2.27777777778	41.9991	3200.0	44.46	network	0.2	9	14
1	1	1156.49130511	10	3	4	2.22222222222	41.9991	3200.0	44.96	network	0.2	9	14
2	1	1163.50425887	10	4	5	2.27777777778	41.9991	3200.0	44.37	network	0.2	9	14
3	1	741.316779137	10	4	5	2.27777777778	56.7207	3600.0	49.26	network	0.2	9	14
4	1	1072.24053693	9	3	6	2.55555555556	41.9991	3200.0	44.6	network	0.2	9	14
5	1	600.876991034	9	4	6	2.66666666667	56.7207	3600.0	46.49	network	0.2	9	14
6	1	1086.0049119	10	3	4	2.22222222222	41.9991	3200.0	45.22	network	0.2	9	14
7	1	759.128985882	9	3	5	2.5	41.9991	3200.0	44.1	network	0.2	9	14
8	1	475.571853876	8	4	7	3.05555555556	56.7207	3600.0	45.28	network	0.2	9	14
9	1	1196.73995185	8	4	5	2.55555555556	41.9991	3200.0	44.49	network	0.2	9	14
10	1	711.662943125	8	4	7	3.0	56.7207	3600.0	44.06	network	0.2	9	14
1	cradle	385.284489155	8	4	6	3.0	41.9991	3200.0	43.9	network	0.2	9	14
2	cradle	280.009593964	9	2	5	2.55555555556	56.7207	3600.0	48.2	network	0.2	9	14
3	cradle	227.246973991	9	3	5	2.5	56.7207	3600.0	47.52	network	0.2	9	14
4	cradle	160.872772932	8	4	5	2.66666666667	56.7207	3600.0	46.44	network	0.2	9	14
5	cradle	280.206151962	8	4	6	2.83333333333	56.7207	3600.0	48.21	network	0.2	9	14
6	cradle	394.152580976	11	4	5	2.22222222222	41.9991	3200.0	44.29	network	0.2	9	14
7	cradle	145.760802984	8	3	7	3.16666666667	56.7207	3600.0	45.34	network	0.2	9	14
8	cradle	104.545543909	8	3	8	3.33333333333	56.7207	3600.0	44.0	network	0.2	9	14
9	cradle	378.962692022	10	3	5	2.22222222222	41.9991	3200.0	44.76	network	0.2	9	14
10	cradle	147.242136002	9	3	7	2.88888888889	56.7207	3600.0	46.4	network	0.2	9	14
1	3	63.2114560604	5	3	5	2.33333333333	56.7207	3600.0	43.94	network	0.2	6	14
2	3	64.0097608566	5	3	3	1.93333333333	56.7207	3600.0	45.41	network	0.2	6	14
3	3	75.1924378872	5	4	4	2.13333333333	56.7207	3600.0	44.35	network	0.2	6	14
4	3	88.1908080578	5	3	4	2.13333333333	56.7207	3600.0	44.83	network	0.2	6	14
5	3	74.8691751957	5	4	5	2.33333333333	56.7207	3600.0	43.49	network	0.2	6	14
6	3	89.8672089577	5	2	3	1.86666666667	56.7207	3600.0	49.25	network	0.2	6	14
7	3	74.8776831627	5	3	3	1.86666666667	56.7207	3600.0	45.65	network	0.2	6	14
8	3	89.1926369667	6	3	3	1.8	56.7207	3600.0	45.72	network	0.2	6	14
9	3	63.2955238819	5	3	4	2.13333333333	56.7207	3600.0	45.86	network	0.2	6	14
10	3	74.4856619835	6	3	3	1.8	56.7207	3600.0	45.02	network	0.2	6	14
1	2	129.766638994	5	3	4	2.06666666667	56.7207	3600.0	44.98	network	0.2	6	14
2	2	130.683027983	5	4	4	2.13333333333	56.7207	3600.0	44.48	network	0.2	6	14
3	2	102.157608986	6	2	3	1.73333333333	56.7207	3600.0	48.0	network	0.2	6	14
4	2	141.670324087	5	3	3	1.86666666667	56.7207	3600.0	45.98	network	0.2	6	14
5	2	130.751030207	5	3	4	2.13333333333	56.7207	3600.0	43.83	network	0.2	6	14
6	2	91.063475132	6	2	3	1.73333333333	56.7207	3600.0	48.0	network	0.2	6	14
7	2	169.518468857	6	3	3	1.73333333333	56.7207	3600.0	45.97	network	0.2	6	14
8	2	143.676756859	6	3	3	1.8	56.7207	3600.0	45.76	network	0.2	6	14
9	2	116.984375954	6	2	4	1.86666666667	56.7207	3600.0	44.68	network	0.2	6	14
10	2	89.9155650139	5	2	4	2.06666666667	56.7207	3600.0	46.04	network	0.2	6	14
1	1	184.619959116	5	3	4	2.13333333333	56.7207	3600.0	46.08	network	0.2	6	14
2	1	187.109661102	5	3	3	1.86666666667	56.7207	3600.0	46.1	network	0.2	6	14
3	1	245.561803102	5	4	4	2.06666666667	56.7207	3600.0	43.78	network	0.2	6	14
4	1	200.914332151	5	3	4	2.06666666667	56.7207	3600.0	44.93	network	0.2	6	14
5	1	226.786144018	5	2	3	1.86666666667	56.7207	3600.0	49.82	network	0.2	6	14
6	1	159.202936888	6	3	3	1.8	56.7207	3600.0	45.47	network	0.2	6	14
7	1	198.216742039	5	3	4	2.13333333333	56.7207	3600.0	42.68	network	0.2	6	14
8	1	173.693160057	6	3	3	1.8	56.7207	3600.0	45.72	network	0.2	6	14
9	1	161.761480093	5	3	4	2.13333333333	56.7207	3600.0	43.61	network	0.2	6	14
10	1	241.767983913	5	4	4	2.13333333333	56.7207	3600.0	41.06	network	0.2	6	14
1	cradle	62.4984428883	7	3	3	1.66666666667	56.7207	3600.0	46.77	network	0.2	6	14
2	cradle	61.92217803	5	2	4	2.13333333333	56.7207	3600.0	46.03	network	0.2	6	14
3	cradle	48.4260640144	5	2	5	2.33333333333	56.7207	3600.0	43.25	network	0.2	6	14
4	cradle	62.9537389278	7	3	3	1.66666666667	56.7207	3600.0	45.29	network	0.2	6	14
5	cradle	73.8278748989	5	2	4	2.13333333333	56.7207	3600.0	46.83	network	0.2	6	14
6	cradle	73.9158480167	6	2	4	1.86666666667	56.7207	3600.0	47.41	network	0.2	6	14
7	cradle	62.8154821396	5	2	5	2.33333333333	56.7207	3600.0	40.52	network	0.2	6	14
8	cradle	49.7223339081	5	2	4	2.13333333333	56.7207	3600.0	46.03	network	0.2	6	14
9	cradle	62.3824810982	7	3	3	1.66666666667	56.7207	3600.0	45.29	network	0.2	6	14
10	cradle	62.3237550259	6	2	4	1.86666666667	56.7207	3600.0	49.55	network	0.2	6	14
1	3	243.841192007	9	4	4	2.38888888889	56.7207	3600.0	47.37	network	0.1	9	14
2	3	261.830723047	9	4	5	2.5	56.7207	3600.0	46.93	network	0.1	9	14
3	3	160.53284502	10	4	4	2.16666666667	56.7207	3600.0	48.3	network	0.1	9	14
4	3	369.602904081	8	3	5	2.55555555556	41.9991	3200.0	44.75	network	0.1	9	14
5	3	242.932934999	11	4	4	2.05555555556	56.7207	3600.0	45.91	network	0.1	9	14
6	3	215.916124105	8	5	5	2.66666666667	56.7207	3600.0	43.62	network	0.1	9	14
7	3	337.148780823	10	3	4	2.22222222222	56.7207	3600.0	48.81	network	0.1	9	14
8	3	169.751578808	9	3	6	2.66666666667	56.7207	3600.0	47.27	network	0.1	9	14
9	3	507.740859032	9	3	4	2.33333333333	56.7207	3600.0	48.02	network	0.1	9	14
