chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	temperature	picked_by	overlap	numchips	candidates
1	554.463798594	18.6	3.3	5.0	2.54065934066	56.7207	3600.0	61.105	power	0.2	14	14
1	597.358255434	20.3	3.5	5.0	2.61714285714	56.7207	3600.0	63.343	power	0.2	15	14
1	626.120249009	22.0	3.3	5.0	2.69083333334	56.7207	3600.0	66.925	power	0.2	16	14
1	668.691635489	23.8	3.3	5.0	2.75588235294	56.7207	3600.0	69.65	power	0.2	17	14
1	843.332055092	25.2	3.8	5.2	2.84183006536	56.7207	3600.0	69.72	power	0.2	18	14
1	816.606148362	27.4	3.4	6.0	2.91578947368	56.7207	3600.0	69.874	power	0.2	19	14
1	1000.06323514	29.4	3.7	6.0	2.98052631579	56.7207	3600.0	71.259	power	0.2	20	14
1	979.230319341	31.0	3.55555555556	6.0	3.05714285714	56.7207	3600.0	74.2888888889	power	0.2	21	14
1	1104.00481844	32.0	3.75	6.125	3.14556277056	56.7207	3600.0	74.74625	power	0.2	22	14
1	1039.6531727	33.8571428571	3.42857142857	6.14285714286	3.20158102767	56.7207	3600.0	78.1857142857	power	0.2	23	14
1	1175.18876417	35.6666666667	3.5	6.16666666667	3.26026570048	56.7207	3600.0	80.6316666667	power	0.2	24	14
1	1163.02212048	37.0	3.25	6.5	3.34166666667	56.7207	3600.0	81.6325	power	0.2	25	14
