trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	temperature	picked_by	overlap	numchips	candidates
1	1	537.066859007	18	4	5	2.56043956044	56.7207	3600.0	58.45	power	0.2	14	14
2	1	546.454180956	18	3	5	2.56043956044	56.7207	3600.0	65.84	power	0.2	14	14
3	1	542.99811697	18	3	5	2.56043956044	56.7207	3600.0	64.89	power	0.2	14	14
4	1	482.067043066	20	3	5	2.49450549451	56.7207	3600.0	62.21	power	0.2	14	14
5	1	522.254667044	18	3	5	2.56043956044	56.7207	3600.0	60.21	power	0.2	14	14
6	1	514.923898935	18	3	5	2.56043956044	56.7207	3600.0	63.28	power	0.2	14	14
7	1	510.058938026	18	3	5	2.56043956044	56.7207	3600.0	59.97	power	0.2	14	14
8	1	508.705981016	19	3	5	2.52747252747	56.7207	3600.0	60.45	power	0.2	14	14
9	1	585.483263016	20	4	5	2.49450549451	56.7207	3600.0	58.57	power	0.2	14	14
10	1	794.625037909	19	4	5	2.52747252747	56.7207	3600.0	57.18	power	0.2	14	14
1	1	635.847242117	20	4	5	2.62857142857	56.7207	3600.0	59.52	power	0.2	15	14
2	1	509.878023148	20	3	5	2.62857142857	56.7207	3600.0	66.39	power	0.2	15	14
3	1	577.755598068	20	3	5	2.62857142857	56.7207	3600.0	62.74	power	0.2	15	14
4	1	583.817286968	20	3	5	2.62857142857	56.7207	3600.0	67.82	power	0.2	15	14
5	1	627.424598932	20	4	5	2.62857142857	56.7207	3600.0	64.39	power	0.2	15	14
6	1	562.991553068	20	3	5	2.62857142857	56.7207	3600.0	61.86	power	0.2	15	14
7	1	646.866801023	21	4	5	2.59047619048	56.7207	3600.0	63.49	power	0.2	15	14
8	1	546.174546957	21	3	5	2.59047619048	56.7207	3600.0	65.47	power	0.2	15	14
9	1	654.586941004	21	4	5	2.59047619048	56.7207	3600.0	59.81	power	0.2	15	14
10	1	628.239963055	20	4	5	2.62857142857	56.7207	3600.0	61.94	power	0.2	15	14
1	1	635.852198839	22	4	5	2.69166666667	56.7207	3600.0	66.46	power	0.2	16	14
2	1	642.446938992	22	3	5	2.69166666667	56.7207	3600.0	64.6	power	0.2	16	14
3	1	753.46065402	22	4	5	2.69166666667	56.7207	3600.0	63.45	power	0.2	16	14
4	1	563.894459009	22	3	5	2.69166666667	56.7207	3600.0	68.41	power	0.2	16	14
5	1	563.829725981	22	3	5	2.69166666667	56.7207	3600.0	66.89	power	0.2	16	14
6	1	715.055321932	22	4	5	2.66666666667	56.7207	3600.0	66.97	power	0.2	16	14
7	1	603.390929222	21	3	5	2.75	56.7207	3600.0	68.88	power	0.2	16	14
8	1	614.582455873	22	3	5	2.69166666667	56.7207	3600.0	68.41	power	0.2	16	14
9	1	521.357475042	22	3	5	2.69166666667	56.7207	3600.0	66.15	power	0.2	16	14
10	1	647.332331181	23	3	5	2.65	56.7207	3600.0	69.03	power	0.2	16	14
1	1	676.089382887	24	3	5	2.75	56.7207	3600.0	71.28	power	0.2	17	14
2	1	628.570610046	24	3	5	2.75	56.7207	3600.0	70.18	power	0.2	17	14
3	1	672.933043957	24	3	5	2.75	56.7207	3600.0	68.28	power	0.2	17	14
4	1	740.094557047	23	4	5	2.76470588235	56.7207	3600.0	69.14	power	0.2	17	14
5	1	931.037951946	24	5	5	2.75	56.7207	3600.0	68.2	power	0.2	17	14
6	1	549.440340996	24	3	5	2.75	56.7207	3600.0	69.5	power	0.2	17	14
