chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap	numchips	candidates
1	22.9935188532	3.0	2.0	2.0	1.5	56.7207	3600.0	47.44	power	0.2	4	14
1	22.9589990139	4.0	2.0	2.0	1.6	56.7207	3600.0	51.24	power	0.2	5	14
1	23.0079051495	6.0	2.0	3.0	1.73333333333	56.7207	3600.0	48.44	power	0.2	6	14
1	22.9379211903	8.0	2.0	3.0	1.80952380952	56.7207	3600.0	52.01	power	0.2	7	14
1	22.9440016985	10.0	2.0	4.0	1.92857142857	56.7207	3600.0	54.24	power	0.2	8	14
1	23.0137398005	12.0	2.0	4.0	2.0	56.7207	3600.0	56.74	power	0.2	9	14
1	22.9846104145	13.0	2.0	4.0	2.13333333333	56.7207	3600.0	61.26	power	0.2	10	14
1	23.0038147211	14.0	2.0	4.0	2.25454545455	56.7207	3600.0	68.54	power	0.2	11	14
1	22.9541320801	15.0	2.0	4.0	2.36363636364	56.7207	3600.0	72.73	power	0.2	12	14
1	22.9392714977	16.0	2.0	4.0	2.46153846154	56.7207	3600.0	75.13	power	0.2	13	14
1	22.9961872816	3.0	2.0	2.0	1.5	56.7207	3600.0	45.65	power	0.1	4	14
1	22.9636260748	4.0	2.0	2.0	1.6	56.7207	3600.0	48.35	power	0.1	5	14
1	22.9810178041	6.0	2.0	3.0	1.73333333333	56.7207	3600.0	45.02	power	0.1	6	14
1	22.9952385902	8.0	2.0	3.0	1.80952380952	56.7207	3600.0	47.55	power	0.1	7	14
1	22.943384552	10.0	2.0	4.0	1.92857142857	56.7207	3600.0	49.21	power	0.1	8	14
1	22.960076499	12.0	2.0	4.0	2.0	56.7207	3600.0	51.24	power	0.1	9	14
1	22.9659268141	13.0	2.0	4.0	2.13333333333	56.7207	3600.0	54.6	power	0.1	10	14
1	22.9847127438	14.0	2.0	4.0	2.25454545455	56.7207	3600.0	61.01	power	0.1	11	14
1	22.9849530697	15.0	2.0	4.0	2.36363636364	56.7207	3600.0	63.49	power	0.1	12	14
1	22.9538770914	16.0	2.0	4.0	2.46153846154	56.7207	3600.0	64.83	power	0.1	13	14
