trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap	numchips	candidates
1	1	22.9752538204	3	2	2	1.5	56.7207	3600.0	47.44	power	0.2	4	14
2	1	23.0577969551	3	2	2	1.5	56.7207	3600.0	47.44	power	0.2	4	14
3	1	22.9882481098	3	2	2	1.5	56.7207	3600.0	47.44	power	0.2	4	14
4	1	23.0435938835	3	2	2	1.5	56.7207	3600.0	47.44	power	0.2	4	14
5	1	22.9896888733	3	2	2	1.5	56.7207	3600.0	47.44	power	0.2	4	14
6	1	22.9650170803	3	2	2	1.5	56.7207	3600.0	47.44	power	0.2	4	14
7	1	22.9689118862	3	2	2	1.5	56.7207	3600.0	47.44	power	0.2	4	14
8	1	22.9839918613	3	2	2	1.5	56.7207	3600.0	47.44	power	0.2	4	14
9	1	23.0104990005	3	2	2	1.5	56.7207	3600.0	47.44	power	0.2	4	14
10	1	22.9521870613	3	2	2	1.5	56.7207	3600.0	47.44	power	0.2	4	14
1	1	22.6811959743	4	2	2	1.6	56.7207	3600.0	51.24	power	0.2	5	14
2	1	22.9318871498	4	2	2	1.6	56.7207	3600.0	51.24	power	0.2	5	14
3	1	22.9492681026	4	2	2	1.6	56.7207	3600.0	51.24	power	0.2	5	14
4	1	22.9777920246	4	2	2	1.6	56.7207	3600.0	51.24	power	0.2	5	14
5	1	22.9959909916	4	2	2	1.6	56.7207	3600.0	51.24	power	0.2	5	14
6	1	23.0105991364	4	2	2	1.6	56.7207	3600.0	51.24	power	0.2	5	14
7	1	23.0101380348	4	2	2	1.6	56.7207	3600.0	51.24	power	0.2	5	14
8	1	22.9187078476	4	2	2	1.6	56.7207	3600.0	51.24	power	0.2	5	14
9	1	23.0291268826	4	2	2	1.6	56.7207	3600.0	51.24	power	0.2	5	14
10	1	23.0852839947	4	2	2	1.6	56.7207	3600.0	51.24	power	0.2	5	14
1	1	22.9764971733	6	2	3	1.73333333333	56.7207	3600.0	48.44	power	0.2	6	14
2	1	23.0597600937	6	2	3	1.73333333333	56.7207	3600.0	48.44	power	0.2	6	14
3	1	22.9255390167	6	2	3	1.73333333333	56.7207	3600.0	48.44	power	0.2	6	14
4	1	23.0799539089	6	2	3	1.73333333333	56.7207	3600.0	48.44	power	0.2	6	14
5	1	22.996461153	6	2	3	1.73333333333	56.7207	3600.0	48.44	power	0.2	6	14
6	1	23.0640459061	6	2	3	1.73333333333	56.7207	3600.0	48.44	power	0.2	6	14
7	1	22.9216170311	6	2	3	1.73333333333	56.7207	3600.0	48.44	power	0.2	6	14
8	1	23.0328259468	6	2	3	1.73333333333	56.7207	3600.0	48.44	power	0.2	6	14
9	1	22.9650011063	6	2	3	1.73333333333	56.7207	3600.0	48.44	power	0.2	6	14
10	1	23.0573501587	6	2	3	1.73333333333	56.7207	3600.0	48.44	power	0.2	6	14
1	1	22.9227080345	8	2	3	1.80952380952	56.7207	3600.0	52.01	power	0.2	7	14
2	1	22.9858291149	8	2	3	1.80952380952	56.7207	3600.0	52.01	power	0.2	7	14
3	1	22.5609149933	8	2	3	1.80952380952	56.7207	3600.0	52.01	power	0.2	7	14
4	1	22.9691290855	8	2	3	1.80952380952	56.7207	3600.0	52.01	power	0.2	7	14
5	1	22.9463460445	8	2	3	1.80952380952	56.7207	3600.0	52.01	power	0.2	7	14
6	1	23.0292758942	8	2	3	1.80952380952	56.7207	3600.0	52.01	power	0.2	7	14
7	1	22.9430577755	8	2	3	1.80952380952	56.7207	3600.0	52.01	power	0.2	7	14
8	1	22.9847609997	8	2	3	1.80952380952	56.7207	3600.0	52.01	power	0.2	7	14
9	1	23.0506289005	8	2	3	1.80952380952	56.7207	3600.0	52.01	power	0.2	7	14
10	1	22.98656106	8	2	3	1.80952380952	56.7207	3600.0	52.01	power	0.2	7	14
1	1	22.8857750893	10	2	4	1.92857142857	56.7207	3600.0	54.24	power	0.2	8	14
2	1	23.0354940891	10	2	4	1.92857142857	56.7207	3600.0	54.24	power	0.2	8	14
3	1	23.0122799873	10	2	4	1.92857142857	56.7207	3600.0	54.24	power	0.2	8	14
4	1	22.7170419693	10	2	4	1.92857142857	56.7207	3600.0	54.24	power	0.2	8	14
5	1	22.9161579609	10	2	4	1.92857142857	56.7207	3600.0	54.24	power	0.2	8	14
6	1	22.9667630196	10	2	4	1.92857142857	56.7207	3600.0	54.24	power	0.2	8	14
7	1	23.0462329388	10	2	4	1.92857142857	56.7207	3600.0	54.24	power	0.2	8	14
8	1	22.9261519909	10	2	4	1.92857142857	56.7207	3600.0	54.24	power	0.2	8	14
9	1	22.9667580128	10	2	4	1.92857142857	56.7207	3600.0	54.24	power	0.2	8	14
10	1	22.967361927	10	2	4	1.92857142857	56.7207	3600.0	54.24	power	0.2	8	14
1	1	23.0013821125	12	2	4	2.0	56.7207	3600.0	56.74	power	0.2	9	14
2	1	23.0041439533	12	2	4	2.0	56.7207	3600.0	56.74	power	0.2	9	14
3	1	23.047991991	12	2	4	2.0	56.7207	3600.0	56.74	power	0.2	9	14
4	1	23.0087311268	12	2	4	2.0	56.7207	3600.0	56.74	power	0.2	9	14
5	1	23.0133109093	12	2	4	2.0	56.7207	3600.0	56.74	power	0.2	9	14
6	1	22.9575650692	12	2	4	2.0	56.7207	3600.0	56.74	power	0.2	9	14
7	1	23.0609328747	12	2	4	2.0	56.7207	3600.0	56.74	power	0.2	9	14
8	1	22.9301669598	12	2	4	2.0	56.7207	3600.0	56.74	power	0.2	9	14
9	1	23.268597126	12	2	4	2.0	56.7207	3600.0	56.74	power	0.2	9	14
10	1	22.844575882	12	2	4	2.0	56.7207	3600.0	56.74	power	0.2	9	14
1	1	23.0242359638	13	2	4	2.13333333333	56.7207	3600.0	61.26	power	0.2	10	14
2	1	22.9058530331	13	2	4	2.13333333333	56.7207	3600.0	61.26	power	0.2	10	14
3	1	22.9741888046	13	2	4	2.13333333333	56.7207	3600.0	61.26	power	0.2	10	14
4	1	23.017843008	13	2	4	2.13333333333	56.7207	3600.0	61.26	power	0.2	10	14
5	1	22.9898021221	13	2	4	2.13333333333	56.7207	3600.0	61.26	power	0.2	10	14
6	1	23.0155439377	13	2	4	2.13333333333	56.7207	3600.0	61.26	power	0.2	10	14
7	1	22.9624741077	13	2	4	2.13333333333	56.7207	3600.0	61.26	power	0.2	10	14
8	1	23.0029520988	13	2	4	2.13333333333	56.7207	3600.0	61.26	power	0.2	10	14
9	1	22.9323890209	13	2	4	2.13333333333	56.7207	3600.0	61.26	power	0.2	10	14
10	1	23.0208220482	13	2	4	2.13333333333	56.7207	3600.0	61.26	power	0.2	10	14
1	1	23.0066730976	14	2	4	2.25454545455	56.7207	3600.0	68.54	power	0.2	11	14
2	1	22.987126112	14	2	4	2.25454545455	56.7207	3600.0	68.54	power	0.2	11	14
3	1	22.9650080204	14	2	4	2.25454545455	56.7207	3600.0	68.54	power	0.2	11	14
4	1	22.9571330547	14	2	4	2.25454545455	56.7207	3600.0	68.54	power	0.2	11	14
5	1	23.1252429485	14	2	4	2.25454545455	56.7207	3600.0	68.54	power	0.2	11	14
6	1	22.9304599762	14	2	4	2.25454545455	56.7207	3600.0	68.54	power	0.2	11	14
7	1	22.7155919075	14	2	4	2.25454545455	56.7207	3600.0	68.54	power	0.2	11	14
8	1	23.1549010277	14	2	4	2.25454545455	56.7207	3600.0	68.54	power	0.2	11	14
9	1	23.1552779675	14	2	4	2.25454545455	56.7207	3600.0	68.54	power	0.2	11	14
10	1	23.040733099	14	2	4	2.25454545455	56.7207	3600.0	68.54	power	0.2	11	14
1	1	22.9345238209	15	2	4	2.36363636364	56.7207	3600.0	72.73	power	0.2	12	14
2	1	23.0026028156	15	2	4	2.36363636364	56.7207	3600.0	72.73	power	0.2	12	14
3	1	22.9723799229	15	2	4	2.36363636364	56.7207	3600.0	72.73	power	0.2	12	14
4	1	23.0185360909	15	2	4	2.36363636364	56.7207	3600.0	72.73	power	0.2	12	14
5	1	22.6906039715	15	2	4	2.36363636364	56.7207	3600.0	72.73	power	0.2	12	14
6	1	22.9795911312	15	2	4	2.36363636364	56.7207	3600.0	72.73	power	0.2	12	14
7	1	22.8925230503	15	2	4	2.36363636364	56.7207	3600.0	72.73	power	0.2	12	14
8	1	22.9587929249	15	2	4	2.36363636364	56.7207	3600.0	72.73	power	0.2	12	14
9	1	23.0589499474	15	2	4	2.36363636364	56.7207	3600.0	72.73	power	0.2	12	14
10	1	23.0328171253	15	2	4	2.36363636364	56.7207	3600.0	72.73	power	0.2	12	14
1	1	22.9264440536	16	2	4	2.46153846154	56.7207	3600.0	75.13	power	0.2	13	14
2	1	22.9208729267	16	2	4	2.46153846154	56.7207	3600.0	75.13	power	0.2	13	14
3	1	22.9957098961	16	2	4	2.46153846154	56.7207	3600.0	75.13	power	0.2	13	14
4	1	22.9150509834	16	2	4	2.46153846154	56.7207	3600.0	75.13	power	0.2	13	14
5	1	22.7956149578	16	2	4	2.46153846154	56.7207	3600.0	75.13	power	0.2	13	14
6	1	22.948843956	16	2	4	2.46153846154	56.7207	3600.0	75.13	power	0.2	13	14
7	1	22.9923911095	16	2	4	2.46153846154	56.7207	3600.0	75.13	power	0.2	13	14
8	1	22.95134902	16	2	4	2.46153846154	56.7207	3600.0	75.13	power	0.2	13	14
9	1	22.9481420517	16	2	4	2.46153846154	56.7207	3600.0	75.13	power	0.2	13	14
10	1	22.9982960224	16	2	4	2.46153846154	56.7207	3600.0	75.13	power	0.2	13	14
1	1	22.9527180195	3	2	2	1.5	56.7207	3600.0	45.65	power	0.1	4	14
2	1	23.0609378815	3	2	2	1.5	56.7207	3600.0	45.65	power	0.1	4	14
3	1	22.9615368843	3	2	2	1.5	56.7207	3600.0	45.65	power	0.1	4	14
4	1	23.0525639057	3	2	2	1.5	56.7207	3600.0	45.65	power	0.1	4	14
5	1	23.0015900135	3	2	2	1.5	56.7207	3600.0	45.65	power	0.1	4	14
6	1	23.0003080368	3	2	2	1.5	56.7207	3600.0	45.65	power	0.1	4	14
7	1	22.9627959728	3	2	2	1.5	56.7207	3600.0	45.65	power	0.1	4	14
8	1	23.0121159554	3	2	2	1.5	56.7207	3600.0	45.65	power	0.1	4	14
9	1	23.0454199314	3	2	2	1.5	56.7207	3600.0	45.65	power	0.1	4	14
10	1	22.9118862152	3	2	2	1.5	56.7207	3600.0	45.65	power	0.1	4	14
1	1	22.9883668423	4	2	2	1.6	56.7207	3600.0	48.35	power	0.1	5	14
2	1	23.0342879295	4	2	2	1.6	56.7207	3600.0	48.35	power	0.1	5	14
3	1	22.9040579796	4	2	2	1.6	56.7207	3600.0	48.35	power	0.1	5	14
4	1	23.0053009987	4	2	2	1.6	56.7207	3600.0	48.35	power	0.1	5	14
5	1	22.782366991	4	2	2	1.6	56.7207	3600.0	48.35	power	0.1	5	14
6	1	23.0287559032	4	2	2	1.6	56.7207	3600.0	48.35	power	0.1	5	14
7	1	22.8913900852	4	2	2	1.6	56.7207	3600.0	48.35	power	0.1	5	14
8	1	23.0787229538	4	2	2	1.6	56.7207	3600.0	48.35	power	0.1	5	14
9	1	23.0113871098	4	2	2	1.6	56.7207	3600.0	48.35	power	0.1	5	14
10	1	22.9116239548	4	2	2	1.6	56.7207	3600.0	48.35	power	0.1	5	14
1	1	22.9931049347	6	2	3	1.73333333333	56.7207	3600.0	45.02	power	0.1	6	14
2	1	22.9382338524	6	2	3	1.73333333333	56.7207	3600.0	45.02	power	0.1	6	14
3	1	22.98898983	6	2	3	1.73333333333	56.7207	3600.0	45.02	power	0.1	6	14
4	1	23.0260488987	6	2	3	1.73333333333	56.7207	3600.0	45.02	power	0.1	6	14
5	1	23.0371758938	6	2	3	1.73333333333	56.7207	3600.0	45.02	power	0.1	6	14
6	1	22.8945219517	6	2	3	1.73333333333	56.7207	3600.0	45.02	power	0.1	6	14
7	1	23.0298309326	6	2	3	1.73333333333	56.7207	3600.0	45.02	power	0.1	6	14
8	1	22.9201369286	6	2	3	1.73333333333	56.7207	3600.0	45.02	power	0.1	6	14
9	1	22.9669849873	6	2	3	1.73333333333	56.7207	3600.0	45.02	power	0.1	6	14
10	1	23.0151498318	6	2	3	1.73333333333	56.7207	3600.0	45.02	power	0.1	6	14
1	1	22.9810500145	8	2	3	1.80952380952	56.7207	3600.0	47.55	power	0.1	7	14
2	1	23.013106823	8	2	3	1.80952380952	56.7207	3600.0	47.55	power	0.1	7	14
3	1	22.9725110531	8	2	3	1.80952380952	56.7207	3600.0	47.55	power	0.1	7	14
4	1	23.0820930004	8	2	3	1.80952380952	56.7207	3600.0	47.55	power	0.1	7	14
5	1	23.0156490803	8	2	3	1.80952380952	56.7207	3600.0	47.55	power	0.1	7	14
6	1	23.0148398876	8	2	3	1.80952380952	56.7207	3600.0	47.55	power	0.1	7	14
7	1	22.8965919018	8	2	3	1.80952380952	56.7207	3600.0	47.55	power	0.1	7	14
8	1	22.963283062	8	2	3	1.80952380952	56.7207	3600.0	47.55	power	0.1	7	14
9	1	23.0591421127	8	2	3	1.80952380952	56.7207	3600.0	47.55	power	0.1	7	14
10	1	22.9541189671	8	2	3	1.80952380952	56.7207	3600.0	47.55	power	0.1	7	14
1	1	23.0190708637	10	2	4	1.92857142857	56.7207	3600.0	49.21	power	0.1	8	14
2	1	22.9067430496	10	2	4	1.92857142857	56.7207	3600.0	49.21	power	0.1	8	14
3	1	22.8409798145	10	2	4	1.92857142857	56.7207	3600.0	49.21	power	0.1	8	14
4	1	22.9008560181	10	2	4	1.92857142857	56.7207	3600.0	49.21	power	0.1	8	14
5	1	22.7722449303	10	2	4	1.92857142857	56.7207	3600.0	49.21	power	0.1	8	14
6	1	23.0245220661	10	2	4	1.92857142857	56.7207	3600.0	49.21	power	0.1	8	14
7	1	22.9923009872	10	2	4	1.92857142857	56.7207	3600.0	49.21	power	0.1	8	14
8	1	23.0475978851	10	2	4	1.92857142857	56.7207	3600.0	49.21	power	0.1	8	14
9	1	23.0059390068	10	2	4	1.92857142857	56.7207	3600.0	49.21	power	0.1	8	14
10	1	22.9235908985	10	2	4	1.92857142857	56.7207	3600.0	49.21	power	0.1	8	14
1	1	22.8297069073	12	2	4	2.0	56.7207	3600.0	51.24	power	0.1	9	14
2	1	22.9675371647	12	2	4	2.0	56.7207	3600.0	51.24	power	0.1	9	14
3	1	22.9974350929	12	2	4	2.0	56.7207	3600.0	51.24	power	0.1	9	14
4	1	22.9796760082	12	2	4	2.0	56.7207	3600.0	51.24	power	0.1	9	14
5	1	22.9842898846	12	2	4	2.0	56.7207	3600.0	51.24	power	0.1	9	14
6	1	22.9350810051	12	2	4	2.0	56.7207	3600.0	51.24	power	0.1	9	14
7	1	22.9332690239	12	2	4	2.0	56.7207	3600.0	51.24	power	0.1	9	14
8	1	22.9971139431	12	2	4	2.0	56.7207	3600.0	51.24	power	0.1	9	14
9	1	23.0415999889	12	2	4	2.0	56.7207	3600.0	51.24	power	0.1	9	14
10	1	22.9350559711	12	2	4	2.0	56.7207	3600.0	51.24	power	0.1	9	14
1	1	23.0246880054	13	2	4	2.13333333333	56.7207	3600.0	54.6	power	0.1	10	14
2	1	22.9767160416	13	2	4	2.13333333333	56.7207	3600.0	54.6	power	0.1	10	14
3	1	23.0238559246	13	2	4	2.13333333333	56.7207	3600.0	54.6	power	0.1	10	14
4	1	22.9659430981	13	2	4	2.13333333333	56.7207	3600.0	54.6	power	0.1	10	14
5	1	23.01060009	13	2	4	2.13333333333	56.7207	3600.0	54.6	power	0.1	10	14
6	1	22.967124939	13	2	4	2.13333333333	56.7207	3600.0	54.6	power	0.1	10	14
7	1	22.9975178242	13	2	4	2.13333333333	56.7207	3600.0	54.6	power	0.1	10	14
8	1	22.9981632233	13	2	4	2.13333333333	56.7207	3600.0	54.6	power	0.1	10	14
9	1	22.7006189823	13	2	4	2.13333333333	56.7207	3600.0	54.6	power	0.1	10	14
10	1	22.9940400124	13	2	4	2.13333333333	56.7207	3600.0	54.6	power	0.1	10	14
1	1	23.0129070282	14	2	4	2.25454545455	56.7207	3600.0	61.01	power	0.1	11	14
2	1	22.9713051319	14	2	4	2.25454545455	56.7207	3600.0	61.01	power	0.1	11	14
3	1	22.9744918346	14	2	4	2.25454545455	56.7207	3600.0	61.01	power	0.1	11	14
4	1	22.9824819565	14	2	4	2.25454545455	56.7207	3600.0	61.01	power	0.1	11	14
5	1	22.9926099777	14	2	4	2.25454545455	56.7207	3600.0	61.01	power	0.1	11	14
6	1	22.9978370667	14	2	4	2.25454545455	56.7207	3600.0	61.01	power	0.1	11	14
7	1	22.9539289474	14	2	4	2.25454545455	56.7207	3600.0	61.01	power	0.1	11	14
8	1	22.9813678265	14	2	4	2.25454545455	56.7207	3600.0	61.01	power	0.1	11	14
9	1	22.9791178703	14	2	4	2.25454545455	56.7207	3600.0	61.01	power	0.1	11	14
10	1	23.0010797977	14	2	4	2.25454545455	56.7207	3600.0	61.01	power	0.1	11	14
1	1	23.0678200722	15	2	4	2.36363636364	56.7207	3600.0	63.49	power	0.1	12	14
2	1	22.9918999672	15	2	4	2.36363636364	56.7207	3600.0	63.49	power	0.1	12	14
3	1	22.9970300198	15	2	4	2.36363636364	56.7207	3600.0	63.49	power	0.1	12	14
4	1	22.9177939892	15	2	4	2.36363636364	56.7207	3600.0	63.49	power	0.1	12	14
5	1	22.9684028625	15	2	4	2.36363636364	56.7207	3600.0	63.49	power	0.1	12	14
6	1	22.9817039967	15	2	4	2.36363636364	56.7207	3600.0	63.49	power	0.1	12	14
7	1	22.9623718262	15	2	4	2.36363636364	56.7207	3600.0	63.49	power	0.1	12	14
8	1	22.9468700886	15	2	4	2.36363636364	56.7207	3600.0	63.49	power	0.1	12	14
9	1	22.9520418644	15	2	4	2.36363636364	56.7207	3600.0	63.49	power	0.1	12	14
10	1	23.0635960102	15	2	4	2.36363636364	56.7207	3600.0	63.49	power	0.1	12	14
1	1	23.015650034	16	2	4	2.46153846154	56.7207	3600.0	64.83	power	0.1	13	14
2	1	22.8268969059	16	2	4	2.46153846154	56.7207	3600.0	64.83	power	0.1	13	14
3	1	23.0942668915	16	2	4	2.46153846154	56.7207	3600.0	64.83	power	0.1	13	14
4	1	23.0389750004	16	2	4	2.46153846154	56.7207	3600.0	64.83	power	0.1	13	14
5	1	22.7337679863	16	2	4	2.46153846154	56.7207	3600.0	64.83	power	0.1	13	14
6	1	22.9633820057	16	2	4	2.46153846154	56.7207	3600.0	64.83	power	0.1	13	14
