trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap	numchips	candidates
1	1	78.1596620083	3	3	3	1.66666666667	56.7207	3600.0	40.09	power	0.2	4	14
2	1	79.1672148705	3	2	3	1.66666666667	56.7207	3600.0	41.88	power	0.2	4	14
3	1	125.747163057	3	3	3	1.66666666667	56.7207	3600.0	40.69	power	0.2	4	14
4	1	104.503200054	3	2	2	1.5	56.7207	3600.0	43.13	power	0.2	4	14
5	1	103.55684495	3	2	2	1.5	56.7207	3600.0	44.22	power	0.2	4	14
6	1	74.4466719627	3	2	3	1.66666666667	56.7207	3600.0	41.57	power	0.2	4	14
7	1	126.780719995	3	2	3	1.66666666667	56.7207	3600.0	43.77	power	0.2	4	14
8	1	102.422783136	3	2	2	1.5	56.7207	3600.0	43.13	power	0.2	4	14
9	1	78.0167150497	3	3	3	1.66666666667	56.7207	3600.0	40.69	power	0.2	4	14
10	1	104.507409811	3	3	3	1.66666666667	56.7207	3600.0	40.67	power	0.2	4	14
1	1	223.412424088	4	3	3	1.8	56.7207	3600.0	44.08	power	0.2	5	14
2	1	253.490851879	4	3	3	1.8	56.7207	3600.0	42.67	power	0.2	5	14
3	1	202.604334116	4	3	3	1.8	56.7207	3600.0	42.9	power	0.2	5	14
4	1	198.316522121	4	2	3	1.8	56.7207	3600.0	44.96	power	0.2	5	14
5	1	208.654942989	4	3	4	2.0	56.7207	3600.0	41.62	power	0.2	5	14
6	1	262.735701084	4	3	4	2.0	56.7207	3600.0	42.19	power	0.2	5	14
7	1	207.036781073	4	2	3	1.8	56.7207	3600.0	44.96	power	0.2	5	14
8	1	205.135703087	4	3	3	1.8	56.7207	3600.0	42.88	power	0.2	5	14
9	1	179.637681961	4	2	3	1.8	56.7207	3600.0	47.96	power	0.2	5	14
10	1	201.117923021	4	2	3	1.8	56.7207	3600.0	46.21	power	0.2	5	14
1	1	276.816475868	5	2	4	2.06666666667	56.7207	3600.0	46.22	power	0.2	6	14
2	1	304.39575696	5	3	4	2.13333333333	56.7207	3600.0	46.9	power	0.2	6	14
3	1	425.487640858	7	3	3	1.66666666667	56.7207	3600.0	45.41	power	0.2	6	14
4	1	281.269096851	5	2	4	2.13333333333	56.7207	3600.0	49.02	power	0.2	6	14
5	1	421.964668989	5	3	4	2.13333333333	56.7207	3600.0	46.64	power	0.2	6	14
6	1	373.351739883	5	3	4	2.06666666667	56.7207	3600.0	46.05	power	0.2	6	14
7	1	330.40117979	5	4	4	2.06666666667	56.7207	3600.0	43.67	power	0.2	6	14
8	1	258.898998022	6	2	4	1.86666666667	56.7207	3600.0	46.98	power	0.2	6	14
9	1	276.645087957	5	2	5	2.33333333333	56.7207	3600.0	43.74	power	0.2	6	14
10	1	459.628269196	5	3	4	2.13333333333	56.7207	3600.0	44.69	power	0.2	6	14
1	1	439.389092922	7	4	5	2.19047619048	56.7207	3600.0	45.71	power	0.2	7	14
2	1	625.488965034	6	4	5	2.38095238095	56.7207	3600.0	47.34	power	0.2	7	14
3	1	561.648734808	7	3	4	2.09523809524	56.7207	3600.0	47.21	power	0.2	7	14
4	1	507.924648046	6	3	6	2.66666666667	56.7207	3600.0	46.05	power	0.2	7	14
5	1	906.585417032	6	4	5	2.38095238095	56.7207	3600.0	44.92	power	0.2	7	14
6	1	761.519373894	7	3	4	2.09523809524	56.7207	3600.0	49.65	power	0.2	7	14
7	1	497.767586946	6	3	5	2.38095238095	56.7207	3600.0	47.34	power	0.2	7	14
8	1	812.074203014	7	3	4	2.0	56.7207	3600.0	48.44	power	0.2	7	14
9	1	505.875123024	6	3	5	2.38095238095	56.7207	3600.0	49.46	power	0.2	7	14
10	1	555.199975014	6	3	5	2.38095238095	56.7207	3600.0	46.34	power	0.2	7	14
1	1	1580.9848032	7	3	5	2.5	56.7207	3600.0	49.96	power	0.2	8	14
2	1	1379.78980184	7	3	6	2.67857142857	56.7207	3600.0	48.16	power	0.2	8	14
3	1	1308.06890082	9	3	4	2.03571428571	56.7207	3600.0	48.96	power	0.2	8	14
4	1	948.346038818	7	3	7	3.0	56.7207	3600.0	49.85	power	0.2	8	14
5	1	708.719407082	8	3	5	2.42857142857	56.7207	3600.0	48.03	power	0.2	8	14
