trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap	numchips	candidates
1	1	76.7479932308	3	2	2	1.5	56.7207	3600.0	44.22	power	0.2	4	36
2	1	80.4470829964	3	2	2	1.5	56.7207	3600.0	44.22	power	0.2	4	36
3	1	83.10394907	3	2	2	1.5	56.7207	3600.0	44.22	power	0.2	4	36
4	1	76.7661569118	3	2	2	1.5	56.7207	3600.0	43.13	power	0.2	4	36
5	1	75.0044548512	3	2	2	1.5	56.7207	3600.0	44.22	power	0.2	4	36
6	1	75.7983500957	3	2	2	1.5	56.7207	3600.0	43.13	power	0.2	4	36
7	1	83.5769190788	3	2	2	1.5	56.7207	3600.0	44.22	power	0.2	4	36
8	1	78.7828400135	3	2	2	1.5	56.7207	3600.0	43.13	power	0.2	4	36
9	1	75.1379249096	3	2	2	1.5	56.7207	3600.0	44.22	power	0.2	4	36
10	1	79.6640491486	3	2	2	1.5	56.7207	3600.0	43.13	power	0.2	4	36
1	1	139.727024078	4	2	2	1.6	56.7207	3600.0	47.27	power	0.2	5	36
2	1	151.320198059	4	2	2	1.6	56.7207	3600.0	47.27	power	0.2	5	36
3	1	146.714474201	4	2	2	1.6	56.7207	3600.0	47.27	power	0.2	5	36
4	1	141.364470959	4	2	2	1.6	56.7207	3600.0	47.27	power	0.2	5	36
5	1	152.260517836	4	2	2	1.6	56.7207	3600.0	47.27	power	0.2	5	36
6	1	151.243421078	4	2	2	1.6	56.7207	3600.0	47.27	power	0.2	5	36
7	1	150.204005003	4	2	2	1.6	56.7207	3600.0	47.27	power	0.2	5	36
8	1	151.650299072	4	2	2	1.6	56.7207	3600.0	47.27	power	0.2	5	36
9	1	145.739979982	4	2	2	1.6	56.7207	3600.0	47.27	power	0.2	5	36
10	1	139.76312685	4	2	2	1.6	56.7207	3600.0	47.27	power	0.2	5	36
1	1	214.315099001	6	3	3	1.73333333333	56.7207	3600.0	47.61	power	0.2	6	36
2	1	215.994236946	6	2	3	1.73333333333	56.7207	3600.0	50.82	power	0.2	6	36
3	1	218.156414986	6	3	3	1.73333333333	56.7207	3600.0	45.97	power	0.2	6	36
4	1	222.264218092	6	3	3	1.73333333333	56.7207	3600.0	47.61	power	0.2	6	36
5	1	206.471585035	6	2	3	1.73333333333	56.7207	3600.0	48.0	power	0.2	6	36
6	1	218.985975027	6	2	3	1.73333333333	56.7207	3600.0	50.06	power	0.2	6	36
7	1	219.275053978	6	3	3	1.73333333333	56.7207	3600.0	47.88	power	0.2	6	36
8	1	230.945945978	6	3	3	1.73333333333	56.7207	3600.0	45.97	power	0.2	6	36
9	1	213.885373831	6	3	3	1.73333333333	56.7207	3600.0	48.5	power	0.2	6	36
10	1	229.639843941	6	2	3	1.73333333333	56.7207	3600.0	50.06	power	0.2	6	36
1	1	316.571932077	8	3	3	1.80952380952	56.7207	3600.0	48.65	power	0.2	7	36
2	1	290.880577087	8	3	3	1.80952380952	56.7207	3600.0	50.09	power	0.2	7	36
3	1	333.801316023	8	3	3	1.80952380952	56.7207	3600.0	48.65	power	0.2	7	36
4	1	273.449095011	8	2	3	1.80952380952	56.7207	3600.0	53.21	power	0.2	7	36
5	1	301.922007084	8	3	3	1.80952380952	56.7207	3600.0	48.5	power	0.2	7	36
6	1	295.145852089	8	3	3	1.80952380952	56.7207	3600.0	48.5	power	0.2	7	36
7	1	324.26267004	8	3	3	1.80952380952	56.7207	3600.0	48.5	power	0.2	7	36
8	1	280.163933992	8	3	3	1.80952380952	56.7207	3600.0	50.09	power	0.2	7	36
9	1	307.687264204	8	2	3	1.80952380952	56.7207	3600.0	50.85	power	0.2	7	36
10	1	293.546368837	8	3	3	1.80952380952	56.7207	3600.0	50.91	power	0.2	7	36
1	1	446.680657864	9	3	3	1.92857142857	56.7207	3600.0	53.77	power	0.2	8	36
2	1	346.941351891	9	3	3	1.92857142857	56.7207	3600.0	51.23	power	0.2	8	36
3	1	419.901367903	9	3	3	1.92857142857	56.7207	3600.0	51.4	power	0.2	8	36
4	1	436.108716011	9	3	3	1.92857142857	56.7207	3600.0	52.03	power	0.2	8	36
5	1	423.027353048	9	3	3	1.92857142857	56.7207	3600.0	51.23	power	0.2	8	36
6	1	428.060657024	9	3	3	1.92857142857	56.7207	3600.0	53.77	power	0.2	8	36
7	1	423.43601203	9	3	3	1.92857142857	56.7207	3600.0	51.23	power	0.2	8	36
8	1	395.876459837	9	3	3	1.92857142857	56.7207	3600.0	51.76	power	0.2	8	36
9	1	426.647368908	9	3	3	1.92857142857	56.7207	3600.0	51.4	power	0.2	8	36
10	1	425.014188051	9	3	3	1.92857142857	56.7207	3600.0	52.18	power	0.2	8	36
1	1	534.659832001	11	3	4	2.05555555556	56.7207	3600.0	56.02	power	0.2	9	36
2	1	416.082444906	11	2	4	2.05555555556	56.7207	3600.0	56.57	power	0.2	9	36
