trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap	numchips	candidates
1	1	73.2901699543	3	3	3	1.66666666667	56.7207	3600.0	41.16	power	0.2	4	36
2	1	81.0672490597	3	3	3	1.66666666667	56.7207	3600.0	42.35	power	0.2	4	36
3	1	82.3232700825	3	2	2	1.5	56.7207	3600.0	44.22	power	0.2	4	36
4	1	72.1790611744	3	3	3	1.66666666667	56.7207	3600.0	42.35	power	0.2	4	36
5	1	75.4149520397	3	2	3	1.66666666667	56.7207	3600.0	44.58	power	0.2	4	36
6	1	80.025056839	3	2	3	1.66666666667	56.7207	3600.0	41.13	power	0.2	4	36
7	1	77.9720511436	3	3	3	1.66666666667	56.7207	3600.0	40.67	power	0.2	4	36
8	1	80.9755599499	3	2	2	1.5	56.7207	3600.0	43.13	power	0.2	4	36
9	1	74.0333418846	3	2	2	1.5	56.7207	3600.0	44.22	power	0.2	4	36
10	1	80.1544718742	3	2	2	1.5	56.7207	3600.0	43.13	power	0.2	4	36
1	1	180.542213917	4	3	4	2.0	56.7207	3600.0	41.98	power	0.2	5	36
2	1	178.997480154	4	3	3	1.8	56.7207	3600.0	43.05	power	0.2	5	36
3	1	141.479537964	4	2	4	2.0	56.7207	3600.0	43.82	power	0.2	5	36
4	1	181.368726015	4	3	3	1.8	56.7207	3600.0	42.3	power	0.2	5	36
5	1	130.887003899	4	2	3	1.8	56.7207	3600.0	46.36	power	0.2	5	36
6	1	166.22249198	4	4	4	2.0	56.7207	3600.0	41.72	power	0.2	5	36
7	1	183.631808996	4	3	3	1.8	56.7207	3600.0	43.58	power	0.2	5	36
8	1	142.729452133	4	2	3	1.8	56.7207	3600.0	47.96	power	0.2	5	36
9	1	143.686664104	4	2	4	2.0	56.7207	3600.0	44.33	power	0.2	5	36
10	1	176.225654125	4	3	3	1.8	56.7207	3600.0	43.06	power	0.2	5	36
1	1	241.324485064	5	3	5	2.33333333333	56.7207	3600.0	43.19	power	0.2	6	36
2	1	202.0411551	5	3	4	2.13333333333	56.7207	3600.0	44.34	power	0.2	6	36
3	1	216.517436981	5	2	4	2.13333333333	56.7207	3600.0	49.02	power	0.2	6	36
4	1	265.817126989	5	4	4	2.13333333333	56.7207	3600.0	45.37	power	0.2	6	36
5	1	267.930809975	5	3	5	2.33333333333	56.7207	3600.0	44.59	power	0.2	6	36
6	1	230.496409893	5	3	4	2.13333333333	56.7207	3600.0	43.96	power	0.2	6	36
7	1	264.405699968	5	2	5	2.33333333333	56.7207	3600.0	49.62	power	0.2	6	36
8	1	290.328197956	5	3	3	1.86666666667	56.7207	3600.0	46.1	power	0.2	6	36
9	1	288.654481173	5	4	4	2.06666666667	56.7207	3600.0	41.3	power	0.2	6	36
10	1	233.252238035	5	3	4	2.06666666667	56.7207	3600.0	45.34	power	0.2	6	36
1	1	469.758790016	7	3	4	2.0	56.7207	3600.0	49.84	power	0.2	7	36
2	1	470.739207983	6	4	4	2.19047619048	56.7207	3600.0	46.52	power	0.2	7	36
3	1	684.070091009	7	4	5	2.28571428571	56.7207	3600.0	45.84	power	0.2	7	36
4	1	685.09586215	7	4	4	2.0	56.7207	3600.0	48.62	power	0.2	7	36
5	1	386.431490898	6	4	6	2.66666666667	56.7207	3600.0	47.34	power	0.2	7	36
6	1	338.66664505	7	2	4	2.09523809524	56.7207	3600.0	48.85	power	0.2	7	36
7	1	390.550480127	6	2	6	2.66666666667	56.7207	3600.0	43.23	power	0.2	7	36
8	1	519.116617918	6	4	5	2.38095238095	56.7207	3600.0	44.2	power	0.2	7	36
9	1	322.007393122	7	2	4	2.09523809524	56.7207	3600.0	48.92	power	0.2	7	36
10	1	515.674206972	7	3	3	1.90476190476	56.7207	3600.0	49.96	power	0.2	7	36
1	1	931.185775995	8	3	6	2.53571428571	56.7207	3600.0	48.76	power	0.2	8	36
2	1	1056.38493395	9	4	4	2.03571428571	56.7207	3600.0	46.57	power	0.2	8	36
3	1	681.757526875	8	3	5	2.42857142857	56.7207	3600.0	48.82	power	0.2	8	36
4	1	378.775204897	7	3	5	2.53571428571	56.7207	3600.0	47.83	power	0.2	8	36
5	1	624.966437101	9	3	4	2.07142857143	56.7207	3600.0	49.35	power	0.2	8	36
6	1	485.783054113	7	3	7	3.0	56.7207	3600.0	47.02	power	0.2	8	36
7	1	544.082911968	7	2	5	2.57142857143	56.7207	3600.0	47.87	power	0.2	8	36
8	1	805.149574995	7	3	5	2.42857142857	56.7207	3600.0	48.29	power	0.2	8	36
9	1	1079.85692906	8	4	4	2.17857142857	56.7207	3600.0	49.88	power	0.2	8	36
10	1	1016.08091903	8	4	4	2.17857142857	56.7207	3600.0	49.92	power	0.2	8	36
1	1	691.147480011	8	4	6	2.83333333333	56.7207	3600.0	46.27	power	0.2	9	36
2	1	1450.89938903	9	4	6	2.55555555556	56.7207	3600.0	49.29	power	0.2	9	36
3	1	1139.69054914	8	3	5	2.61111111111	56.7207	3600.0	48.65	power	0.2	9	36
4	1	656.894939184	9	3	5	2.38888888889	56.7207	3600.0	48.44	power	0.2	9	36
5	1	856.644577026	8	3	6	2.72222222222	56.7207	3600.0	49.79	power	0.2	9	36
6	1	1039.6023581	11	3	4	2.11111111111	56.7207	3600.0	49.5	power	0.2	9	36
7	1	957.933269024	8	4	6	2.83333333333	56.7207	3600.0	48.27	power	0.2	9	36
8	1	900.173137903	8	4	6	2.72222222222	56.7207	3600.0	46.87	power	0.2	9	36
9	1	680.801999807	9	3	5	2.44444444444	56.7207	3600.0	49.13	power	0.2	9	36
10	1	1108.65616798	9	3	6	2.77777777778	56.7207	3600.0	47.45	power	0.2	9	36
1	1	1746.85474396	10	3	6	2.73333333333	56.7207	3600.0	49.63	power	0.2	10	36
2	1	2189.53278494	9	5	6	2.86666666667	56.7207	3600.0	49.41	power	0.2	10	36
3	1	1628.37582612	10	4	6	2.62222222222	56.7207	3600.0	49.39	power	0.2	10	36
4	1	1253.89018798	11	4	5	2.42222222222	56.7207	3600.0	48.92	power	0.2	10	36
5	1	1943.83116579	12	4	6	2.44444444444	56.7207	3600.0	48.49	power	0.2	10	36
6	1	1300.39143205	9	3	6	3.06666666667	56.7207	3600.0	49.98	power	0.2	10	36
7	1	1598.15405202	10	3	7	2.86666666667	56.7207	3600.0	49.17	power	0.2	10	36
8	1	2590.8812449	9	4	6	2.82222222222	56.7207	3600.0	48.74	power	0.2	10	36
9	1	1829.87913609	10	4	5	2.53333333333	56.7207	3600.0	49.62	power	0.2	10	36
10	1	803.58061409	9	4	6	2.97777777778	56.7207	3600.0	47.64	power	0.2	10	36
1	1	2338.41908383	11	4	6	2.72727272727	41.9991	3200.0	45.26	power	0.2	11	36
2	1	2274.30398202	11	4	6	2.90909090909	56.7207	3600.0	49.89	power	0.2	11	36
3	1	1567.06997013	10	3	7	3.12727272727	56.7207	3600.0	49.86	power	0.2	11	36
4	1	2612.34977198	12	5	6	2.76363636364	56.7207	3600.0	49.68	power	0.2	11	36
5	1	2340.43884897	13	4	5	2.43636363636	41.9991	3200.0	44.36	power	0.2	11	36
6	1	2105.42775297	11	5	5	2.61818181818	56.7207	3600.0	49.61	power	0.2	11	36
7	1	2200.93879604	12	4	7	2.94545454545	56.7207	3600.0	48.96	power	0.2	11	36
8	1	2732.33624911	12	4	6	2.72727272727	41.9991	3200.0	44.91	power	0.2	11	36
9	1	2176.26346612	10	3	6	3.05454545455	41.9991	3200.0	44.24	power	0.2	11	36
10	1	1059.29921198	11	4	7	2.94545454545	56.7207	3600.0	49.76	power	0.2	11	36
