trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap	numchips	candidates	alpha
1	1	645.734011889	9	4	6	2.77777777778	56.7207	3600.0	45.39	temp	0.1	9	34	1
2	1	613.299521923	10	4	5	2.27777777778	56.7207	3600.0	46.86	temp	0.1	9	34	1
3	1	793.669442177	10	5	5	2.27777777778	56.7207	3600.0	42.81	temp	0.1	9	34	1
4	1	740.676158905	9	4	6	2.66666666667	56.7207	3600.0	44.96	temp	0.1	9	34	1
5	1	712.844197989	11	2	4	2.05555555556	41.9991	3200.0	43.9	temp	0.1	9	34	1
6	1	480.309418917	10	3	4	2.22222222222	56.7207	3600.0	49.37	temp	0.1	9	34	1
7	1	728.426492929	11	3	4	2.05555555556	41.9991	3200.0	43.99	temp	0.1	9	34	1
8	1	552.801380157	10	3	6	2.44444444444	56.7207	3600.0	45.23	temp	0.1	9	34	1
9	1	962.037759066	9	4	4	2.33333333333	56.7207	3600.0	48.9	temp	0.1	9	34	1
10	1	645.09872508	11	4	4	2.11111111111	56.7207	3600.0	45.01	temp	0.1	9	34	1
1	1	275.067754984	5	3	3	1.86666666667	56.7207	3600.0	42.85	temp	0.1	6	34	1
2	1	187.21114397	5	3	4	2.13333333333	56.7207	3600.0	43.24	temp	0.1	6	34	1
3	1	238.996148109	6	3	3	1.8	56.7207	3600.0	43.35	temp	0.1	6	34	1
4	1	274.457391024	5	3	5	2.33333333333	56.7207	3600.0	39.88	temp	0.1	6	34	1
5	1	218.155959129	5	3	3	1.86666666667	56.7207	3600.0	42.59	temp	0.1	6	34	1
6	1	243.190248966	6	3	3	1.8	56.7207	3600.0	43.9	temp	0.1	6	34	1
7	1	244.764023066	5	3	4	2.06666666667	56.7207	3600.0	41.84	temp	0.1	6	34	1
8	1	235.74702096	6	3	3	1.8	56.7207	3600.0	44.41	temp	0.1	6	34	1
9	1	234.42335701	6	3	3	1.8	56.7207	3600.0	43.54	temp	0.1	6	34	1
10	1	279.289204121	5	4	4	2.06666666667	56.7207	3600.0	42.31	temp	0.1	6	34	1
