	1 	2 	4 	8 	16 	32 	
bt 	40.980000	42.610000	49.070000	56.020000	78.160000	82.870000	
cg 	39.280000	41.270000	46.570000	73.890000	94.450000	97.940000	
dc 	41.130000	43.730000	47.450000	55.430000	73.790000	79.880000	
ep 	39.120000	41.000000	47.390000	53.480000	71.830000	79.040000	
ft 	40.860000	43.260000	52.070000	62.280000	96.070000	108.160000	
is 	39.310000	41.180000	46.530000	52.920000	61.750000	56.680000	
lu 	40.740000	42.440000	50.110000	60.290000	78.940000	87.810000	
mg 	42.390000	44.840000	56.980000	75.120000	87.480000	96.050000	
sp 	42.070000	45.000000	53.820000	67.140000	83.450000	98.320000	
ua 	40.890000	42.380000	49.270000	60.300000	78.020000	85.060000	
stress 	39.510000	41.120000	47.600000	57.200000	75.630000	84.560000	
