	1 	2 	4 	8 	16 	32 	
bt 	18.840000	21.880000	22.720000	24.760000	28.260000	29.620000	
cg 	19.250000	23.250000	27.150000	32.060000	39.430000	42.480000	
dc 	20.510000	22.550000	24.910000	29.180000	36.680000	41.530000	
ep 	15.710000	16.510000	16.780000	16.890000	17.310000	20.590000	
ft 	19.660000	22.830000	24.850000	28.150000	33.560000	36.620000	
is 	19.320000	22.480000	24.160000	23.410000	25.740000	23.370000	
lu 	18.850000	22.690000	24.820000	28.580000	32.930000	36.550000	
mg 	21.260000	26.640000	32.330000	39.870000	42.510000	47.360000	
sp 	20.430000	25.020000	28.670000	34.860000	42.260000	46.780000	
ua 	19.860000	22.380000	24.070000	26.720000	30.470000	33.300000	
stress 	15.860000	16.570000	16.810000	16.880000	16.790000	17.180000	
