	1 	2 	4 	8 	16 	32 	
bt 	39.470000	40.250000	43.320000	50.700000	62.270000	65.970000	
cg 	39.230000	40.480000	49.660000	62.790000	77.290000	82.280000	
dc 	39.170000	39.830000	43.940000	50.010000	62.440000	68.540000	
ep 	38.440000	38.880000	41.260000	48.100000	55.650000	62.940000	
ft 	39.820000	41.370000	45.300000	53.680000	70.580000	84.570000	
is 	38.020000	38.850000	42.070000	50.510000	56.200000	53.770000	
lu 	39.310000	40.690000	44.430000	52.770000	63.840000	69.180000	
mg 	39.400000	41.450000	49.100000	58.310000	78.210000	86.290000	
sp 	39.800000	41.540000	48.400000	57.640000	65.720000	86.200000	
ua 	39.900000	40.230000	44.550000	52.300000	66.120000	71.430000	
stress 	37.980000	39.230000	41.840000	49.300000	59.670000	64.850000	
