	1 	2 	4 	8 	16 	32 	
bt 	18.850000	22.110000	23.320000	25.340000	29.340000	31.160000	
cg 	19.600000	23.560000	27.360000	33.050000	40.560000	42.990000	
dc 	19.090000	22.830000	25.110000	29.540000	36.590000	42.180000	
ep 	15.640000	16.470000	16.720000	16.900000	17.160000	20.410000	
ft 	19.480000	23.530000	25.340000	29.240000	34.610000	38.830000	
is 	19.110000	22.650000	24.720000	24.180000	25.020000	23.000000	
lu 	19.110000	22.990000	25.480000	29.490000	30.680000	38.020000	
mg 	21.730000	27.240000	33.490000	41.050000	41.190000	46.910000	
sp 	20.860000	25.480000	29.410000	35.700000	43.700000	47.540000	
ua 	19.970000	22.610000	24.400000	27.710000	32.150000	34.990000	
stress 	15.630000	16.480000	16.640000	17.120000	16.740000	17.290000	
