	1 	2 	4 	8 	16 	32 	
bt 	40.030000	40.280000	43.030000	51.830000	64.720000	68.560000	
cg 	39.230000	41.000000	50.610000	66.510000	79.150000	85.600000	
dc 	39.400000	40.350000	44.150000	51.880000	64.470000	70.530000	
ep 	39.010000	39.420000	41.270000	48.370000	58.430000	59.480000	
ft 	40.080000	41.570000	46.280000	53.940000	72.200000	90.480000	
is 	38.230000	39.050000	42.630000	50.580000	57.290000	55.120000	
lu 	39.360000	40.990000	45.630000	53.830000	66.440000	72.080000	
mg 	39.520000	41.590000	49.860000	60.240000	80.500000	89.270000	
sp 	40.110000	41.820000	49.450000	59.750000	81.160000	87.990000	
ua 	39.650000	40.150000	45.070000	53.530000	66.560000	73.580000	
stress 	37.980000	39.550000	41.540000	50.530000	60.900000	66.120000	
