	1 	2 	4 	8 	16 	32 	
bt 	18.820000	22.210000	23.350000	25.710000	29.540000	30.960000	
cg 	19.540000	23.600000	27.420000	32.910000	40.200000	43.110000	
dc 	19.310000	22.790000	25.170000	30.070000	37.170000	42.610000	
ep 	15.640000	16.620000	16.700000	16.800000	17.270000	20.400000	
ft 	19.480000	23.320000	25.330000	29.210000	35.200000	38.360000	
is 	19.310000	22.680000	24.460000	24.400000	25.220000	22.950000	
lu 	19.240000	22.970000	25.460000	29.620000	34.450000	38.210000	
mg 	21.730000	27.340000	33.200000	42.530000	42.050000	46.740000	
sp 	20.980000	25.830000	30.170000	35.540000	43.850000	47.320000	
ua 	20.000000	22.640000	24.520000	27.710000	32.200000	34.920000	
stress 	15.670000	16.610000	16.770000	16.980000	17.360000	18.750000	
