num_workers	trial	runtime
1	1	34.9668262005
1	2	34.564797163
1	3	34.3811841011
1	4	34.6022408009
1	5	34.8559029102
1	6	35.0374829769
1	7	34.5903260708
1	8	34.8378520012
1	9	34.5062229633
1	10	35.0060150623
2	1	19.1597831249
2	2	19.2404441833
2	3	19.1818580627
2	4	18.9088981152
2	5	19.5899980068
2	6	19.3471109867
2	7	19.139362812
2	8	19.2716140747
2	9	19.3109059334
2	10	18.8766081333
3	1	15.7154369354
3	2	15.4309878349
3	3	15.3472619057
3	4	16.1117479801
3	5	17.0658740997
3	6	15.9295270443
3	7	15.3586790562
3	8	15.4059691429
3	9	16.2225291729
3	10	15.8617532253
4	1	13.0446069241
4	2	12.8014829159
4	3	13.1071469784
4	4	12.5418868065
4	5	13.0083830357
4	6	12.8001220226
4	7	12.6594290733
4	8	12.9662940502
4	9	12.8501770496
4	10	12.6931099892
5	1	10.2363510132
5	2	10.0615839958
5	3	10.5234410763
5	4	10.3648397923
5	5	10.0306198597
5	6	9.94551301003
5	7	10.1638600826
5	8	10.2326009274
5	9	10.2022960186
5	10	10.0377850533
6	1	10.6731698513
6	2	10.1917910576
6	3	10.505906105
6	4	9.89260101318
6	5	10.1100401878
6	6	10.1248710155
6	7	10.1438291073
6	8	10.1317150593
6	9	10.1994819641
6	10	9.9886200428
7	1	10.1979081631
7	2	10.2922508717
7	3	10.7797698975
7	4	10.3259160519
7	5	10.0388138294
7	6	10.2400100231
7	7	10.3706429005
7	8	10.2330110073
7	9	10.6031739712
7	10	10.1527199745
8	1	10.8396129608
8	2	10.3120810986
8	3	10.435669899
8	4	10.1821651459
8	5	10.3065471649
8	6	10.5990300179
8	7	10.5252189636
8	8	10.5418150425
8	9	10.3407950401
8	10	10.47179389
9	1	10.5031609535
9	2	10.452270031
9	3	10.3202040195
9	4	10.9792928696
9	5	10.526692152
9	6	10.7257189751
9	7	10.9130749702
9	8	10.4933688641
9	9	10.5093009472
9	10	10.369533062
10	1	8.46891498566
10	2	8.57403588295
10	3	8.04763698578
10	4	8.3924779892
10	5	8.33899188042
10	6	8.61495113373
10	7	8.20488405228
10	8	8.29551100731
10	9	8.56224298477
10	10	8.90111708641
11	1	8.67802381516
11	2	8.88226699829
11	3	8.79934191704
11	4	8.91000580788
11	5	8.31588888168
11	6	8.67718291283
11	7	8.48307085037
11	8	8.85057687759
11	9	8.71661496162
11	10	8.66108989716
12	1	8.85073900223
12	2	8.837870121
12	3	8.77694892883
12	4	8.88045907021
12	5	9.08773779869
12	6	8.8412270546
12	7	8.39180898666
12	8	8.74827003479
12	9	8.9304869175
12	10	8.67691493034
13	1	8.81280899048
13	2	8.6162879467
13	3	8.69138097763
13	4	8.77615189552
13	5	8.46168684959
13	6	8.63065314293
13	7	8.57648086548
13	8	8.54685592651
13	9	8.63947892189
13	10	8.67796587944
14	1	8.72439193726
14	2	8.68896794319
14	3	8.64058017731
14	4	8.82247900963
14	5	8.52671408653
14	6	8.99362707138
14	7	8.56071996689
14	8	8.90414500237
14	9	8.69173192978
14	10	8.57574796677
15	1	9.06981110573
15	2	8.88525891304
15	3	9.47366499901
15	4	9.85479998589
15	5	9.10854792595
15	6	8.85590100288
15	7	8.98596310616
15	8	9.45196795464
15	9	8.76750087738
15	10	8.91972494125
16	1	8.96003603935
16	2	9.60836195946
16	3	9.72256994247
16	4	9.73644900322
16	5	9.69750809669
16	6	9.7940120697
16	7	9.29899907112
16	8	9.85958719254
16	9	9.93290185928
16	10	9.69421100616
