trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap	numchips	candidates
1	1	154.941009998	16	2	4	2.46153846154	25.7721	2400.0	47.48	power	0.2	13	36
2	1	154.564986944	16	2	4	2.46153846154	25.7721	2400.0	47.48	power	0.2	13	36
3	1	154.954754829	16	2	4	2.46153846154	25.7721	2400.0	47.48	power	0.2	13	36
4	1	154.915627003	16	2	4	2.46153846154	25.7721	2400.0	47.48	power	0.2	13	36
5	1	154.542323112	16	2	4	2.46153846154	25.7721	2400.0	47.48	power	0.2	13	36
6	1	154.643157959	16	2	4	2.46153846154	25.7721	2400.0	47.48	power	0.2	13	36
7	1	154.445616007	16	2	4	2.46153846154	25.7721	2400.0	47.48	power	0.2	13	36
8	1	154.788654089	16	2	4	2.46153846154	25.7721	2400.0	47.48	power	0.2	13	36
9	1	154.646655083	16	2	4	2.46153846154	25.7721	2400.0	47.48	power	0.2	13	36
10	1	154.50793004	16	2	4	2.46153846154	25.7721	2400.0	47.48	power	0.2	13	36
1	1	132.344401121	12	2	4	2.0	41.9991	3200.0	48.4	power	0.2	9	36
2	1	132.602200031	12	2	4	2.0	41.9991	3200.0	48.4	power	0.2	9	36
3	1	132.058621168	12	2	4	2.0	41.9991	3200.0	48.4	power	0.2	9	36
4	1	132.936166763	12	2	4	2.0	41.9991	3200.0	48.4	power	0.2	9	36
5	1	133.308784962	12	2	4	2.0	41.9991	3200.0	48.4	power	0.2	9	36
6	1	132.750766993	12	2	4	2.0	41.9991	3200.0	48.4	power	0.2	9	36
7	1	132.929699183	12	2	4	2.0	41.9991	3200.0	48.4	power	0.2	9	36
8	1	132.821202993	12	2	4	2.0	41.9991	3200.0	48.4	power	0.2	9	36
9	1	133.036911011	12	2	4	2.0	41.9991	3200.0	48.4	power	0.2	9	36
10	1	133.379189968	12	2	4	2.0	41.9991	3200.0	48.4	power	0.2	9	36
1	1	22.79804492	6	2	3	1.73333333333	56.7207	3600.0	48.44	power	0.2	6	36
2	1	23.0011138916	6	2	3	1.73333333333	56.7207	3600.0	48.44	power	0.2	6	36
3	1	22.9727900028	6	2	3	1.73333333333	56.7207	3600.0	48.44	power	0.2	6	36
4	1	22.9305109978	6	2	3	1.73333333333	56.7207	3600.0	48.44	power	0.2	6	36
5	1	23.0387299061	6	2	3	1.73333333333	56.7207	3600.0	48.44	power	0.2	6	36
6	1	22.9688439369	6	2	3	1.73333333333	56.7207	3600.0	48.44	power	0.2	6	36
7	1	23.0282688141	6	2	3	1.73333333333	56.7207	3600.0	48.44	power	0.2	6	36
8	1	22.9946160316	6	2	3	1.73333333333	56.7207	3600.0	48.44	power	0.2	6	36
9	1	23.0125050545	6	2	3	1.73333333333	56.7207	3600.0	48.44	power	0.2	6	36
10	1	22.956911087	6	2	3	1.73333333333	56.7207	3600.0	48.44	power	0.2	6	36
1	1	132.918792009	16	2	4	2.46153846154	33.0215	2800.0	47.91	power	0.1	13	36
2	1	132.55300498	16	2	4	2.46153846154	33.0215	2800.0	47.91	power	0.1	13	36
3	1	132.944044113	16	2	4	2.46153846154	33.0215	2800.0	47.91	power	0.1	13	36
4	1	132.497577906	16	2	4	2.46153846154	33.0215	2800.0	47.91	power	0.1	13	36
5	1	132.619590044	16	2	4	2.46153846154	33.0215	2800.0	47.91	power	0.1	13	36
6	1	132.475594044	16	2	4	2.46153846154	33.0215	2800.0	47.91	power	0.1	13	36
7	1	132.876320839	16	2	4	2.46153846154	33.0215	2800.0	47.91	power	0.1	13	36
8	1	132.537968874	16	2	4	2.46153846154	33.0215	2800.0	47.91	power	0.1	13	36
9	1	132.572489023	16	2	4	2.46153846154	33.0215	2800.0	47.91	power	0.1	13	36
10	1	132.48990202	16	2	4	2.46153846154	33.0215	2800.0	47.91	power	0.1	13	36
1	1	132.973092079	12	2	4	2.0	41.9991	3200.0	44.52	power	0.1	9	36
2	1	132.381278038	12	2	4	2.0	41.9991	3200.0	44.52	power	0.1	9	36
3	1	132.58154583	12	2	4	2.0	41.9991	3200.0	44.52	power	0.1	9	36
4	1	132.902850151	12	2	4	2.0	41.9991	3200.0	44.52	power	0.1	9	36
5	1	132.524487972	12	2	4	2.0	41.9991	3200.0	44.52	power	0.1	9	36
6	1	133.144016027	12	2	4	2.0	41.9991	3200.0	44.52	power	0.1	9	36
7	1	132.526634932	12	2	4	2.0	41.9991	3200.0	44.52	power	0.1	9	36
8	1	132.915819883	12	2	4	2.0	41.9991	3200.0	44.52	power	0.1	9	36
9	1	132.975268126	12	2	4	2.0	41.9991	3200.0	44.52	power	0.1	9	36
10	1	132.892508984	12	2	4	2.0	41.9991	3200.0	44.52	power	0.1	9	36
1	1	22.9362421036	6	2	3	1.73333333333	56.7207	3600.0	45.02	power	0.1	6	36
2	1	23.0710799694	6	2	3	1.73333333333	56.7207	3600.0	45.02	power	0.1	6	36
3	1	22.9563829899	6	2	3	1.73333333333	56.7207	3600.0	45.02	power	0.1	6	36
4	1	23.0906460285	6	2	3	1.73333333333	56.7207	3600.0	45.02	power	0.1	6	36
5	1	22.951764822	6	2	3	1.73333333333	56.7207	3600.0	45.02	power	0.1	6	36
6	1	22.9941079617	6	2	3	1.73333333333	56.7207	3600.0	45.02	power	0.1	6	36
7	1	22.9931800365	6	2	3	1.73333333333	56.7207	3600.0	45.02	power	0.1	6	36
8	1	22.9862921238	6	2	3	1.73333333333	56.7207	3600.0	45.02	power	0.1	6	36
9	1	23.0413970947	6	2	3	1.73333333333	56.7207	3600.0	45.02	power	0.1	6	36
10	1	22.87312603	6	2	3	1.73333333333	56.7207	3600.0	45.02	power	0.1	6	36
