trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap	numchips	candidates
1	1	23.2098770142	16	2	4	2.46153846154	56.7207	3600.0	75.13	power	0.2	13	36
2	1	22.9181680679	16	2	4	2.46153846154	56.7207	3600.0	75.13	power	0.2	13	36
3	1	23.02698493	16	2	4	2.46153846154	56.7207	3600.0	75.13	power	0.2	13	36
4	1	22.9682049751	16	2	4	2.46153846154	56.7207	3600.0	75.13	power	0.2	13	36
5	1	23.0970430374	16	2	4	2.46153846154	56.7207	3600.0	75.13	power	0.2	13	36
6	1	23.0311441422	16	2	4	2.46153846154	56.7207	3600.0	75.13	power	0.2	13	36
7	1	22.9746570587	16	2	4	2.46153846154	56.7207	3600.0	75.13	power	0.2	13	36
8	1	22.9474861622	16	2	4	2.46153846154	56.7207	3600.0	75.13	power	0.2	13	36
9	1	22.9337329865	16	2	4	2.46153846154	56.7207	3600.0	75.13	power	0.2	13	36
10	1	23.0760259628	16	2	4	2.46153846154	56.7207	3600.0	75.13	power	0.2	13	36
1	1	22.9612751007	12	2	4	2.0	56.7207	3600.0	56.74	power	0.2	9	36
2	1	23.003152132	12	2	4	2.0	56.7207	3600.0	56.74	power	0.2	9	36
3	1	22.9643769264	12	2	4	2.0	56.7207	3600.0	56.74	power	0.2	9	36
4	1	23.044260025	12	2	4	2.0	56.7207	3600.0	56.74	power	0.2	9	36
5	1	23.0607831478	12	2	4	2.0	56.7207	3600.0	56.74	power	0.2	9	36
6	1	22.9027378559	12	2	4	2.0	56.7207	3600.0	56.74	power	0.2	9	36
7	1	22.9332270622	12	2	4	2.0	56.7207	3600.0	56.74	power	0.2	9	36
8	1	23.035556078	12	2	4	2.0	56.7207	3600.0	56.74	power	0.2	9	36
9	1	23.0611479282	12	2	4	2.0	56.7207	3600.0	56.74	power	0.2	9	36
10	1	23.0082919598	12	2	4	2.0	56.7207	3600.0	56.74	power	0.2	9	36
1	1	22.9592730999	6	2	3	1.73333333333	56.7207	3600.0	48.44	power	0.2	6	36
2	1	22.981317997	6	2	3	1.73333333333	56.7207	3600.0	48.44	power	0.2	6	36
3	1	23.0840508938	6	2	3	1.73333333333	56.7207	3600.0	48.44	power	0.2	6	36
4	1	22.9487879276	6	2	3	1.73333333333	56.7207	3600.0	48.44	power	0.2	6	36
5	1	23.0593979359	6	2	3	1.73333333333	56.7207	3600.0	48.44	power	0.2	6	36
6	1	22.9050488472	6	2	3	1.73333333333	56.7207	3600.0	48.44	power	0.2	6	36
7	1	22.9360599518	6	2	3	1.73333333333	56.7207	3600.0	48.44	power	0.2	6	36
8	1	23.0146119595	6	2	3	1.73333333333	56.7207	3600.0	48.44	power	0.2	6	36
9	1	22.8967599869	6	2	3	1.73333333333	56.7207	3600.0	48.44	power	0.2	6	36
10	1	22.7641119957	6	2	3	1.73333333333	56.7207	3600.0	48.44	power	0.2	6	36
1	1	23.0175120831	16	2	4	2.46153846154	56.7207	3600.0	64.83	power	0.1	13	36
2	1	22.9182059765	16	2	4	2.46153846154	56.7207	3600.0	64.83	power	0.1	13	36
3	1	22.9919140339	16	2	4	2.46153846154	56.7207	3600.0	64.83	power	0.1	13	36
4	1	23.0479490757	16	2	4	2.46153846154	56.7207	3600.0	64.83	power	0.1	13	36
5	1	23.0644991398	16	2	4	2.46153846154	56.7207	3600.0	64.83	power	0.1	13	36
6	1	22.9853079319	16	2	4	2.46153846154	56.7207	3600.0	64.83	power	0.1	13	36
7	1	22.8566219807	16	2	4	2.46153846154	56.7207	3600.0	64.83	power	0.1	13	36
8	1	22.9941270351	16	2	4	2.46153846154	56.7207	3600.0	64.83	power	0.1	13	36
9	1	22.9201319218	16	2	4	2.46153846154	56.7207	3600.0	64.83	power	0.1	13	36
10	1	22.9739341736	16	2	4	2.46153846154	56.7207	3600.0	64.83	power	0.1	13	36
1	1	22.9791939259	12	2	4	2.0	56.7207	3600.0	51.24	power	0.1	9	36
2	1	22.963176012	12	2	4	2.0	56.7207	3600.0	51.24	power	0.1	9	36
3	1	22.9687950611	12	2	4	2.0	56.7207	3600.0	51.24	power	0.1	9	36
4	1	23.0663850307	12	2	4	2.0	56.7207	3600.0	51.24	power	0.1	9	36
5	1	23.0202538967	12	2	4	2.0	56.7207	3600.0	51.24	power	0.1	9	36
6	1	23.04748106	12	2	4	2.0	56.7207	3600.0	51.24	power	0.1	9	36
7	1	23.0815439224	12	2	4	2.0	56.7207	3600.0	51.24	power	0.1	9	36
8	1	23.0332989693	12	2	4	2.0	56.7207	3600.0	51.24	power	0.1	9	36
9	1	22.9212729931	12	2	4	2.0	56.7207	3600.0	51.24	power	0.1	9	36
10	1	23.1053740978	12	2	4	2.0	56.7207	3600.0	51.24	power	0.1	9	36
1	1	22.9480700493	6	2	3	1.73333333333	56.7207	3600.0	45.02	power	0.1	6	36
2	1	22.747576952	6	2	3	1.73333333333	56.7207	3600.0	45.02	power	0.1	6	36
3	1	22.8432049751	6	2	3	1.73333333333	56.7207	3600.0	45.02	power	0.1	6	36
4	1	22.8677859306	6	2	3	1.73333333333	56.7207	3600.0	45.02	power	0.1	6	36
5	1	22.9405670166	6	2	3	1.73333333333	56.7207	3600.0	45.02	power	0.1	6	36
6	1	22.9593970776	6	2	3	1.73333333333	56.7207	3600.0	45.02	power	0.1	6	36
7	1	22.907460928	6	2	3	1.73333333333	56.7207	3600.0	45.02	power	0.1	6	36
8	1	22.7778301239	6	2	3	1.73333333333	56.7207	3600.0	45.02	power	0.1	6	36
9	1	22.9858951569	6	2	3	1.73333333333	56.7207	3600.0	45.02	power	0.1	6	36
10	1	22.9063360691	6	2	3	1.73333333333	56.7207	3600.0	45.02	power	0.1	6	36
