num_workers	trial	runtime
31	1	1692.4650228
31	2	2191.0185709
31	3	2127.82618999
31	4	2434.1487658
31	5	2132.48415589
31	6	1130.35553718
31	7	795.333653927
31	8	1849.87055898
31	9	1598.64110994
31	10	1901.9394362
30	1	1734.39293194
30	2	1959.962322
30	3	1845.78331995
30	4	1566.75172591
30	5	986.323398113
30	6	2398.74037313
30	7	1553.68134308
30	8	1678.56338191
30	9	1567.94554114
30	10	999.628700972
29	1	1980.48576093
29	2	1608.76675105
29	3	2040.99382091
29	4	2059.35356116
29	5	1877.18286395
29	6	1860.36333299
29	7	913.745388985
29	8	1896.45750594
29	9	1169.09590697
29	10	2019.95475197
28	1	1881.52161098
28	2	1755.18242002
28	3	1534.31806517
28	4	1969.11546397
28	5	2414.57882714
28	6	2182.1678071
28	7	952.539203882
28	8	1685.05450296
28	9	1908.12095308
28	10	1699.65385389
27	1	2049.71865916
27	2	1924.61965203
27	3	1213.44902802
27	4	1462.14742494
27	5	1847.42237902
27	6	1373.80555391
27	7	1722.51021791
27	8	2043.747473
27	9	1919.74278307
27	10	1888.85069919
26	1	1532.00492096
26	2	2272.6218822
26	3	1827.74209094
26	4	1266.76587009
26	5	1881.51423812
26	6	2035.48464203
26	7	1541.2928679
26	8	1685.049757
26	9	3596.60814404
26	10	1191.53407598
25	1	2134.35177588
25	2	2289.45250702
25	3	569.373481989
25	4	2153.45857692
25	5	2143.622998
25	6	1330.66903496
25	7	1680.2783792
25	8	1358.8066659
25	9	1722.71354198
25	10	1762.48104405
24	1	1933.89895082
24	2	1741.77222395
24	3	1281.16140509
24	4	2109.113832
24	5	1870.74555898
24	6	1737.97009706
24	7	1768.73515701
24	8	2261.19298506
24	9	1698.55997801
24	10	1539.35701609
23	1	1403.8377471
23	2	1988.792418
23	3	2024.62142992
23	4	1637.4772799
23	5	2047.36983705
23	6	1619.75774312
23	7	1951.75147414
23	8	884.514672041
23	9	2366.81762981
23	10	1394.53250694
22	1	1541.6531179
22	2	2660.78995681
22	3	1737.23303199
22	4	2233.75896907
22	5	1966.41142297
22	6	2785.47445798
22	7	2567.72330904
22	8	1843.87848496
22	9	2762.68187594
22	10	1903.30734205
21	1	1455.00590515
21	2	1891.54779506
21	3	1585.67443013
21	4	1991.13143301
21	5	1881.82740712
21	6	1906.07604504
21	7	1836.30026484
21	8	1788.05061483
21	9	2004.37277317
21	10	2310.7257359
20	1	997.749481916
20	2	2576.39913988
20	3	1615.97763395
20	4	836.590856075
20	5	1345.7228508
20	6	2034.85182595
20	7	1996.23162913
20	8	1390.49931312
20	9	1765.71591997
20	10	1937.22747302
19	1	2056.13948798
19	2	3060.5253489
19	3	2503.94783807
19	4	2873.75952506
19	5	1714.47270894
19	6	1621.24704909
19	7	2430.03001499
19	8	2169.00320792
19	9	1942.25625396
19	10	1719.11410999
18	1	1434.81694794
18	2	1436.36730599
18	3	1061.21758509
18	4	1861.70384598
18	5	3120.73467493
18	6	1295.5613451
18	7	2475.85036302
18	8	1936.77734303
18	9	1471.99783492
18	10	1904.47736382
17	1	1948.24323297
17	2	1716.17566991
17	3	1512.93969417
17	4	1966.10377383
17	5	1534.87303996
17	6	1680.28562403
17	7	1969.55602288
17	8	1427.26268411
17	9	1588.71205115
17	10	1614.85425019
16	1	1840.28623104
16	2	2292.01923013
16	3	1905.26626301
16	4	2093.83449006
16	5	1712.39555287
16	6	1285.48425984
16	7	1250.89797616
16	8	1641.78648996
16	9	2205.04719806
16	10	904.538148165
15	1	1505.42666984
15	2	1402.29252696
15	3	2161.46177316
15	4	1710.75587511
15	5	1327.60522199
15	6	1296.00619197
15	7	1692.78144908
15	8	1226.7766881
15	9	1664.48034501
15	10	1705.10181594
14	1	1285.72587705
14	2	1297.46441507
14	3	3145.70490599
14	4	2929.15707397
14	5	1701.54751301
14	6	2151.65524292
14	7	1544.92820883
14	8	2056.66662407
14	9	1957.20916796
14	10	1344.082479
13	1	1739.66487908
13	2	1562.46379805
13	3	1830.25068903
13	4	1645.99808812
13	5	2267.93265414
13	6	2050.83810997
13	7	2544.84718108
13	8	2097.12719488
13	9	1248.27612615
13	10	1320.09289098
12	1	2224.01436806
12	2	2445.79076791
12	3	1758.1719079
12	4	1968.27508616
12	5	2382.91684484
12	6	3122.51956606
12	7	1898.24994993
12	8	2323.8080008
12	9	1825.57986403
12	10	3608.51350307
11	1	2576.95940304
11	2	1564.29589987
11	3	1679.16341782
11	4	1677.50544286
11	5	1813.52814603
11	6	1598.87394786
11	7	1706.79372787
11	8	1604.31258893
11	9	1734.511415
11	10	1663.74403501
10	1	2879.69058681
10	2	1083.04557896
10	3	2406.17779398
10	4	2560.54351902
10	5	2093.29418802
10	6	3076.77344084
10	7	2617.64024019
10	8	2463.22953105
10	9	1889.65049505
10	10	2320.73023486
9	1	2050.93542004
9	2	1006.89004803
9	3	3049.25205207
9	4	2029.78642511
9	5	2314.053195
9	6	2401.89929509
9	7	2990.65630198
9	8	2602.9008739
9	9	2494.57503796
9	10	2801.16790795
8	1	2144.50566196
8	2	3303.14572716
8	3	2104.58982587
8	4	1524.36943197
8	5	1351.26089406
8	6	3988.80401993
8	7	1957.98600507
8	8	1448.49528408
8	9	2854.9859271
8	10	3189.50503302
7	1	2435.7411952
7	2	2686.56300497
7	3	2193.59349418
7	4	2509.200176
7	5	2678.05885506
7	6	1854.95398593
7	7	2508.41740012
7	8	3272.08804202
7	9	2666.80716395
7	10	2874.72654295
6	1	3539.44028306
6	2	3775.49809909
6	3	1998.50180697
6	4	1710.32389498
6	5	3697.96661305
6	6	3997.65117097
6	7	3785.70465517
6	8	2308.80109
6	9	2889.54877806
6	10	3180.86972189
5	1	3736.42365408
5	2	3822.45462298
5	3	3463.80715013
5	4	3750.01119781
5	5	3878.40387702
5	6	3266.6410532
5	7	7685.03349996
5	8	1735.94191504
5	9	3214.82428098
5	10	4966.38976097
4	1	3158.15183496
4	2	4798.71845698
4	3	3868.95439696
4	4	4154.02171898
4	5	8920.2896719
4	6	4496.49242401
4	7	4549.7178719
4	8	5697.96644211
4	9	3307.635988
4	10	3208.45907688
3	1	8319.51673508
3	2	4432.04688287
3	3	4185.65781593
3	4	5262.40807819
3	5	7045.56334186
3	6	6072.55662799
3	7	3910.75935102
3	8	4867.25130916
3	9	7454.45447707
3	10	5510.47145605
2	1	8523.3276391
2	2	8560.39480686
2	3	7736.18730211
2	4	3519.44049406
2	5	8093.77221179
2	6	8213.84095097
