num_workers	trial	runtime
16	1	332.500478983
16	2	339.215989113
16	3	342.6827631
16	4	334.857819796
16	5	278.961937904
16	6	321.557003021
16	7	331.744936943
16	8	337.362797976
16	9	335.62302494
16	10	338.858637094
15	1	317.996041059
15	2	304.190696001
15	3	318.961772919
15	4	321.824010134
15	5	319.268779993
15	6	318.586133003
15	7	320.369240046
15	8	319.747750998
15	9	320.355954885
15	10	320.077399015
14	1	383.86567688
14	2	421.202865839
14	3	306.459871054
14	4	421.733156919
14	5	418.66733408
14	6	300.847059011
14	7	348.608319998
14	8	393.254720926
14	9	426.869739056
14	10	371.329598904
13	1	443.277697086
13	2	531.313261986
13	3	415.139296055
13	4	425.113292933
13	5	519.325386047
13	6	470.349182129
13	7	475.632534027
13	8	453.910487175
13	9	437.934065104
13	10	439.821877956
12	1	512.361009121
12	2	520.50447607
12	3	561.321259022
12	4	518.298333883
12	5	553.125477791
12	6	492.822180033
12	7	576.139741182
12	8	520.270685911
12	9	577.415021896
12	10	559.944540024
11	1	457.040392876
11	2	547.822067022
11	3	547.482386827
11	4	403.485145092
11	5	562.106075048
11	6	558.286141157
11	7	560.197551966
11	8	563.412153959
11	9	560.452929974
11	10	496.532294989
10	1	409.256878853
10	2	439.531801939
10	3	435.481276989
10	4	331.229168892
10	5	483.56395793
10	6	431.153177977
10	7	446.080624104
10	8	402.04925704
10	9	398.333701849
10	10	400.575708151
9	1	367.609277964
9	2	343.110074997
9	3	352.565533876
9	4	352.611363888
9	5	334.376441956
9	6	350.977860928
9	7	347.290930033
9	8	315.021503925
9	9	318.682379007
9	10	335.88567996
8	1	349.507422924
8	2	353.885809898
8	3	342.497610092
8	4	273.436537027
8	5	322.805539131
8	6	359.637014866
8	7	354.206305027
8	8	336.58415103
8	9	331.638386011
8	10	315.358103037
7	1	258.979137897
7	2	363.830441952
7	3	353.069609165
7	4	310.705833912
7	5	360.324953794
7	6	337.972178936
7	7	332.780021906
7	8	357.902190924
7	9	359.255072117
7	10	288.511737108
6	1	361.882021904
6	2	361.92988801
6	3	336.622204065
6	4	385.041578054
6	5	363.883112907
6	6	398.384951115
6	7	359.816092968
6	8	331.644610882
6	9	323.008150101
6	10	383.54467082
5	1	394.279284954
5	2	403.180583
5	3	395.952912807
5	4	375.212081909
5	5	398.590930939
5	6	402.07607913
5	7	394.545627117
5	8	393.776466131
5	9	397.467185974
5	10	427.47052598
4	1	490.721004009
4	2	452.690243959
4	3	480.923824072
4	4	391.150048018
4	5	503.428072929
4	6	447.77350688
4	7	508.134835958
4	8	439.611692905
4	9	482.667614937
4	10	479.10976696
3	1	543.762829781
3	2	596.847352028
3	3	555.833533049
3	4	572.113128901
3	5	676.472226858
3	6	569.357949018
3	7	531.722500086
3	8	551.91376996
3	9	595.05301404
3	10	554.928617954
2	1	899.276654959
2	2	747.15180397
2	3	786.23742485
2	4	909.009963989
2	5	848.430411816
2	6	672.224960089
2	7	689.723686934
2	8	878.911162138
2	9	881.417941093
2	10	868.121431112
