num_workers	avg_runtime
1	5045.98911111
2	3.7639529705
3	4.19698278904
4	4.56927134991
5	4.99814124107
6	5.36397967339
7	5.71558375359
8	6.12875487804
9	6.43995885849
10	6.8246584177
11	7.24111599922
12	7.68240880966
13	8.04045920372
14	8.46201775074
15	8.84129691124
16	9.28491420746
17	9.75904827118
18	10.1237282753
19	10.648804903
20	11.0225590229
21	11.3129514217
22	11.8502453804
23	12.370177269
24	12.8598370314
25	13.2861304522
26	13.7157882929
27	14.1503162622
28	14.4966973543
29	15.2334782362
30	15.6753767014
