num_workers	avg_runtime
32	161.422387004
31	154.998920202
30	153.587008119
29	149.869057488
28	147.533073878
27	147.012454438
26	144.248680282
25	140.442113113
24	136.619121003
23	133.461690784
22	130.854901695
21	128.321561098
20	125.962810111
19	119.979299498
18	122.45729146
17	130.867757297
16	127.799300718
15	127.269754004
14	140.55132618
13	142.972343779
12	143.655350566
11	153.223091245
10	150.513769698
9	153.41930058
8	169.703846312
7	182.063683891
6	201.577563477
5	210.666280103
4	263.36437242
3	326.078520203
2	477.299078298
