num_workers	avg_runtime
32	163.210382152
31	155.63862431
30	156.379502177
29	151.465087748
28	151.331124187
27	146.485804677
26	145.874851966
25	140.596092296
24	141.02083137
23	133.409452677
22	132.561343646
21	128.361808181
20	126.976384187
19	121.5995718
18	124.540643263
17	126.860885358
16	131.660737967
15	122.665055132
14	141.198023033
13	143.285561395
12	142.85630312
11	143.717804122
10	151.18527267
9	157.275423932
8	155.623751354
7	196.076704383
6	199.627759886
5	222.147116899
4	266.474704766
3	336.231364822
2	491.034689212
