num_workers	trial	runtime
32	1	167.816188097
32	2	163.680495024
32	3	163.41951704
32	4	151.682437897
32	5	161.700094938
32	6	160.767173052
32	7	158.833227158
32	8	167.527789831
32	9	164.767307997
32	10	154.029639006
31	1	154.367872953
31	2	157.192154169
31	3	156.798677921
31	4	152.811576128
31	5	156.338248014
31	6	148.301672935
31	7	156.928709984
31	8	146.456315041
31	9	160.690778017
31	10	160.103196859
30	1	155.138377905
30	2	152.666367054
30	3	149.397098064
30	4	147.788609028
30	5	157.753685951
30	6	151.965339899
30	7	151.171324015
30	8	159.748772144
30	9	156.962640047
30	10	153.277867079
29	1	152.582431078
29	2	152.602313042
29	3	147.198472977
29	4	154.611131907
29	5	141.329775095
29	6	151.987366915
29	7	151.954118967
29	8	150.611352921
29	9	144.406622887
29	10	151.406989098
28	1	147.516649008
28	2	151.316691875
28	3	145.734414101
28	4	148.301192045
28	5	143.74415803
28	6	147.441854954
28	7	148.618843794
28	8	147.367012024
28	9	148.218178988
28	10	147.071743965
27	1	148.78503108
27	2	147.218455076
27	3	144.779438019
27	4	149.171731949
27	5	144.082286119
27	6	153.065273046
27	7	145.767702103
27	8	145.689558983
27	9	147.100140095
27	10	144.464927912
26	1	144.482686996
26	2	137.06319499
26	3	144.864753962
26	4	141.469987869
26	5	145.25769496
26	6	147.264762878
26	7	146.289534092
26	8	144.973316908
26	9	147.028273106
26	10	143.792597055
25	1	141.682268143
25	2	140.806922913
25	3	137.409805059
25	4	139.919574022
25	5	141.736701012
25	6	137.992567062
25	7	142.608596087
25	8	136.725775003
25	9	145.514219046
25	10	140.024702787
24	1	137.154911041
24	2	136.652303934
24	3	133.715533018
24	4	135.672374964
24	5	135.807657957
24	6	137.745760202
24	7	137.815937996
24	8	137.08675909
24	9	139.455885887
24	10	135.084085941
23	1	129.221496105
23	2	130.704694986
23	3	133.059611082
23	4	134.300924778
23	5	130.945492983
23	6	136.174562931
23	7	137.694154978
23	8	134.036995888
23	9	134.538658142
23	10	133.940315962
22	1	132.102603912
22	2	129.215355873
22	3	134.207170963
22	4	132.953947067
22	5	134.513878107
22	6	130.812397957
22	7	130.870326996
22	8	128.966477156
22	9	125.080665827
22	10	129.826193094
21	1	131.853494883
21	2	127.438416004
21	3	128.562382936
21	4	130.938467979
21	5	126.54027009
21	6	129.339776993
21	7	124.501224041
21	8	128.718191147
21	9	130.620701075
21	10	124.702685833
20	1	122.399726868
20	2	127.111163855
20	3	126.926240921
20	4	125.323327065
20	5	125.764022112
20	6	126.069755077
20	7	127.423137188
20	8	125.953704834
20	9	126.451157093
20	10	126.205866098
19	1	118.223207951
19	2	119.537051916
19	3	123.154172897
19	4	118.600141048
19	5	118.613926888
19	6	121.821614027
19	7	120.029520988
19	8	119.92754817
19	9	122.276247025
19	10	117.609564066
18	1	124.470981836
18	2	125.247395039
18	3	123.445370913
18	4	119.331683874
18	5	127.177192211
18	6	118.452235937
18	7	122.459681988
18	8	121.032192945
18	9	121.581873894
18	10	121.374305964
17	1	133.451992989
17	2	126.008893967
17	3	127.057276011
17	4	134.694741011
17	5	128.257473946
17	6	131.836942911
17	7	142.126106977
17	8	124.787363052
17	9	132.48052001
17	10	127.976262093
16	1	138.360240936
16	2	133.88601613
16	3	133.831990957
16	4	126.130367994
16	5	116.00487709
16	6	129.553623915
16	7	136.108011007
16	8	127.769427061
16	9	106.963878155
16	10	129.384573936
15	1	108.028223991
15	2	131.693243027
15	3	124.862947941
15	4	125.955747843
15	5	113.776977062
15	6	137.402765036
15	7	123.53467989
15	8	134.197462082
15	9	131.78603816
15	10	141.459455013
14	1	140.497987986
14	2	153.734118938
14	3	138.149447918
14	4	150.583430052
14	5	130.231351852
14	6	147.911550999
14	7	139.115955114
14	8	140.985999107
14	9	130.080751896
14	10	134.222667933
13	1	149.075131893
13	2	148.181956053
13	3	148.564851999
13	4	128.41130805
13	5	138.589712858
13	6	148.718698025
13	7	148.765852928
13	8	160.396744967
13	9	135.893108845
13	10	123.126072168
12	1	144.649222136
12	2	130.11135602
12	3	137.880310059
12	4	140.435107231
12	5	143.60059309
12	6	136.36799407
12	7	150.044774055
12	8	154.555678844
12	9	150.576271057
12	10	148.332199097
11	1	150.06704402
11	2	159.760226011
11	3	149.28106308
11	4	150.019253969
11	5	153.655632973
11	6	158.382976055
11	7	160.265221834
11	8	150.746179819
11	9	148.501592875
11	10	151.551721811
10	1	148.476127148
10	2	162.152960062
10	3	152.409815073
10	4	139.845101833
10	5	148.630575895
10	6	149.259340048
10	7	149.639105797
10	8	147.423747063
10	9	160.513400078
10	10	146.787523985
9	1	148.333898783
9	2	148.334331989
9	3	148.004464149
9	4	161.867675066
9	5	161.306614876
9	6	149.156420946
9	7	148.267722845
9	8	159.851979017
9	9	160.661633015
9	10	148.408265114
8	1	170.966027021
8	2	160.899399996
8	3	167.233150959
8	4	162.510542154
8	5	176.184080839
8	6	175.409297943
8	7	175.958304167
8	8	163.383075953
8	9	170.706046104
8	10	173.788537979
7	1	145.575408936
7	2	180.243901968
7	3	198.017233849
7	4	186.820596933
7	5	198.780846119
7	6	195.875607014
7	7	144.128736973
7	8	196.086606026
7	9	170.910320997
7	10	204.197580099
6	1	214.6291821
6	2	185.281390905
6	3	198.474838972
6	4	215.246749878
6	5	210.098458052
6	6	198.20221591
6	7	200.029123783
6	8	209.570275068
6	9	198.318804026
6	10	185.924596071
5	1	209.824100018
5	2	238.532013893
5	3	180.531070232
5	4	211.366749048
5	5	210.742962837
5	6	212.333062172
5	7	197.143393993
5	8	200.229275942
5	9	222.706789017
5	10	223.253383875
4	1	288.328499794
4	2	263.804463863
4	3	264.122685909
4	4	275.998203993
4	5	273.578715086
4	6	263.689980984
4	7	286.250349045
4	8	221.088553905
4	9	205.65461278
4	10	291.127658844
3	1	281.091075897
3	2	373.045094013
3	3	347.285103083
3	4	334.609952927
3	5	347.464431047
3	6	347.329936981
3	7	290.133148909
3	8	337.458049059
3	9	334.714545965
3	10	267.653864145
2	1	467.184550047
2	2	493.100986004
2	3	480.956547022
2	4	481.976283073
2	5	478.161297083
2	6	506.846204042
2	7	405.513072968
2	8	534.351661921
2	9	443.677322865
2	10	481.222857952
