num_workers	trial	runtime
1	1	9003.93254995
1	2	3648.04136896
1	3	7851.88885498
1	4	5185.37224102
1	5	7665.18498898
1	6	5110.46966219
1	7	8555.48553896
1	8	9283.71576905
1	9	6246.3720901
1	10	6737.88885403
2	1	4560.85602999
2	2	3938.16937399
2	3	5862.452034
2	4	2348.46415901
2	5	4310.572083
2	6	4882.21959996
2	7	4004.41767693
2	8	4817.89678407
2	9	5062.20959496
2	10	3349.43966603
3	1	1846.25670981
3	2	2977.12395811
3	3	2089.05578899
3	4	2403.9815011
3	5	2686.51530313
3	6	3527.57414699
3	7	2608.72035408
3	8	2303.85309005
3	9	2348.82662511
3	10	2515.33116412
4	1	1001.73699403
4	2	1699.17596102
4	3	1824.54647088
4	4	2248.5546689
4	5	2825.05590391
4	6	2145.87986898
4	7	2476.81811619
4	8	1588.47360396
4	9	1909.87681699
4	10	2038.23395491
5	1	1781.29813004
5	2	3609.91971898
5	3	1966.47279
5	4	1754.04728508
5	5	2146.34871101
5	6	1522.99743485
5	7	1490.52010202
5	8	2693.065552
5	9	1320.15461612
5	10	2124.04692817
6	1	1686.57273316
6	2	1717.95122004
6	3	1862.07734895
6	4	1543.43494391
6	5	1752.10848713
6	6	3484.79110503
6	7	1471.00530982
6	8	1172.92647886
6	9	1463.74016595
6	10	1851.75695801
7	1	826.953022957
7	2	2056.29556918
7	3	1309.623456
7	4	2051.81707501
7	5	1561.82432914
7	6	929.448318958
7	7	1849.01951718
7	8	1029.3636632
7	9	1489.83774686
7	10	1674.62461495
