trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature
1	cradle	530.520005941	17	5	5	2.33333333333	56.7207	3600.0	54.54
2	cradle	434.151384115	17	3	5	2.33333333333	56.7207	3600.0	56.66
3	cradle	284.043931007	15	3	5	2.51515151515	56.7207	3600.0	55.32
4	cradle	505.939213991	16	3	6	2.4696969697	56.7207	3600.0	58.71
5	cradle	515.962867975	16	3	5	2.42424242424	56.7207	3600.0	57.91
6	cradle	580.388927937	17	4	5	2.33333333333	56.7207	3600.0	56.91
7	cradle	583.82069397	16	4	6	2.4696969697	56.7207	3600.0	53.55
8	cradle	583.48590517	17	3	5	2.33333333333	56.7207	3600.0	59.9
9	cradle	431.497075081	15	3	5	2.51515151515	56.7207	3600.0	57.87
10	cradle	373.36897397	16	4	6	2.4696969697	56.7207	3600.0	57.88
1	cradle	140.682768822	11	2	4	2.11111111111	56.7207	3600.0	51.48
2	cradle	227.371304035	12	3	4	2.0	56.7207	3600.0	54.32
3	cradle	290.25198102	11	3	5	2.16666666667	56.7207	3600.0	53.34
4	cradle	296.789232016	12	3	4	2.0	56.7207	3600.0	52.79
5	cradle	364.542659998	11	3	4	2.11111111111	56.7207	3600.0	54.0
6	cradle	291.021359921	11	3	5	2.16666666667	56.7207	3600.0	54.48
7	cradle	352.720478058	12	3	4	2.0	56.7207	3600.0	54.32
8	cradle	367.313647032	12	3	4	2.0	56.7207	3600.0	52.79
9	cradle	363.353704929	12	4	4	2.0	56.7207	3600.0	50.93
10	cradle	223.709019899	11	4	4	2.11111111111	56.7207	3600.0	50.89
